field,n_objects
Reticulum2,10758
SPLUS-s38s25,1834
SPLUS-s38s26,9301
SPLUS-s38s27,11305
SPLUS-s38s28,5722
SPLUS-s39s24,11049
SPLUS-s39s25,16418
SPLUS-s39s26,16418
SPLUS-s39s27,19145
SPLUS-s39s28,12909
SPLUS-s40s23,15763
SPLUS-s40s24,17363
SPLUS-s40s25,18523
SPLUS-s40s26,19491
SPLUS-s40s27,19221
SPLUS-s40s28,6000
SPLUS-s41s22,7145
SPLUS-s41s23,18241
SPLUS-s41s24,19237
SPLUS-s41s25,16283
SPLUS-s41s26,18922
SPLUS-s41s27,14658
SPLUS-s42s22,12149
SPLUS-s42s23,17716
SPLUS-s42s24,14786
SPLUS-s42s25,16570
SPLUS-s42s26,11981
SPLUS-s43s21,5
SPLUS-s43s22,6805
SPLUS-s43s23,12809
SPLUS-s43s24,10575
SPLUS-s43s25,2200
