field,n_objects
SPLUS-s02s18,8013
SPLUS-s02s19,14319
SPLUS-s02s20,14002
SPLUS-s02s21,11790
SPLUS-s02s22,14826
SPLUS-s02s23,14523
SPLUS-s02s24,15006
SPLUS-s02s25,14015
SPLUS-s02s26,15087
STRIPE82-0003,19340
STRIPE82-0004,20191
STRIPE82-0005,16941
STRIPE82-0006,19570
STRIPE82-0007,18540
STRIPE82-0009,13626
STRIPE82-0153,172
STRIPE82-0155,13976
STRIPE82-0157,13322
STRIPE82-0158,18393
STRIPE82-0159,13458
STRIPE82-0160,18748
STRIPE82-0162,19436
STRIPE82-0163,14220
STRIPE82-0165,12625
STRIPE82-0167,13290
STRIPE82-0169,13122
STRIPE82_0001,18977
STRIPE82_0002,20985
STRIPE82_0008,19154
STRIPE82_0010,7496
STRIPE82_0156,15603
STRIPE82_0161,14214
STRIPE82_0164,20109
STRIPE82_0166,20055
STRIPE82_0168,19352
STRIPE82_0170,19962
