field,n_objects
Eridanus2,9668
SPLUS-s33s30,4211
SPLUS-s33s31,9071
SPLUS-s33s32,5258
SPLUS-s33s33,597
SPLUS-s34s28,160
SPLUS-s34s29,14791
SPLUS-s34s30,18938
SPLUS-s34s31,13161
SPLUS-s34s32,16039
SPLUS-s34s33,1772
SPLUS-s35s28,13432
SPLUS-s35s29,18618
SPLUS-s35s30,18273
SPLUS-s35s31,19472
SPLUS-s35s32,14547
SPLUS-s36s27,6821
SPLUS-s36s28,16954
SPLUS-s36s29,17795
SPLUS-s36s30,17732
SPLUS-s36s31,15942
SPLUS-s37s27,5987
SPLUS-s37s28,16571
SPLUS-s37s29,17549
SPLUS-s37s30,10941
SPLUS-s38s27,42
SPLUS-s38s28,1399
SPLUS-s38s29,40
