field,n_objects
SPLUS-s26s39,88
SPLUS-s26s40,2454
SPLUS-s26s41,1658
SPLUS-s27s37,948
SPLUS-s27s38,13073
SPLUS-s27s39,18214
SPLUS-s27s40,19335
SPLUS-s27s41,15722
SPLUS-s27s42,3804
SPLUS-s28s36,2452
SPLUS-s28s37,17134
SPLUS-s28s38,17457
SPLUS-s28s39,17939
SPLUS-s28s40,19075
SPLUS-s28s41,21206
SPLUS-s28s42,7369
SPLUS-s29s35,2311
SPLUS-s29s36,19212
SPLUS-s29s37,18032
SPLUS-s29s38,18334
SPLUS-s29s39,18013
SPLUS-s29s40,21157
SPLUS-s29s41,19203
SPLUS-s30s35,12117
SPLUS-s30s36,18579
SPLUS-s30s37,18232
SPLUS-s30s38,17730
SPLUS-s30s39,19191
SPLUS-s30s40,19852
SPLUS-s30s41,7353
SPLUS-s31s34,738
SPLUS-s31s35,16621
SPLUS-s31s36,17667
SPLUS-s31s37,15881
SPLUS-s31s38,17906
SPLUS-s31s39,18309
SPLUS-s31s40,4837
SPLUS-s32s34,729
SPLUS-s32s35,11339
SPLUS-s32s36,16038
SPLUS-s32s37,16346
SPLUS-s32s38,10867
SPLUS-s32s39,458
SPLUS-s33s35,220
SPLUS-s33s36,951
