field,n_objects
SPLUS-n01s01,21433
SPLUS-n01s02,19425
SPLUS-n01s03,22510
SPLUS-n01s04,20027
SPLUS-n01s05,18885
SPLUS-n01s06,18051
SPLUS-n01s07,11173
SPLUS-n02n01,18789
SPLUS-n02n02,18924
SPLUS-n02n03,18756
SPLUS-n02n04,18417
SPLUS-n02n05,19128
SPLUS-n02s01,21229
SPLUS-n02s02,21002
SPLUS-n02s03,21107
SPLUS-n02s04,18441
SPLUS-n02s05,18024
SPLUS-n02s06,19006
SPLUS-n02s07,15301
SPLUS-n03n01,20340
SPLUS-n03n02,18316
SPLUS-n03n03,19297
SPLUS-n03n04,18649
SPLUS-n03s01,19782
SPLUS-n03s02,19703
SPLUS-n03s03,19304
SPLUS-n03s04,20074
SPLUS-n03s05,19901
SPLUS-n03s06,20484
SPLUS-n03s07,19315
SPLUS-n03s08,49
SPLUS-n04n01,21569
SPLUS-n04s01,20894
SPLUS-n04s02,19996
SPLUS-n04s03,18223
SPLUS-n04s04,20955
SPLUS-n04s05,19797
SPLUS-n04s06,19003
SPLUS-n04s07,17786
SPLUS-n04s08,1
SPLUS-n05s01,22561
SPLUS-n05s02,21622
SPLUS-n05s03,21056
SPLUS-n05s04,20185
SPLUS-n05s05,20572
SPLUS-n05s06,19936
SPLUS-n05s07,21568
SPLUS-n05s08,6289
SPLUS-n06s01,21260
SPLUS-n06s02,20023
SPLUS-n06s03,20382
SPLUS-n06s04,20820
SPLUS-n06s05,20613
SPLUS-n06s06,20335
SPLUS-n06s07,19198
SPLUS-n06s08,775
SPLUS-n07s01,20773
SPLUS-n07s02,21693
SPLUS-n07s03,21845
SPLUS-n07s04,22199
SPLUS-n07s05,22063
SPLUS-n07s06,19551
SPLUS-n07s07,1648
SPLUS-n08s01,21402
SPLUS-n08s02,21743
SPLUS-n08s03,21045
SPLUS-n08s04,21543
SPLUS-n08s05,16334
SPLUS-n08s06,636
SPLUS-n09s01,23656
SPLUS-n09s02,22439
SPLUS-n09s03,20831
SPLUS-n09s04,17815
SPLUS-n09s05,5739
SPLUS-n10s01,14560
SPLUS-n10s02,11366
SPLUS-n10s03,3917
