field,n_objects
SPLUS-s17s30,30061
SPLUS-s18s28,33687
SPLUS-s19s25,4123
SPLUS-s19s33,26154
SPLUS-s19s34,24186
SPLUS-s20s25,10216
SPLUS-s20s26,29606
SPLUS-s20s27,28352
SPLUS-s20s28,28803
SPLUS-s20s30,27707
SPLUS-s20s32,24928
SPLUS-s20s33,25170
SPLUS-s20s34,21989
SPLUS-s20s35,23290
SPLUS-s20s38,15723
SPLUS-s21s23,8353
SPLUS-s21s24,26476
SPLUS-s21s25,28734
SPLUS-s21s26,28410
SPLUS-s21s27,28464
SPLUS-s21s28,26725
SPLUS-s21s29,27987
SPLUS-s21s30,25938
SPLUS-s21s31,25681
SPLUS-s21s32,24725
SPLUS-s21s33,26209
SPLUS-s21s34,25904
SPLUS-s21s35,23185
SPLUS-s21s36,21162
SPLUS-s21s37,3271
SPLUS-s22s23,3077
SPLUS-s22s24,25367
SPLUS-s22s25,26075
SPLUS-s22s26,29018
SPLUS-s22s27,28946
SPLUS-s22s28,25776
SPLUS-s22s29,25042
SPLUS-s22s30,24837
SPLUS-s22s31,24204
SPLUS-s22s32,24952
SPLUS-s22s33,23722
SPLUS-s22s34,25015
SPLUS-s22s35,21004
SPLUS-s22s36,21878
SPLUS-s22s37,9371
SPLUS-s23s24,21220
SPLUS-s23s25,26118
SPLUS-s23s26,29941
SPLUS-s23s27,26940
SPLUS-s23s28,28087
SPLUS-s23s29,25825
SPLUS-s23s30,24711
SPLUS-s23s31,24427
SPLUS-s23s32,24603
SPLUS-s23s33,24288
SPLUS-s23s34,25105
SPLUS-s23s35,25477
SPLUS-s23s36,25119
SPLUS-s23s37,14128
SPLUS-s24s51,8341
SPLUS-s24s52,25346
SPLUS-s24s53,27962
SPLUS-s24s54,26061
SPLUS-s24s55,25714
SPLUS-s24s56,26416
SPLUS-s24s57,25521
SPLUS-s24s58,23407
SPLUS-s24s59,23779
SPLUS-s24s60,21847
SPLUS-s24s61,22704
SPLUS-s24s62,22653
SPLUS-s24s63,21844
SPLUS-s24s64,14458
SPLUS-s25s52,17496
SPLUS-s25s53,26815
SPLUS-s25s54,26699
SPLUS-s25s55,27852
SPLUS-s25s56,26422
SPLUS-s25s57,23415
SPLUS-s25s58,21479
SPLUS-s25s59,23613
SPLUS-s25s60,22280
SPLUS-s25s61,22718
SPLUS-s25s62,23940
SPLUS-s25s63,20687
SPLUS-s25s64,11445
SPLUS-s26s50,808
SPLUS-s26s51,24030
SPLUS-s27s50,604
