field,n_objects
STRIPE82-0051,17279
STRIPE82-0052,17087
STRIPE82-0053,19323
STRIPE82-0057,17312
STRIPE82-0058,17317
STRIPE82-0059,19279
STRIPE82-0060,16608
STRIPE82-0062,17645
STRIPE82-0063,15808
STRIPE82-0066,16761
STRIPE82-0068,17667
STRIPE82-0069,17064
STRIPE82-0074,15588
STRIPE82_0049,1401
STRIPE82_0054,20039
STRIPE82_0055,19384
STRIPE82_0056,18762
STRIPE82_0061,19047
STRIPE82_0064,17007
STRIPE82_0065,16878
STRIPE82_0067,19332
STRIPE82_0070,17699
STRIPE82_0071,18171
STRIPE82_0072,18845
STRIPE82_0073,18990
STRIPE82_0075,1251
STRIPE82_0076,55
