field,n_objects
STRIPE82-0044,20110
STRIPE82-0045,19876
STRIPE82-0046,18486
STRIPE82-0047,18952
STRIPE82-0050,19306
STRIPE82-0051,17279
STRIPE82-0052,19452
STRIPE82-0053,19323
STRIPE82-0057,17312
STRIPE82-0058,17317
STRIPE82-0059,19279
STRIPE82-0060,16608
STRIPE82-0062,17645
STRIPE82-0063,15808
STRIPE82-0066,16761
STRIPE82-0068,8763
STRIPE82_0043,18857
STRIPE82_0048,19255
STRIPE82_0049,19783
STRIPE82_0054,20039
STRIPE82_0055,19384
STRIPE82_0056,18762
STRIPE82_0061,19047
STRIPE82_0064,17007
STRIPE82_0065,16878
STRIPE82_0067,5988
