field,n_objects
STRIPE82-0039,6963
STRIPE82-0040,5544
STRIPE82-0042,20448
STRIPE82-0044,20928
STRIPE82-0045,19876
STRIPE82-0046,18486
STRIPE82-0047,18952
STRIPE82-0050,19306
STRIPE82-0051,17279
STRIPE82-0052,19452
STRIPE82-0053,19323
STRIPE82-0057,17312
STRIPE82-0058,17317
STRIPE82-0059,19279
STRIPE82-0060,16608
STRIPE82-0062,17645
STRIPE82-0063,15808
STRIPE82-0066,15786
STRIPE82_0041,21266
STRIPE82_0043,21949
STRIPE82_0048,19255
STRIPE82_0049,19783
STRIPE82_0054,20039
STRIPE82_0055,19384
STRIPE82_0056,18762
STRIPE82_0061,19047
STRIPE82_0064,17007
STRIPE82_0065,15664
