field,n_objects
SPLUS-s20s01_predicted,48
SPLUS-s20s48_predicted,638
SPLUS-s20s49_predicted,20119
SPLUS-s20s50_predicted,23721
SPLUS-s20s51_predicted,14907
SPLUS-s21s01_predicted,13788
SPLUS-s21s46_predicted,15340
SPLUS-s21s47_predicted,45208
SPLUS-s21s48_predicted,48660
SPLUS-s21s49_predicted,45574
SPLUS-s22s01_predicted,26034
SPLUS-s22s46_predicted,22921
SPLUS-s22s47_predicted,40487
SPLUS-s22s49_predicted,44223
SPLUS-s23s01_predicted,11943
SPLUS-s23s46_predicted,8720
SPLUS-s23s47_predicted,41618
SPLUS-s23s48_predicted,44504
SPLUS-s23s49_predicted,40685
SPLUS-s24s74_predicted,9628
SPLUS-s24s75_predicted,21951
SPLUS-s24s76_predicted,12351
