field,n_objects
SPLUS-s26s39_predicted,3029
SPLUS-s26s40_predicted,11628
SPLUS-s26s41_predicted,8384
SPLUS-s26s42_predicted,499
SPLUS-s27s37_predicted,4402
SPLUS-s27s38_predicted,39667
SPLUS-s27s39_predicted,40576
SPLUS-s27s40_predicted,48985
SPLUS-s27s41_predicted,46133
SPLUS-s27s42_predicted,15667
SPLUS-s28s36_predicted,8857
SPLUS-s28s37_predicted,52069
SPLUS-s28s38_predicted,45152
SPLUS-s28s39_predicted,46123
SPLUS-s28s40_predicted,43465
SPLUS-s28s41_predicted,51983
SPLUS-s28s42_predicted,25206
SPLUS-s29s35_predicted,13305
SPLUS-s29s36_predicted,47667
SPLUS-s29s37_predicted,51253
SPLUS-s29s38_predicted,48950
SPLUS-s29s39_predicted,50840
SPLUS-s29s40_predicted,50894
SPLUS-s29s41_predicted,45111
SPLUS-s29s42_predicted,2439
SPLUS-s30s35_predicted,34135
SPLUS-s30s36_predicted,51666
SPLUS-s30s37_predicted,53007
SPLUS-s30s38_predicted,40159
SPLUS-s30s39_predicted,42756
SPLUS-s30s40_predicted,41869
SPLUS-s30s41_predicted,23952
SPLUS-s31s34_predicted,5046
SPLUS-s31s35_predicted,45411
SPLUS-s31s36_predicted,52919
SPLUS-s31s37_predicted,45441
SPLUS-s31s38_predicted,47846
SPLUS-s31s39_predicted,48032
SPLUS-s31s40_predicted,19602
SPLUS-s32s34_predicted,4978
SPLUS-s32s35_predicted,34360
SPLUS-s32s36_predicted,45987
SPLUS-s32s37_predicted,35998
SPLUS-s32s38_predicted,31051
SPLUS-s32s39_predicted,5886
SPLUS-s33s35_predicted,4298
SPLUS-s33s36_predicted,8686
SPLUS-s33s37_predicted,1521
