ra,dec,z,z_err,v,v_err,radius_deg,radius_Mpc,v_offset,flag_member
220.16257,3.46972,0.026651,9e-06,7989.769,2.698132,0.007488,0.014782,-101.877,0
220.154038,3.464703,0.022955,1.2e-05,6881.736,3.597509,0.012756,0.025181,-1180.779,0
220.14401,3.470455,0.026856,9e-06,8051.226,2.698132,0.016245,0.032067,-42.035,0
220.177875,3.465361,0.027371,1.3e-05,8205.619,3.897302,0.021693,0.042822,108.299,0
220.178484,3.465423,0.027339,7e-06,8196.026,2.098547,0.022188,0.043799,98.958,0
220.130542,3.476078,0.027931,1.6e-05,8373.503,4.796679,0.028567,0.05639,271.769,0
220.16959,3.511667,0.027812,3.5e-05,8337.828,10.492736,0.036781,0.072605,237.032,0
220.13271,3.509273,0.027364,1e-05,8203.521,2.997925,0.04217,0.083242,106.256,0
220.179167,3.4325,0.027032,0.000333,8103.99,99.830889,0.04822,0.095184,9.341,0
220.20716,3.46751,0.027742,2.4e-05,8316.842,7.195019,0.048728,0.096187,216.598,0
220.204,3.45,0.027331,0.000333,8193.628,99.830889,0.051958,0.102564,96.622,0
220.210909,3.467204,0.026192,1.8e-05,7852.164,5.396264,0.052464,0.103563,-235.864,0
220.122511,3.432748,0.024533,1.1e-05,7354.808,3.297717,0.056946,0.112409,-720.144,0
220.15115,3.538706,0.027546,5.9e-05,8258.083,17.687755,0.062827,0.124018,159.383,0
220.219545,3.418315,0.027556,9e-06,8261.081,2.698132,0.0837,0.16522,162.302,0
220.24193,3.451562,0.027103,8e-06,8125.275,2.39834,0.086268,0.170289,30.067,0
220.13518,3.559531,0.02552,9e-06,7650.704,2.698132,0.086518,0.170783,-432.028,0
220.1325,3.56,0.026,0.000333,7794.604,99.830889,0.087743,0.173201,-291.911,0
220.163426,3.380646,0.030144,2.3e-05,9036.944,6.895227,0.095839,0.189182,917.768,0
220.15793,3.377013,0.02636,9e-06,7902.529,2.698132,0.099385,0.196182,-186.823,0
220.068335,3.520132,0.0274,1.1e-05,8214.313,3.297717,0.100659,0.198697,116.764,0
220.180633,3.374016,0.031954,1e-05,9579.568,2.997925,0.104594,0.206464,1446.126,0
220.075925,3.544164,0.024256,4.3e-05,7271.766,12.891076,0.107219,0.211646,-801.003,0
220.089583,3.391389,0.026859,0.000333,8052.126,99.830889,0.109765,0.216672,-41.159,0
220.270733,3.46327,0.026933,4e-05,8074.31,11.991698,0.112138,0.221356,-19.558,0
220.05662,3.527301,0.026985,1.9e-05,8089.899,5.696057,0.114314,0.225652,-4.379,0
220.15939,3.356421,0.023918,3.8e-05,7170.436,11.392113,0.119969,0.236815,-899.669,0
220.081525,3.381842,0.025872,5e-05,7756.23,14.989623,0.122247,0.241312,-329.275,0
220.133119,3.35655,0.024342,1.3e-05,7297.548,3.897302,0.122627,0.24206,-775.899,0
220.1083,3.598922,0.028139,7e-06,8435.86,2.098547,0.132632,0.261811,332.486,0
220.311367,3.446006,0.025522,1.6e-05,7651.303,4.796679,0.154935,0.305837,-431.444,0
220.076977,3.333533,0.027553,8e-06,8260.182,2.39834,0.164734,0.325179,161.427,0
220.038821,3.361821,0.025259,7.9e-05,7572.458,23.683604,0.165995,0.327668,-508.217,0
220.05426,3.344374,0.024716,6e-06,7409.67,1.798755,0.168499,0.33261,-666.724,0
219.988413,3.489129,0.026092,2.1e-05,7822.185,6.295642,0.170908,0.337367,-265.055,0
220.13902,3.647151,0.026905,1.5e-05,8065.916,4.496887,0.17194,0.339404,-27.732,0
220.270833,3.336111,0.026582,0.000333,7969.083,99.830889,0.179174,0.353683,-122.019,0
