ra,dec,z,z_err,v,v_err,radius_deg,radius_Mpc,v_offset,flag_member
329.622812,-28.586551,0.021298,0.000333,6384.98,99.830889,0.031571,0.05037,-112.677,0
329.539875,-28.661778,0.021912,0.000213,6569.052,63.855794,0.093675,0.149457,67.489,0
329.728542,-28.501194,0.021095,0.000213,6324.122,63.855794,0.142537,0.227414,-172.244,0
329.693375,-28.776167,0.020564,0.00015,6164.932,44.968869,0.167912,0.267899,-328.055,0
329.805583,-28.690056,0.020307,7e-06,6087.885,2.098547,0.167982,0.268012,-403.467,0
329.500542,-28.74875,0.022562,0.000183,6763.917,54.86202,0.176184,0.281099,258.219,0
329.77625,-28.481111,0.023083,0.000333,6920.109,99.830889,0.184683,0.294657,411.096,0
329.480333,-28.804083,0.023079,7.7e-05,6918.91,23.084019,0.230582,0.367889,409.922,0
329.365542,-28.736917,0.022826,0.000117,6843.063,35.075718,0.264101,0.421367,335.684,0
329.894583,-28.447778,0.021455,0.000333,6432.047,99.830889,0.284776,0.454353,-66.609,0
329.58375,-28.211056,0.020619,0.000297,6181.421,89.03836,0.407996,0.650949,-311.916,0
329.384375,-29.032194,0.022327,0.000213,6693.466,63.855794,0.46949,0.749062,189.263,0
329.623208,-28.139583,0.021643,0.000297,6488.408,89.03836,0.477216,0.761388,-11.444,0
