field,n_objects
SPLUS-s17s30_predicted,59246
SPLUS-s18s28_predicted,77896
SPLUS-s19s25_predicted,23831
SPLUS-s19s33_predicted,51890
SPLUS-s19s34_predicted,48964
SPLUS-s20s25_predicted,34919
SPLUS-s20s26_predicted,64856
SPLUS-s20s27_predicted,48531
SPLUS-s20s28_predicted,57980
SPLUS-s20s30_predicted,48708
SPLUS-s20s32_predicted,44755
SPLUS-s20s33_predicted,55054
SPLUS-s20s34_predicted,50661
SPLUS-s20s35_predicted,46217
SPLUS-s20s38_predicted,42227
SPLUS-s20s39_predicted,1668
SPLUS-s21s23_predicted,31824
SPLUS-s21s24_predicted,51489
SPLUS-s21s25_predicted,60515
SPLUS-s21s26_predicted,52368
SPLUS-s21s27_predicted,59213
SPLUS-s21s28_predicted,49888
SPLUS-s21s29_predicted,59653
SPLUS-s21s30_predicted,50256
SPLUS-s21s31_predicted,58560
SPLUS-s21s32_predicted,50903
SPLUS-s21s33_predicted,59285
SPLUS-s21s34_predicted,52552
SPLUS-s21s35_predicted,48393
SPLUS-s21s36_predicted,45847
SPLUS-s21s37_predicted,19408
SPLUS-s22s23_predicted,16891
SPLUS-s22s24_predicted,54037
SPLUS-s22s25_predicted,52833
SPLUS-s22s26_predicted,57409
SPLUS-s22s27_predicted,54585
SPLUS-s22s28_predicted,51164
SPLUS-s22s29_predicted,52405
SPLUS-s22s30_predicted,55032
SPLUS-s22s31_predicted,54870
SPLUS-s22s32_predicted,63120
SPLUS-s22s33_predicted,47274
SPLUS-s22s34_predicted,60239
SPLUS-s22s35_predicted,42437
SPLUS-s22s36_predicted,51443
SPLUS-s22s37_predicted,35653
SPLUS-s23s23_predicted,3161
SPLUS-s23s24_predicted,72806
SPLUS-s23s25_predicted,59641
SPLUS-s23s26_predicted,76256
SPLUS-s23s27_predicted,60961
SPLUS-s23s28_predicted,69820
SPLUS-s23s29_predicted,54257
SPLUS-s23s30_predicted,53311
SPLUS-s23s31_predicted,51544
SPLUS-s23s32_predicted,58570
SPLUS-s23s33_predicted,53089
SPLUS-s23s34_predicted,55606
SPLUS-s23s35_predicted,63396
SPLUS-s23s36_predicted,66204
SPLUS-s23s37_predicted,49171
SPLUS-s24s51_predicted,39115
SPLUS-s24s52_predicted,58912
SPLUS-s24s53_predicted,58332
SPLUS-s24s54_predicted,50200
SPLUS-s24s55_predicted,54937
SPLUS-s24s56_predicted,53535
SPLUS-s24s57_predicted,54961
SPLUS-s24s58_predicted,53581
SPLUS-s24s59_predicted,55365
SPLUS-s24s60_predicted,44049
SPLUS-s24s61_predicted,56029
SPLUS-s24s62_predicted,51427
SPLUS-s24s63_predicted,51824
SPLUS-s24s64_predicted,46766
SPLUS-s24s65_predicted,722
SPLUS-s25s51_predicted,2700
SPLUS-s25s52_predicted,50680
SPLUS-s25s53_predicted,57793
SPLUS-s25s54_predicted,53630
SPLUS-s25s55_predicted,63306
SPLUS-s25s56_predicted,51419
SPLUS-s25s57_predicted,45579
SPLUS-s25s58_predicted,37848
SPLUS-s25s59_predicted,52469
SPLUS-s25s60_predicted,48731
SPLUS-s25s61_predicted,52534
SPLUS-s25s62_predicted,62693
SPLUS-s25s63_predicted,46556
SPLUS-s25s64_predicted,30864
SPLUS-s25s65_predicted,301
SPLUS-s26s50_predicted,13451
SPLUS-s26s51_predicted,56810
SPLUS-s27s50_predicted,8935
