field,n_objects
SPLUS-s02s01_predicted,59983
SPLUS-s02s02_predicted,53591
SPLUS-s02s03_predicted,62572
SPLUS-s02s04_predicted,2540
SPLUS-s03s01_predicted,60736
SPLUS-s03s02_predicted,50679
SPLUS-s03s03_predicted,14661
STRIPE82_0115_predicted,25401
STRIPE82_0116_predicted,33752
STRIPE82_0117_predicted,67535
STRIPE82_0118_predicted,59297
STRIPE82_0119_predicted,80455
STRIPE82_0120_predicted,52891
STRIPE82_0121_predicted,54787
STRIPE82_0122_predicted,57214
STRIPE82_0123_predicted,47765
STRIPE82_0124_predicted,71228
STRIPE82_0125_predicted,60848
STRIPE82_0126_predicted,34109
STRIPE82_0127_predicted,6272
STRIPE82_0128_predicted,15049
