ra,dec,z,z_err,v,v_err,radius_deg,radius_Mpc,v_offset,flag_member
37.86907,1.270732,0.02251,0.000333,6748.328,99.830889,1.1e-05,1.8e-05,0.0,0
37.858875,1.247417,0.021875,4.1e-05,6557.96,12.291491,0.025451,0.041692,-186.177,0
37.80525,1.244806,0.022062,2e-05,6614.021,5.995849,0.068868,0.112814,-131.35,0
37.798436,1.265642,0.021148,7e-06,6340.011,2.098547,0.070794,0.115969,-399.328,0
37.859,1.346278,0.02433,7e-06,7293.951,2.098547,0.076204,0.124831,533.611,0
37.955241,1.261078,0.022052,8e-06,6611.023,2.39834,0.086696,0.142018,-134.282,0
37.957588,1.248086,0.019662,5.2e-05,5894.519,15.589208,0.091356,0.149651,-835.013,0
37.926893,1.196928,0.023055,6e-06,6911.715,1.798755,0.09376,0.153589,159.79,0
37.807178,1.193892,0.023492,1.1e-05,7042.724,3.297717,0.09866,0.161616,287.915,0
37.773756,1.216272,0.020277,6.2e-05,6078.892,18.587132,0.109754,0.17979,-654.699,0
37.972989,1.209509,0.025122,8e-06,7531.386,2.39834,0.1206,0.197557,765.819,0
37.987917,1.244444,0.0221,0.000333,6625.413,99.830889,0.121699,0.199357,-120.209,0
37.990719,1.246503,0.021996,7e-06,6594.235,2.098547,0.124017,0.203154,-150.701,0
38.00657,1.230338,0.024427,4e-05,7323.03,11.991698,0.143286,0.23472,562.05,0
37.708512,1.257062,0.020999,8.8e-05,6295.342,26.381736,0.161094,0.263891,-443.014,0
38.022236,1.209997,0.022304,2.5e-05,6686.571,7.494811,0.164742,0.269866,-60.398,0
38.030892,1.223044,0.024717,1.6e-05,7409.97,4.796679,0.168673,0.276305,647.076,0
38.042876,1.247473,0.020772,8e-06,6227.289,2.39834,0.17532,0.287194,-509.569,0
37.976638,1.115668,0.020929,1.4e-05,6274.356,4.197094,0.188717,0.30914,-463.538,0
37.672083,1.258056,0.024505,6e-06,7346.414,1.798755,0.197341,0.323267,584.919,0
38.090106,1.174968,0.021656,1.4e-05,6492.305,4.197094,0.240849,0.394537,-250.387,0
37.619699,1.087776,0.02357,3.4e-05,7066.108,10.192944,0.309239,0.506568,310.784,0
38.146185,1.094205,0.022204,8e-06,6656.592,2.39834,0.328517,0.538148,-89.717,0
38.153389,1.093541,0.021707,2.9e-05,6507.595,8.693981,0.334964,0.548709,-235.434,0
37.722839,0.966446,0.021299,0.000104,6385.28,31.178416,0.33759,0.55301,-355.056,0
38.076717,0.992736,0.023757,7e-06,7122.169,2.098547,0.346966,0.56837,365.611,0
38.20404,1.163838,0.022487,6e-06,6741.433,1.798755,0.351542,0.575866,-6.743,0
38.211616,1.149158,0.021521,7e-06,6451.833,2.098547,0.36341,0.595307,-289.968,0
38.233208,1.23075,0.021072,2.7e-05,6317.227,8.094396,0.366244,0.59995,-421.611,0
37.929939,0.904396,0.020968,1.2e-05,6286.048,3.597509,0.371366,0.60834,-452.103,0
37.998238,0.909985,0.021837,7e-06,6546.568,2.098547,0.383174,0.627683,-197.319,0
37.99839,0.907104,0.021928,1.5e-05,6573.849,4.496887,0.385939,0.632212,-170.638,0
38.104008,0.964139,0.023381,4e-06,7009.447,1.19917,0.386234,0.632695,255.371,0
38.245277,1.15326,0.02311,7e-06,6928.204,2.098547,0.394041,0.645484,175.916,0
