ra,dec,z,z_err,v,v_err,radius_deg,radius_Mpc,v_offset,flag_member
20.096431,-0.078956,0.07741,1.7e-05,23206.934,5.096472,0.005769,0.030671,-164.079,0
20.055333,-0.078111,0.079406,2.3e-05,23805.32,6.895227,0.042059,0.223615,391.009,0
20.137536,-0.060567,0.077128,1.8e-05,23122.393,5.396264,0.047291,0.251434,-242.504,0
20.075924,-0.133917,0.075608,2.8e-05,22666.708,8.394189,0.053482,0.28435,-665.217,0
20.160167,-0.083301,0.077405,2.4e-05,23205.435,7.195019,0.063312,0.336613,-165.47,0
20.157835,-0.106772,0.077347,2.5e-05,23188.047,7.494811,0.064834,0.344706,-181.6,0
20.015576,-0.080563,0.079214,7e-06,23747.76,2.098547,0.081401,0.432787,337.614,0
20.176655,-0.03459,0.078185,1.9e-05,23439.273,5.696057,0.094219,0.500942,51.449,0
20.001109,-0.116526,0.077203,2.5e-05,23144.877,7.494811,0.100909,0.536512,-221.646,0
20.025571,-0.16729,0.078039,1.1e-05,23395.504,3.297717,0.109103,0.580075,10.846,0
20.086089,-0.193602,0.07784,3.5e-05,23335.845,10.492736,0.109426,0.581795,-44.496,0
20.209363,-0.096391,0.076583,2.5e-05,22959.006,7.494811,0.113097,0.60131,-394.069,0
19.966696,-0.041075,0.079532,1.9e-05,23843.094,5.696057,0.137293,0.729954,426.05,0
19.980792,-0.168692,0.07989,1e-05,23950.419,2.997925,0.143275,0.761758,525.61,0
19.968833,-0.161006,0.076796,1.4e-05,23022.862,4.197094,0.149047,0.792449,-334.833,0
20.20935,0.03099,0.077912,7e-06,23357.43,2.098547,0.161361,0.857921,-24.473,0
20.270699,-0.126245,0.077756,9e-06,23310.662,2.698132,0.178722,0.950221,-67.857,0
20.131778,-0.262155,0.078666,2.3e-05,23583.474,6.895227,0.180848,0.961525,185.215,0
20.287015,-0.061527,0.07716,2.6e-05,23131.986,7.794604,0.191552,1.018435,-233.605,0
20.086295,0.143404,0.078227,1.6e-05,23451.865,4.796679,0.228357,1.214121,63.129,0
20.273757,0.061023,0.076052,7e-06,22799.816,2.098547,0.229186,1.218527,-541.74,0
20.195051,0.124322,0.077428,2.5e-05,23212.33,7.494811,0.230939,1.227849,-159.074,0
20.092095,0.147255,0.078527,1.1e-05,23541.802,3.297717,0.232012,1.233554,146.559,0
20.270796,0.102907,0.07722,2.2e-05,23149.974,6.595434,0.25583,1.360191,-216.918,0
20.357492,-0.090712,0.077434,1e-05,23214.129,2.997925,0.26069,1.386027,-157.405,0
20.360858,-0.101138,0.076528,2.1e-05,22942.517,6.295642,0.264498,1.406271,-409.364,0
19.829576,0.014188,0.077347,1.4e-05,23188.047,4.197094,0.285003,1.515296,-181.6,0
19.798509,-0.037114,0.076309,2.5e-05,22876.863,7.494811,0.302134,1.606375,-470.268,0
19.806323,0.021436,0.078276,1.1e-05,23466.554,3.297717,0.309329,1.64463,76.756,0
20.411362,0.024103,0.076315,2.5e-05,22878.661,7.494811,0.332783,1.769327,-468.6,0
20.371609,0.107997,0.078026,8e-06,23391.606,2.39834,0.335583,1.784217,7.231,0
19.856873,-0.327089,0.077797,3.1e-05,23322.954,9.293566,0.341097,1.813535,-56.454,0
19.790966,-0.240778,0.078884,2.2e-05,23648.828,6.595434,0.343417,1.82587,245.841,0
20.307261,0.188357,0.078653,9e-06,23579.576,2.698132,0.344715,1.832768,181.6,0
20.425741,0.073357,0.078086,1e-05,23409.594,2.997925,0.364883,1.939999,23.917,0
20.242303,0.256725,0.07818,1e-05,23437.774,2.997925,0.371116,1.973135,50.058,0
20.004348,0.275086,0.077292,2e-05,23171.559,5.995849,0.3715,1.975178,-196.895,0
20.00582,0.278414,0.077316,2.3e-05,23178.754,6.895227,0.374363,1.990402,-190.221,0
20.46684,0.009321,0.076952,1.8e-05,23069.629,5.396264,0.381731,2.029572,-291.449,0
20.299927,0.24629,0.077782,1.1e-05,23318.457,3.297717,0.388319,2.064599,-60.626,0
20.297375,0.248,0.078076,7e-06,23406.596,2.098547,0.388454,2.065318,21.136,0
19.768175,-0.292523,0.078091,2.2e-05,23411.093,6.595434,0.38888,2.067585,25.307,0
19.699139,-0.146197,0.078131,1e-05,23423.085,2.997925,0.402457,2.139767,36.431,0
20.290487,0.270797,0.077545,6e-06,23247.406,1.798755,0.40481,2.152278,-126.536,0
20.500857,-0.011339,0.078038,6e-06,23395.204,1.798755,0.410594,2.183031,10.568,0
20.482193,0.066361,0.077431,2.9e-05,23213.23,8.693981,0.413877,2.200489,-158.239,0
20.421192,-0.342487,0.076522,1.7e-05,22940.718,5.096472,0.414287,2.202668,-411.033,0
20.30454,0.284787,0.078337,5e-06,23484.842,1.498962,0.423855,2.253536,93.72,0
19.660667,-0.120145,0.077363,1.7e-05,23192.844,5.096472,0.437641,2.326832,-177.15,0
20.432582,-0.379474,0.076837,9e-06,23035.153,2.698132,0.446753,2.375283,-323.431,0
19.946148,0.336508,0.077712,3.1e-05,23297.471,9.293566,0.44737,2.378563,-80.093,0
20.434452,-0.381591,0.077161,1e-05,23132.286,2.997925,0.449556,2.390181,-233.326,0
19.65212,-0.002962,0.077256,1e-05,23160.766,2.997925,0.452201,2.404245,-206.907,0
19.644368,-0.095371,0.077171,2.5e-05,23135.284,7.494811,0.452628,2.406517,-230.545,0
19.643629,-0.160373,0.077787,2e-05,23319.956,5.995849,0.459514,2.443128,-59.235,0
19.635043,-0.083906,0.076883,1e-05,23048.944,2.997925,0.461828,2.455432,-310.638,0
19.637124,-0.160115,0.07822,1.2e-05,23449.766,3.597509,0.46589,2.477025,61.182,0
19.924555,0.34887,0.077247,2e-05,23158.068,5.995849,0.466565,2.480615,-209.41,0
19.635355,-0.17501,0.077649,7e-06,23278.585,2.098547,0.470267,2.500299,-97.613,0
19.615495,-0.044306,0.078064,8e-06,23402.998,2.39834,0.483068,2.568359,17.798,0
19.612205,-0.185221,0.077479,2e-05,23227.62,5.995849,0.494978,2.631683,-144.89,0
20.611613,-0.011821,0.078381,2e-05,23498.033,5.995849,0.519876,2.76406,105.956,0
20.357196,-0.542666,0.077143,9e-06,23126.89,2.698132,0.526777,2.800752,-238.332,0
19.674609,-0.41608,0.077011,6e-06,23087.317,1.798755,0.536761,2.853831,-275.042,0
19.940615,0.437266,0.078461,7e-06,23522.016,2.098547,0.54486,2.896894,128.204,0
19.757542,0.387786,0.078802,2.2e-05,23624.245,6.595434,0.581717,3.092852,223.037,0
20.668076,0.04746,0.077284,1.2e-05,23169.16,3.597509,0.586296,3.117197,-199.12,0
19.726683,0.409229,0.0771,1.2e-05,23113.999,3.597509,0.617262,3.281838,-250.291,0
19.766819,0.441775,0.077548,1.5e-05,23248.306,4.496887,0.621384,3.303754,-125.701,0
20.73031,0.00017,0.077853,2.2e-05,23339.742,6.595434,0.6391,3.397943,-40.881,0
19.475888,-0.278023,0.078048,6e-06,23398.202,1.798755,0.650377,3.4579,13.349,0
19.912345,0.540724,0.077092,2e-05,23111.6,5.995849,0.652085,3.466983,-252.515,0
20.547545,0.396084,0.078028,1.2e-05,23392.206,3.597509,0.65899,3.503694,7.787,0
19.659845,-0.580945,0.077172,7e-06,23135.584,2.098547,0.661243,3.515674,-230.267,0
19.386488,-0.082188,0.077468,7e-06,23224.322,2.098547,0.710387,3.776959,-147.95,0
20.486471,0.510565,0.07785,1.8e-05,23338.843,5.396264,0.711434,3.782525,-41.715,0
20.748741,-0.387454,0.078091,1.6e-05,23411.093,4.796679,0.718741,3.821377,25.307,0
19.652451,0.489352,0.078597,7e-06,23562.788,2.098547,0.725985,3.859889,166.026,0
20.811308,-0.329663,0.07694,1.7e-05,23066.032,5.096472,0.755263,4.015556,-294.787,0
20.772234,-0.426205,0.077529,1.4e-05,23242.609,4.197094,0.756792,4.023686,-130.985,0
20.122378,0.672218,0.077335,6e-06,23184.45,1.798755,0.757356,4.026682,-184.937,0
20.794041,-0.401698,0.076951,1e-05,23069.329,2.997925,0.765851,4.071849,-291.728,0
19.586376,-0.660751,0.077677,1.7e-05,23286.979,5.096472,0.769695,4.092287,-89.826,0
20.02525,0.681755,0.078212,1.6e-05,23447.368,4.796679,0.769802,4.092856,58.957,0
19.55966,0.483182,0.078416,7e-06,23508.525,2.098547,0.781725,4.156249,115.69,0
20.11024,0.69748,0.07724,1e-05,23155.969,2.997925,0.782302,4.159317,-211.356,0
20.412974,0.639715,0.077916,2.6e-05,23358.629,7.794604,0.790386,4.202295,-23.36,0
19.440201,0.359803,0.077525,1.2e-05,23241.41,3.597509,0.792972,4.216046,-132.098,0
19.325792,0.253583,0.078026,2.2e-05,23391.606,6.595434,0.842023,4.476837,7.231,0
20.867954,0.272706,0.078035,7e-06,23394.304,2.098547,0.84989,4.518664,9.734,0
19.36191,0.365363,0.077558,8e-06,23251.303,2.39834,0.861818,4.582084,-122.92,0
19.432832,-0.638757,0.07695,9e-06,23069.03,2.698132,0.864822,4.598056,-292.006,0
20.91534,-0.395257,0.077905,6e-06,23355.331,1.798755,0.875403,4.654313,-26.42,0
19.35749,-0.59102,0.076964,1.5e-05,23073.227,4.496887,0.896122,4.764471,-288.112,0
19.27403,0.319374,0.078226,1e-05,23451.565,2.997925,0.916705,4.873905,62.851,0
19.281672,0.33554,0.078617,1.5e-05,23568.784,4.496887,0.917146,4.876249,171.588,0
19.172165,-0.169502,0.077365,1.6e-05,23193.444,4.796679,0.928585,4.937066,-176.594,0
19.171667,-0.17,0.077241,1.6e-05,23156.269,4.796679,0.929126,4.939945,-211.078,0
19.248803,0.326736,0.0774,1.3e-05,23203.936,3.897302,0.942605,5.011609,-166.86,0
19.246121,0.325927,0.078158,1.4e-05,23431.179,4.197094,0.944667,5.022571,43.94,0
19.240666,-0.484903,0.077062,1.2e-05,23102.606,3.597509,0.945115,5.024952,-260.858,0
20.727134,-0.800487,0.07777,1.6e-05,23314.859,4.796679,0.953714,5.070673,-63.963,0
19.208002,0.264594,0.077057,6e-06,23101.107,1.798755,0.955038,5.077715,-262.249,0
20.98266,-0.457575,0.077816,1.2e-05,23328.65,3.597509,0.961067,5.109769,-51.171,0
19.197975,0.31123,0.07718,1e-05,23137.982,2.997925,0.982232,5.222295,-228.043,0
20.753417,-0.817083,0.078112,1.9e-05,23417.388,5.696057,0.983578,5.229451,31.147,0
19.181225,0.287365,0.0775,7e-06,23233.915,2.098547,0.988354,5.254847,-139.05,0
