ra,dec,z,z_err,v,v_err,radius_deg,radius_Mpc,v_offset,flag_member
46.378547,-0.405029,0.028116,7e-06,8428.965,2.098547,1.1e-05,2.3e-05,158.419,0
46.376935,-0.386611,0.024932,8e-06,7474.426,2.39834,0.018479,0.037223,-770.507,0
46.378612,-0.386085,0.024958,1.9e-05,7482.22,5.696057,0.018935,0.038142,-762.921,0
46.373167,-0.381806,0.024848,5e-06,7449.243,1.498962,0.023828,0.047997,-795.014,0
46.370438,-0.376867,0.024771,6e-06,7426.159,1.798755,0.029296,0.059012,-817.478,0
46.418123,-0.401907,0.024759,7e-06,7422.561,2.098547,0.039704,0.079979,-820.979,0
46.341045,-0.38235,0.024973,7e-06,7486.717,2.098547,0.043815,0.088259,-758.545,0
46.422772,-0.408603,0.028051,1.2e-05,8409.478,3.597509,0.044376,0.089389,139.456,0
46.348333,-0.355,0.024855,3.8e-05,7451.342,11.392113,0.058433,0.117705,-792.971,0
46.331408,-0.344841,0.029357,1.3e-05,8801.007,3.897302,0.076438,0.153974,520.479,0
46.388895,-0.318455,0.028072,1.4e-05,8415.774,4.197094,0.087182,0.175616,145.582,0
46.433717,-0.475447,0.028147,9.4e-05,8438.258,28.180491,0.089467,0.180218,167.463,0
46.387838,-0.309077,0.024795,5e-06,7433.354,1.498962,0.096392,0.194169,-810.476,0
46.429074,-0.313378,0.027934,2.9e-05,8374.403,8.693981,0.104651,0.210804,105.321,0
46.467269,-0.48989,0.027897,2.5e-05,8363.31,7.494811,0.122782,0.247326,94.526,0
46.292679,-0.314888,0.028099,1.3e-05,8423.868,3.897302,0.124481,0.250749,153.459,0
46.295905,-0.309217,0.028663,7e-06,8592.951,2.098547,0.126516,0.254849,318.005,0
46.333122,-0.527707,0.028233,3.3e-05,8464.04,9.893151,0.130824,0.263525,192.554,0
46.279821,-0.306173,0.029371,6e-06,8805.204,1.798755,0.139699,0.281403,524.563,0
46.495472,-0.493581,0.026459,6e-06,7932.209,1.798755,0.146681,0.295469,-325.007,0
46.349208,-0.243475,0.028718,4e-06,8609.44,1.19917,0.164186,0.33073,334.052,0
46.347004,-0.242109,0.028806,6e-06,8635.822,1.798755,0.165935,0.334253,359.725,0
46.34443,-0.24248,0.029214,8e-06,8758.137,2.39834,0.16608,0.334545,478.759,0
46.215462,-0.477077,0.02905,4.4e-05,8708.971,13.190868,0.178284,0.359128,430.912,0
46.199733,-0.45693,0.028344,3.9e-05,8497.317,11.691906,0.186185,0.375044,224.938,0
46.557379,-0.341594,0.029387,1.1e-05,8810.001,3.297717,0.189749,0.382222,529.231,0
46.558137,-0.343561,0.02947,7e-06,8834.884,2.098547,0.189817,0.38236,553.446,0
46.56051,-0.344382,0.028562,6e-06,8562.672,1.798755,0.191803,0.38636,288.539,0
46.521248,-0.534041,0.024768,1.3e-05,7425.26,3.897302,0.192382,0.387527,-818.353,0
46.18093,-0.427088,0.028718,1.3e-05,8609.44,3.897302,0.198833,0.400522,334.052,0
46.564576,-0.319268,0.029499,6e-06,8843.578,1.798755,0.204844,0.412629,561.907,0
46.58871,-0.547509,0.027845,1.2e-05,8347.721,3.597509,0.253914,0.511473,79.355,0
46.604,-0.551222,0.025127,8e-06,7532.885,2.39834,0.268709,0.541276,-713.616,0
46.391708,-0.690583,0.028329,2.2e-05,8492.821,6.595434,0.285866,0.575837,220.562,0
46.660254,-0.509979,0.025337,1e-05,7595.842,2.997925,0.300625,0.605565,-652.349,0
46.685892,-0.408799,0.025227,1.4e-05,7562.864,4.197094,0.307368,0.619148,-684.441,0
46.696667,-0.321889,0.02537,2.4e-05,7605.735,7.195019,0.328802,0.662324,-642.721,0
46.671367,-0.555071,0.024861,9e-06,7453.14,2.698132,0.329027,0.662778,-791.221,0
46.254748,-0.08474,0.029943,5e-06,8976.686,1.498962,0.34337,0.69167,691.443,0
46.25951,-0.081563,0.030106,6e-06,9025.552,1.798755,0.344662,0.694272,738.998,0
46.256862,-0.076712,0.029743,5e-06,8916.727,1.498962,0.35013,0.705287,633.093,0
46.293139,-0.062665,0.029975,2.2e-05,8986.279,6.595434,0.352845,0.710757,700.779,0
46.319103,-0.766493,0.025028,4e-05,7503.206,11.991698,0.366327,0.737913,-742.499,0
46.318771,-0.766545,0.025077,2.8e-05,7517.895,8.394189,0.366432,0.738125,-728.203,0
46.010551,-0.418022,0.028228,4.1e-05,8462.542,12.291491,0.368209,0.741705,191.095,0
46.673903,-0.6638,0.029111,5e-06,8727.258,1.498962,0.392686,0.791009,448.709,0
46.675042,-0.663639,0.02906,7e-06,8711.969,2.098547,0.393437,0.792523,433.829,0
45.997671,-0.532833,0.028166,2.8e-05,8443.954,8.394189,0.401734,0.809235,173.007,0
46.633039,-0.738052,0.026068,6e-06,7814.99,1.798755,0.419138,0.844294,-439.081,0
46.63257,-0.739074,0.026083,3.6e-05,7819.487,10.792528,0.419667,0.845358,-434.705,0
46.632856,-0.738869,0.026083,3.6e-05,7819.487,10.792528,0.419677,0.845379,-434.705,0
46.555434,-0.804964,0.025437,8e-06,7625.821,2.39834,0.437316,0.88091,-623.174,0
46.314047,-0.849063,0.024981,1e-05,7489.115,2.997925,0.448702,0.903846,-756.211,0
45.971142,-0.195597,0.028051,5e-06,8409.478,1.498962,0.458064,0.922705,139.456,0
46.535096,-0.836449,0.027835,1.1e-05,8344.723,3.297717,0.458955,0.924499,76.438,0
45.961307,-0.205178,0.027498,8e-06,8243.693,2.39834,0.462614,0.931869,-21.881,0
45.960243,-0.204443,0.027605,1.2e-05,8275.771,3.597509,0.463891,0.934442,9.336,0
46.62441,-0.814273,0.028114,4e-05,8428.365,11.991698,0.477428,0.961709,157.836,0
46.164593,-0.841295,0.027536,9e-06,8255.085,2.698132,0.485908,0.978793,-10.795,0
46.612504,-0.846629,0.028122,9e-06,8430.764,2.698132,0.499755,1.006685,160.17,0
46.364556,-0.936437,0.029033,1.3e-05,8703.874,3.897302,0.531601,1.070834,425.952,0
46.838137,-0.684871,0.028663,5e-06,8592.951,1.498962,0.538085,1.083895,318.005,0
46.178601,-0.909033,0.02766,6e-05,8292.259,17.987547,0.54222,1.092225,25.382,0
46.178001,-0.909361,0.027726,2.9e-05,8312.046,8.693981,0.542746,1.093285,44.637,0
