ra,dec,z,z_err,v,v_err,radius_deg,radius_Mpc,v_offset,flag_member
159.930929,-8.686906,0.064528,0.000103,19345.008,30.878623,0.005202,0.02363,-132.866,0
159.941768,-8.688411,0.062827,0.000254,18835.061,76.147284,0.008235,0.037407,-611.689,0
159.92142,-8.685461,0.062116,0.000267,18621.908,80.044586,0.013551,0.061558,-811.832,0
159.951797,-8.678443,0.06387,0.0002,19147.744,59.958492,0.01739,0.078995,-318.09,0
159.916914,-8.703662,0.059544,0.000143,17850.842,42.870321,0.026865,0.122037,-1535.838,0
159.907859,-8.655931,0.061923,0.000247,18564.048,74.048737,0.038548,0.175109,-866.161,0
159.895959,-8.694319,0.06857,0.00018,20556.769,53.962642,0.040052,0.181938,1004.938,0
159.911029,-8.634693,0.065228,0.000113,19554.862,33.876548,0.054354,0.246909,64.181,0
159.879539,-8.683159,0.06605,0.00026,19801.292,77.946039,0.054827,0.249057,295.57,0
159.977203,-8.723275,0.061572,0.00038,18458.821,99.99,0.057566,0.261497,-964.966,0
159.992358,-8.667773,0.067543,0.000213,20248.882,63.855794,0.058871,0.267425,715.842,0
159.979619,-8.724424,0.06527,0.00022,19567.454,65.954341,0.060094,0.272981,76.004,0
159.99028,-8.709286,0.06158,0.00052,18461.22,99.99,0.060378,0.274271,-962.714,0
159.948212,-8.623045,0.06203,0.00027,18596.126,80.943964,0.061957,0.281446,-836.041,0
159.999834,-8.67639,0.066189,0.000167,19842.963,50.06534,0.064496,0.29298,334.698,0
159.998558,-8.701522,0.06243,2e-05,18716.043,5.995849,0.065333,0.29678,-723.443,0
160.00427,-8.687595,0.06583,0.00101,19735.338,99.99,0.068592,0.311584,233.641,0
160.0075,-8.693146,0.06575,0.00043,19711.354,99.99,0.072301,0.328432,211.121,0
159.978158,-8.745953,0.05982,7e-05,17933.585,20.985472,0.075543,0.343163,-1458.145,0
159.999955,-8.641817,0.059908,0.000117,17959.967,35.075718,0.076614,0.348024,-1433.374,0
160.002418,-8.644314,0.06533,0.0013,19585.441,99.99,0.077368,0.351449,92.893,0
159.853159,-8.681739,0.064234,0.00034,19256.869,99.99,0.080924,0.367607,-215.625,0
159.895586,-8.755602,0.06142,0.00029,18413.253,86.939813,0.081859,0.371852,-1007.753,0
159.907621,-8.59721,0.064651,0.000223,19381.882,66.853718,0.09054,0.411286,-98.242,0
160.015387,-8.629214,0.069778,0.0005,20918.918,99.99,0.0963,0.437451,1344.984,0
159.934193,-8.583294,0.06767,6.3e-05,20286.956,18.886925,0.100319,0.455709,751.592,0
159.987653,-8.594021,0.06128,0.00074,18371.282,99.99,0.103611,0.470664,-1047.162,0
159.998288,-8.597836,0.065378,0.00019,19599.831,56.960567,0.106166,0.482269,106.405,0
159.949324,-8.801789,0.062617,0.00014,18772.104,41.970944,0.119024,0.540678,-670.803,0
159.899583,-8.568867,0.064951,0.00018,19471.82,53.962642,0.119966,0.544954,-13.793,0
159.993876,-8.790173,0.065789,0.000127,19723.046,38.073642,0.121421,0.551565,222.1,0
159.923557,-8.805706,0.066676,4.7e-05,19988.962,14.090246,0.122619,0.557007,471.786,0
159.905803,-8.546953,0.06694,0.00021,20068.107,62.956416,0.139672,0.634471,546.101,0
159.907242,-8.542026,0.066936,5.7e-05,20066.908,17.08817,0.144218,0.655125,544.975,0
160.008848,-8.551604,0.06345,0.00021,19021.831,62.956416,0.150847,0.685236,-436.318,0
159.973474,-8.532262,0.06515,9e-05,19531.479,26.981321,0.156054,0.708887,42.224,0
159.868515,-8.534457,0.06409,7e-05,19213.699,20.985472,0.162991,0.740402,-256.161,0
160.034678,-8.833439,0.064881,0.00026,19450.834,77.946039,0.179326,0.814606,-33.498,0
159.882541,-8.505919,0.064618,0.00015,19371.989,44.968869,0.185104,0.840849,-107.531,0
159.984225,-8.862994,0.06651,7e-05,19939.196,20.985472,0.185867,0.844317,425.058,0
160.027739,-8.84719,0.06408,0.0003,19210.701,89.937737,0.187518,0.851816,-258.976,0
160.052254,-8.832611,0.065855,0.000217,19742.832,65.054963,0.188776,0.857532,240.678,0
159.739214,-8.702394,0.06234,0.00023,18689.062,68.952265,0.194451,0.883311,-748.777,0
159.995898,-8.498334,0.064591,3e-05,19363.895,8.993774,0.194811,0.884945,-115.132,0
159.853424,-8.503322,0.06423,0.00026,19255.67,77.946039,0.197501,0.897167,-216.751,0
160.052095,-8.847636,0.06525,0.00053,19561.458,99.99,0.200757,0.911955,70.374,0
159.945864,-8.892991,0.06749,0.00014,20232.993,41.970944,0.209656,0.952382,700.923,0
159.955129,-8.895123,0.06835,0.00062,20490.815,99.99,0.212447,0.965059,943.009,0
160.024613,-8.477047,0.06628,8e-05,19870.244,23.983397,0.224757,1.020978,360.314,0
160.158028,-8.727322,0.06268,0.00056,18790.991,99.99,0.224763,1.021006,-653.069,0
160.143506,-8.58825,0.06723,3e-05,20155.047,8.993774,0.227106,1.031651,627.734,0
160.104796,-8.8371,0.065742,7.7e-05,19708.956,23.084019,0.227448,1.033203,208.869,0
