ra,dec,z,z_err,v,v_err,radius_deg,radius_Mpc,v_offset,flag_member,z_offset
157.452547,-35.322399,0.012372,0.00011,3709.032,32.97717,0.025856,0.02139,377.15,0,0.0012719999999999988
157.50278,-35.325453,0.00934,7e-05,2800.062,20.985472,0.066617,0.055111,-521.842,0,-0.0017600000000000011
157.514609,-35.323412,0.009767,0.000333,2928.073,99.830889,0.076304,0.063126,-395.236,0,-0.0013330000000000009
157.521153,-35.342136,0.008426,1.3e-05,2526.051,3.897302,0.083227,0.068853,-792.844,0,-0.002674000000000001
157.534716,-35.307895,0.011611,0.000333,3480.89,99.830889,0.094384,0.078083,151.512,0,0.0005109999999999993
157.45178,-35.41882,0.01007,0.0001,3018.91,29.979246,0.096332,0.079694,-305.396,0,-0.0010299999999999997
157.526956,-35.391769,0.011985,3e-05,3593.013,8.993774,0.108665,0.089897,262.404,0,0.0008850000000000004
157.487692,-35.22442,0.012522,0.00011,3754.001,32.97717,0.115,0.095138,421.625,0,0.0014219999999999997
157.557658,-35.416179,0.008716,0.000667,2612.991,99.99,0.14345,0.118674,-706.859,0,-0.0023840000000000007
157.576031,-35.196918,0.005784,0.000183,1734.0,54.86202,0.180499,0.149324,-1576.201,0,-0.005316
157.605417,-35.221667,0.008876,3e-05,2660.958,8.993774,0.182889,0.151301,-659.419,0,-0.0022240000000000003
157.590183,-35.203554,0.007288,7e-05,2184.887,20.985472,0.184297,0.152466,-1130.263,0,-0.0038120000000000003
157.632083,-35.243889,0.008062,4.3e-05,2416.927,12.891076,0.190605,0.157685,-900.771,0,-0.0030380000000000008
157.141667,-35.460833,0.009657,7.3e-05,2895.096,21.884849,0.264998,0.219229,-427.851,0,-0.0014429999999999998
157.607504,-35.108004,0.005941,0.00015,1781.067,44.968869,0.265617,0.219741,-1529.65,0,-0.005159
157.312758,-35.065325,0.006504,0.000183,1949.85,54.86202,0.275063,0.227556,-1362.72,0,-0.004596
157.25894,-35.567931,0.008786,4.3e-05,2633.977,12.891076,0.27594,0.228281,-686.104,0,-0.002314
157.18125,-35.123611,0.008069,7.3e-05,2419.025,21.884849,0.281389,0.232789,-898.695,0,-0.0030310000000000007
157.580764,-35.580204,0.010224,4.3e-05,3065.078,12.891076,0.285814,0.236449,-259.735,0,-0.000876
157.245,-35.573056,0.010134,0.000267,3038.097,80.044586,0.28599,0.236595,-286.42,0,-0.0009659999999999998
157.245417,-35.579167,0.007515,0.000244,2252.94,73.14936,0.291122,0.240841,-1062.957,0,-0.0035850000000000005
157.240833,-35.579167,0.008009,0.000153,2401.038,45.868246,0.292982,0.24238,-916.485,0,-0.003091
157.585833,-35.592222,0.007889,7.3e-05,2365.063,21.884849,0.298401,0.246863,-952.066,0,-0.0032110000000000003
