ra,dec,z,z_err,v,v_err,radius_deg,radius_Mpc,v_offset,flag_member,z_offset
164.54578,1.60458,0.038483,1.9e-05,11536.913,5.696057,0.0,0.0,-293.303,0,-0.001016999999999997
164.551667,1.604167,0.0382,0.000333,11452.072,99.830889,0.005899,0.016618,-374.921,0,-0.0013000000000000025
164.554333,1.606861,0.038517,9e-06,11547.106,2.698132,0.008849,0.024926,-283.498,0,-0.0009829999999999978
164.55147,1.596472,0.040205,3e-05,12053.156,8.993774,0.009904,0.027899,203.322,0,0.0007049999999999973
164.557375,1.601833,0.038498,0.0001,11541.41,29.979246,0.011912,0.033554,-288.977,0,-0.0010020000000000029
164.563464,1.615807,0.039326,1.2e-05,11789.638,3.597509,0.020941,0.05899,-50.182,0,-0.00017400000000000054
164.51111,1.602666,0.039164,3.3e-05,11741.072,9.893151,0.034709,0.097774,-96.903,0,-0.00033600000000000296
164.5068,1.634841,0.040943,1.3e-05,12274.403,3.897302,0.049335,0.138976,416.162,0,0.0014429999999999998
164.549965,1.655837,0.039533,7e-06,11851.695,2.098547,0.051427,0.144869,9.517,0,3.299999999999831e-05
164.58176,1.560101,0.040367,1.6e-05,12101.722,4.796679,0.057201,0.161132,250.043,0,0.0008669999999999997
164.60968,1.642448,0.041386,1.2e-05,12407.211,3.597509,0.074256,0.209177,543.924,0,0.0018859999999999988
164.490935,1.655925,0.040651,2.3e-05,12186.863,6.895227,0.075113,0.211589,331.949,0,0.0011509999999999992
164.62502,1.628168,0.03886,1.8e-05,11649.935,5.396264,0.082647,0.232812,-184.576,0,-0.0006400000000000017
164.50915,1.519474,0.040492,1.7e-05,12139.196,5.096472,0.092648,0.260987,286.093,0,0.0009919999999999998
164.45817,1.648601,0.038876,8e-06,11654.732,2.39834,0.098017,0.27611,-179.962,0,-0.0006239999999999996
164.52423,1.504084,0.039213,1.9e-05,11755.762,5.696057,0.102779,0.289524,-82.771,0,-0.00028700000000000253
164.466055,1.677717,0.041369,1.8e-05,12402.114,5.396264,0.108167,0.304702,539.021,0,0.0018690000000000026
164.425416,1.606864,0.03843,9e-06,11521.024,2.698132,0.120338,0.338988,-308.589,0,-0.0010700000000000015
164.430917,1.567321,0.039189,1.3e-05,11748.567,3.897302,0.120712,0.340041,-89.693,0,-0.0003109999999999988
