ra,dec,z,z_err,v,v_err,radius_deg,radius_Mpc,v_offset,flag_member,z_offset
359.452406,0.795563,0.06173,1.7e-05,18506.188,5.096472,0.020121,0.086963,36.712,0,0.00012999999999999817
359.45287,0.795039,0.061593,2.2e-05,18465.117,6.595434,0.02073,0.089596,-1.977,0,-7.000000000000062e-06
359.401598,0.811248,0.0621,2.2e-05,18617.112,6.595434,0.033056,0.142867,141.198,0,0.0005000000000000004
359.480068,0.788197,0.062554,7e-06,18753.217,2.098547,0.048722,0.210572,269.407,0,0.0009539999999999965
359.380891,0.821642,0.060498,1.7e-05,18136.844,5.096472,0.056004,0.242045,-311.201,0,-0.0011019999999999988
359.49933,0.769099,0.06121,1.5e-05,18350.296,4.496887,0.073722,0.318623,-110.135,0,-0.00039000000000000146
359.344708,0.840974,0.06106,3.6e-05,18305.327,10.792528,0.09682,0.418451,-152.494,0,-0.0005399999999999988
359.531818,0.783952,0.06072,1.7e-05,18203.398,5.096472,0.100118,0.432701,-248.509,0,-0.0008799999999999988
359.332018,0.821049,0.060918,2.7e-05,18262.757,8.094396,0.103079,0.445499,-192.595,0,-0.000682000000000002
359.421293,0.693216,0.061328,2.3e-05,18385.672,6.895227,0.109387,0.472763,-76.812,0,-0.0002720000000000014
359.523928,0.732344,0.061413,2.1e-05,18411.154,6.295642,0.114244,0.493757,-52.808,0,-0.00018699999999999967
359.343972,0.885015,0.061421,2.3e-05,18413.553,6.895227,0.121996,0.527257,-50.549,0,-0.0001789999999999986
359.528572,0.881468,0.061858,9e-06,18544.562,2.698132,0.12408,0.536265,72.858,0,0.0002580000000000013
359.541209,0.863344,0.05931,8e-06,17780.691,2.39834,0.12413,0.53648,-646.689,0,-0.0022900000000000004
359.522313,0.701477,0.063107,3.7e-05,18919.003,11.092321,0.134205,0.580025,425.572,0,0.0015069999999999945
359.509327,0.690871,0.060616,1.7e-05,18172.22,5.096472,0.134582,0.581653,-277.878,0,-0.0009839999999999988
359.575273,0.768875,0.06146,7e-06,18425.244,2.098547,0.145739,0.629876,-39.536,0,-0.00014000000000000123
359.411992,0.955293,0.062148,6.7e-05,18631.502,20.086095,0.154829,0.669159,154.753,0,0.0005479999999999999
359.612616,0.760238,0.061407,1.8e-05,18409.355,5.396264,0.184065,0.795515,-54.503,0,-0.00019299999999999873
359.605273,0.724307,0.062317,1.7e-05,18682.167,5.096472,0.18865,0.815333,202.479,0,0.0007169999999999954
359.585538,0.935252,0.061249,7e-06,18361.988,2.098547,0.202331,0.874461,-99.121,0,-0.0003510000000000041
359.496928,0.592981,0.062534,9e-06,18747.222,2.698132,0.218424,0.944013,263.759,0,0.0009340000000000043
359.49649,0.592286,0.062872,6e-06,18848.551,1.798755,0.218962,0.946339,359.209,0,0.0012719999999999954
359.498652,0.586312,0.061476,8e-06,18430.041,2.39834,0.225306,0.973757,-35.017,0,-0.0001239999999999991
359.625909,0.681134,0.061887,8e-06,18553.256,2.39834,0.227327,0.982489,81.048,0,0.0002869999999999956
359.668679,0.780976,0.061158,9e-06,18334.707,2.698132,0.236268,1.021133,-124.819,0,-0.0004420000000000049
359.714678,0.800377,0.060706,9e-06,18199.201,2.698132,0.281335,1.215909,-252.463,0,-0.000893999999999999
359.718674,0.793151,0.060386,5e-06,18103.267,1.498962,0.285461,1.233744,-342.83,0,-0.0012139999999999998
359.725093,0.845717,0.060569,1.7e-05,18158.129,5.096472,0.295011,1.275015,-291.151,0,-0.0010310000000000041
359.185385,0.985429,0.061701,1.3e-05,18497.494,3.897302,0.308428,1.333005,28.522,0,0.00010099999999999693
359.734019,0.885675,0.060632,3.5e-05,18177.016,10.492736,0.312112,1.348925,-273.36,0,-0.0009680000000000036
359.767902,0.814065,0.061097,7e-06,18316.42,2.098547,0.334769,1.446847,-142.046,0,-0.0005030000000000034
359.770034,0.816252,0.060685,3.8e-05,18192.905,11.392113,0.336985,1.456425,-258.393,0,-0.0009149999999999991
359.815552,0.789702,0.061342,2.7e-05,18389.869,8.094396,0.38239,1.652664,-72.858,0,-0.0002580000000000013
359.184935,1.106712,0.061892,7e-06,18554.755,2.098547,0.393153,1.699178,82.46,0,0.0002920000000000006
359.81953,0.639675,0.061021,9e-06,18293.636,2.698132,0.418878,1.810361,-163.508,0,-0.0005790000000000031
359.82043,0.641514,0.061894,1.8e-05,18555.354,5.396264,0.419,1.81089,83.025,0,0.00029399999999999565
359.487048,1.304384,0.061405,1.3e-05,18408.756,3.897302,0.505308,2.183905,-55.067,0,-0.00019500000000000073
359.861895,0.531323,0.062509,7e-06,18739.727,2.098547,0.506827,2.190472,256.699,0,0.0009089999999999931
