ra,dec,z,z_err,v,v_err,radius_deg,radius_Mpc,v_offset,flag_member,z_offset
54.620941,-35.450657,0.004753,1.3e-05,1424.914,3.897302,0.004474,0.001546,45.658,0,0.00015300000000000036
54.627816,-35.462719,0.00467,0.000377,1400.031,99.99,0.017199,0.005944,20.889,0,6.999999999999975e-05
54.6195,-35.47975,0.00487,0.000257,1459.989,77.046662,0.031531,0.010896,80.573,0,0.0002700000000000003
54.654125,-35.428944,0.00441,0.00029,1322.085,86.939813,0.036439,0.012592,-56.7,0,-0.00019000000000000006
54.653583,-35.469306,0.004553,0.000187,1364.955,56.06119,0.036945,0.012767,-14.026,0,-4.700000000000017e-05
54.60696,-35.488869,0.004226,0.000337,1266.923,99.99,0.041239,0.014251,-111.609,0,-0.0003740000000000002
54.667625,-35.450861,0.003625,0.000128,1086.748,38.373435,0.041929,0.014489,-290.959,0,-0.0009749999999999997
54.566875,-35.469444,0.005879,0.000367,1762.48,99.99,0.045428,0.015699,381.679,0,0.0012789999999999998
54.565083,-35.473333,0.005533,0.00014,1658.752,41.970944,0.048606,0.016797,278.426,0,0.0009329999999999998
54.611292,-35.502,0.00492,0.00024,1474.979,71.95019,0.053822,0.018599,95.494,0,0.00031999999999999997
54.672292,-35.479611,0.005753,8.7e-05,1724.706,26.081944,0.055342,0.019125,344.078,0,0.0011530000000000004
54.620708,-35.382194,0.005517,0.00023,1653.955,68.952265,0.066236,0.022889,273.651,0,0.0009170000000000003
54.656583,-35.505944,0.004604,0.000413,1380.244,99.99,0.066325,0.02292,1.194,0,3.9999999999996635e-06
54.673458,-35.395694,0.005993,0.000299,1796.656,89.637945,0.070303,0.024295,415.699,0,0.0013930000000000001
54.569458,-35.50775,0.007055,8.3e-05,2115.036,24.882774,0.070596,0.024396,732.62,0,0.0024549999999999997
54.703583,-35.462194,0.006074,0.0005,1820.939,99.99,0.072483,0.025048,439.871,0,0.0014740000000000005
54.658539,-35.380801,0.004207,0.000316,1261.227,94.734417,0.075809,0.026198,-117.279,0,-0.0003930000000000001
54.738195,-35.476284,0.004199,0.000115,1258.829,34.476133,0.103199,0.035663,-119.666,0,-0.0004010000000000003
54.493221,-35.492819,0.005651,0.00025,1694.127,74.948115,0.109655,0.037894,313.639,0,0.0010509999999999999
54.688917,-35.341278,0.006633,0.000456,1988.523,99.99,0.122329,0.042274,606.687,0,0.002033
54.463665,-35.458031,0.005011,0.000347,1502.26,99.99,0.12468,0.043086,122.651,0,0.0004109999999999999
54.58679,-35.574088,0.005084,0.000103,1524.145,30.878623,0.128027,0.044243,144.435,0,0.00048400000000000006
54.771375,-35.387111,0.005326,0.000236,1596.695,70.75102,0.140419,0.048525,216.653,0,0.0007260000000000001
54.683748,-35.317124,0.004293,0.00022,1287.009,65.954341,0.142262,0.049162,-91.615,0,-0.000307
54.716321,-35.594162,0.006494,1.3e-05,1946.852,3.897302,0.167071,0.057736,565.207,0,0.0018939999999999999
54.589535,-35.259686,0.007755,5e-05,2324.891,14.989623,0.189895,0.065623,941.514,0,0.003155
54.689326,-35.266322,0.006102,0.000349,1829.334,99.99,0.191496,0.066176,448.226,0,0.0015019999999999999
54.538425,-35.637169,0.003999,8e-05,1198.87,23.983397,0.199197,0.068838,-179.35,0,-0.000601
54.574937,-35.251677,0.004306,3.7e-05,1290.906,11.092321,0.199512,0.068946,-87.735,0,-0.000294
54.409371,-35.339045,0.006838,5.3e-05,2049.981,15.889,0.200863,0.069413,667.863,0,0.0022380000000000004
54.864085,-35.489046,0.003802,0.000254,1139.811,76.147284,0.205961,0.071175,-238.139,0,-0.0007980000000000001
54.59759,-35.664797,0.002525,7e-05,756.976,20.985472,0.217,0.07499,-619.221,0,-0.002075
54.598969,-35.23041,0.00546,4.7e-05,1636.867,14.090246,0.218374,0.075465,256.641,0,0.0008599999999999997
54.510425,-35.687634,0.003112,0.000173,932.954,51.864095,0.254359,0.0879,-444.049,0,-0.0014879999999999997
54.290042,-35.508056,0.002122,0.000291,636.16,87.239605,0.272371,0.094124,-739.484,0,-0.0024779999999999997
54.24375,-35.495972,0.0046,6.3e-05,1379.045,18.886925,0.30717,0.10615,0.0,0,0.0
54.237612,-35.506541,0.004343,4e-05,1301.999,11.991698,0.313898,0.108475,-76.694,0,-0.0002570000000000003
54.249241,-35.343216,0.006821,0.000478,2044.884,99.99,0.316919,0.109519,662.79,0,0.002221
54.580154,-35.129144,0.004737,6.7e-05,1420.117,20.086095,0.320538,0.11077,40.884,0,0.00013699999999999997
54.155252,-35.385883,0.004541,0.00011,1361.358,32.97717,0.380703,0.131561,-17.607,0,-5.9000000000000025e-05
55.041236,-35.612917,0.006752,3e-05,2024.199,8.993774,0.383341,0.132473,642.199,0,0.0021520000000000003
54.766168,-35.082062,0.004795,0.00049,1437.505,99.99,0.386093,0.133424,58.192,0,0.00019499999999999986
55.03875,-35.624444,0.006764,3e-06,2027.796,0.899377,0.386626,0.133608,645.78,0,0.002164
54.137837,-35.525345,0.005,0.000333,1498.962,99.830889,0.39727,0.137287,119.368,0,0.0004000000000000002
54.131886,-35.295197,0.005751,3e-05,1724.106,8.993774,0.423255,0.146266,343.481,0,0.0011510000000000001
55.065292,-35.662728,0.0038,0.000336,1139.211,99.99,0.424006,0.146526,-238.736,0,-0.0007999999999999999
54.183333,-35.1425,0.004757,0.000333,1426.113,99.830889,0.466807,0.161317,46.852,0,0.00015700000000000002
54.016509,-35.441262,0.004416,7e-06,1323.883,2.098547,0.488623,0.168856,-54.909,0,-0.00018400000000000014
54.198812,-35.809342,0.00453,3.7e-05,1358.06,11.092321,0.495955,0.17139,-20.889,0,-6.999999999999975e-05
54.894769,-35.895653,0.005097,0.000247,1528.042,74.048737,0.501576,0.173332,148.315,0,0.000497
55.141083,-35.022611,0.007262,0.000107,2177.093,32.077793,0.603353,0.208504,794.393,0,0.0026620000000000003
54.11487,-34.975968,0.006261,4e-05,1877.001,11.991698,0.624461,0.215798,495.675,0,0.0016610000000000001
55.154405,-34.977758,0.006041,0.00053,1811.046,99.99,0.643144,0.222254,430.023,0,0.0014410000000000004
54.1925,-35.999284,0.002895,1.7e-05,867.899,5.096472,0.650166,0.224681,-508.806,0,-0.001705
53.81995,-35.265537,0.002468,2e-05,739.888,5.995849,0.673959,0.232903,-636.231,0,-0.0021319999999999998
