field,n_objects
SPLUS-s24s23_predicted,8762
SPLUS-s24s24_predicted,36245
SPLUS-s24s25_predicted,47475
SPLUS-s24s26_predicted,43307
SPLUS-s24s27_predicted,46449
SPLUS-s24s28_predicted,46516
SPLUS-s24s29_predicted,47508
SPLUS-s24s31_predicted,42307
SPLUS-s24s32_predicted,39919
SPLUS-s24s33_predicted,36971
SPLUS-s24s34_predicted,45408
SPLUS-s24s35_predicted,38898
SPLUS-s24s36_predicted,50025
SPLUS-s24s37_predicted,50118
SPLUS-s24s38_predicted,37611
SPLUS-s24s39_predicted,54276
SPLUS-s24s40_predicted,44722
SPLUS-s24s41_predicted,46131
SPLUS-s24s42_predicted,50220
SPLUS-s24s43_predicted,46299
SPLUS-s24s44_predicted,43571
SPLUS-s24s45_predicted,46726
SPLUS-s24s46_predicted,47051
SPLUS-s24s47_predicted,55740
SPLUS-s24s48_predicted,33734
SPLUS-s25s22_predicted,13
SPLUS-s25s23_predicted,44040
SPLUS-s25s24_predicted,43492
SPLUS-s25s26_predicted,51722
SPLUS-s25s27_predicted,46012
SPLUS-s25s28_predicted,38821
SPLUS-s25s29_predicted,41938
SPLUS-s25s30_predicted,50894
SPLUS-s25s31_predicted,50330
SPLUS-s25s32_predicted,45883
SPLUS-s25s33_predicted,52185
SPLUS-s25s34_predicted,37247
SPLUS-s25s35_predicted,55441
SPLUS-s25s36_predicted,50859
SPLUS-s25s37_predicted,41062
SPLUS-s25s38_predicted,52166
SPLUS-s25s39_predicted,40966
SPLUS-s25s40_predicted,39557
SPLUS-s25s41_predicted,38326
SPLUS-s25s42_predicted,46290
SPLUS-s25s43_predicted,43674
SPLUS-s25s44_predicted,60145
SPLUS-s25s45_predicted,40092
SPLUS-s25s46_predicted,41087
SPLUS-s25s47_predicted,45461
SPLUS-s25s48_predicted,22289
SPLUS-s26s22_predicted,21099
SPLUS-s26s23_predicted,42233
SPLUS-s26s24_predicted,45675
SPLUS-s26s25_predicted,53944
SPLUS-s26s26_predicted,55577
SPLUS-s26s27_predicted,41086
SPLUS-s26s28_predicted,41504
SPLUS-s26s29_predicted,38860
SPLUS-s26s30_predicted,49201
SPLUS-s26s31_predicted,42837
SPLUS-s26s32_predicted,34235
SPLUS-s26s33_predicted,44376
SPLUS-s26s34_predicted,46859
SPLUS-s26s35_predicted,48027
SPLUS-s26s36_predicted,48880
SPLUS-s26s37_predicted,37909
SPLUS-s26s38_predicted,50304
SPLUS-s26s39_predicted,57414
SPLUS-s26s40_predicted,45430
SPLUS-s26s41_predicted,40615
SPLUS-s26s42_predicted,47487
SPLUS-s26s43_predicted,50771
SPLUS-s26s44_predicted,48387
SPLUS-s26s45_predicted,46721
SPLUS-s26s46_predicted,59086
SPLUS-s26s47_predicted,52100
SPLUS-s27s21_predicted,200
SPLUS-s27s22_predicted,30813
SPLUS-s27s23_predicted,43619
SPLUS-s27s24_predicted,49861
SPLUS-s27s25_predicted,98476
SPLUS-s27s26_predicted,53559
SPLUS-s27s27_predicted,43748
SPLUS-s27s28_predicted,45384
SPLUS-s27s29_predicted,41204
SPLUS-s27s30_predicted,44607
SPLUS-s27s31_predicted,47195
SPLUS-s27s32_predicted,44941
SPLUS-s27s33_predicted,49733
SPLUS-s27s34_predicted,46138
SPLUS-s27s35_predicted,50466
SPLUS-s27s36_predicted,43307
SPLUS-s27s37_predicted,37235
SPLUS-s27s38_predicted,51543
SPLUS-s27s39_predicted,40576
SPLUS-s27s40_predicted,48985
SPLUS-s27s41_predicted,52329
SPLUS-s27s42_predicted,55403
SPLUS-s27s43_predicted,48380
SPLUS-s27s44_predicted,44827
SPLUS-s27s45_predicted,50645
SPLUS-s27s46_predicted,48756
SPLUS-s28s22_predicted,39629
SPLUS-s28s23_predicted,49601
SPLUS-s28s24_predicted,40087
SPLUS-s28s25_predicted,37726
SPLUS-s28s26_predicted,49247
SPLUS-s28s27_predicted,39446
SPLUS-s28s28_predicted,45713
SPLUS-s28s29_predicted,51415
SPLUS-s28s30_predicted,40876
SPLUS-s28s31_predicted,47193
SPLUS-s28s32_predicted,51460
SPLUS-s28s33_predicted,46177
SPLUS-s28s34_predicted,40537
SPLUS-s28s35_predicted,38794
SPLUS-s28s36_predicted,37323
SPLUS-s28s37_predicted,52504
SPLUS-s28s38_predicted,45152
SPLUS-s28s39_predicted,46123
SPLUS-s28s40_predicted,43465
SPLUS-s28s41_predicted,51983
SPLUS-s28s42_predicted,55874
