ra,dec,z,z_err,v,v_err,radius_deg,radius_Mpc,v_offset,flag_member,z_offset
356.854167,-2.326528,0.01947,0.000123,5836.959,36.874472,0.008597,0.013652,-683.614,0,-0.0023299999999999987
356.828875,-2.3135,0.021108,0.0001,6328.019,29.979246,0.020847,0.033105,-203.03,0,-0.0006920000000000016
356.845792,-2.300667,0.023123,7.3e-05,6932.101,21.884849,0.025324,0.040214,388.163,0,0.0013230000000000013
356.849125,-2.35125,0.020024,8.7e-05,6003.044,26.081944,0.025507,0.040505,-521.072,0,-0.0017759999999999998
356.841667,-2.3535,0.020124,0.00016,6033.023,47.966793,0.027786,0.044125,-491.732,0,-0.0016760000000000004
356.860833,-2.353278,0.022342,2e-05,6697.963,5.995849,0.031255,0.049634,159.021,0,0.0005420000000000008
356.847083,-2.363056,0.019984,2.3e-05,5991.052,6.895227,0.037096,0.058909,-532.808,0,-0.0018160000000000016
356.832917,-2.280667,0.022232,8e-05,6664.986,23.983397,0.047056,0.074725,126.747,0,0.00043199999999999836
356.834583,-2.374111,0.024173,1.3e-05,7246.883,3.897302,0.04936,0.078383,696.23,0,0.002373
356.885,-2.374806,0.022946,0.00022,6879.038,65.954341,0.062725,0.099607,336.232,0,0.0011460000000000012
356.90775,-2.316667,0.022235,7e-05,6665.885,20.985472,0.062814,0.099749,127.627,0,0.00043500000000000136
356.788917,-2.260444,0.025244,0.00016,7567.961,47.966793,0.086612,0.13754,1010.457,0,0.003443999999999999
356.792083,-2.253278,0.025321,2e-05,7591.045,5.995849,0.090245,0.14331,1033.049,0,0.003521
356.942,-2.336,0.022385,0.000333,6710.854,99.830889,0.096859,0.153812,171.637,0,0.0005849999999999987
356.97463,-2.275054,0.01968,7e-05,5899.916,20.985472,0.13864,0.22016,-622.0,0,-0.0021200000000000004
356.823009,-2.186192,0.02451,0.00049,7347.913,99.99,0.141605,0.224869,795.104,0,0.0027100000000000006
356.848999,-2.169196,0.021485,8e-05,6441.041,23.983397,0.156831,0.249048,-92.42,0,-0.0003149999999999993
356.703519,-2.408111,0.022295,7.7e-05,6683.873,23.084019,0.163988,0.260412,145.231,0,0.0004949999999999989
357.01575,-2.413,0.021278,7e-05,6378.984,20.985472,0.191,0.303307,-153.153,0,-0.0005220000000000016
356.747625,-2.136444,0.021545,0.000137,6459.029,41.071567,0.213324,0.338758,-74.816,0,-0.0002549999999999983
357.047125,-2.432583,0.022165,4.3e-05,6644.9,12.891076,0.22785,0.361825,107.09,0,0.00036500000000000074
356.70875,-2.143611,0.022049,0.000333,6610.124,99.830889,0.227934,0.361958,73.056,0,0.0002489999999999992
356.72234,-2.062872,0.021504,2.1e-05,6446.737,6.295642,0.290507,0.461324,-86.845,0,-0.0002960000000000011
356.684583,-2.077222,0.022699,0.000333,6804.989,99.830889,0.296248,0.470441,263.763,0,0.0008990000000000005
357.17057,-2.363882,0.021961,1.6e-05,6583.742,4.796679,0.326926,0.519157,47.237,0,0.00016100000000000142
