field,n_objects
SPLUS-s02s18_predicted,35657
SPLUS-s02s19_predicted,37590
SPLUS-s02s20_predicted,37482
SPLUS-s02s21_predicted,27899
SPLUS-s02s22_predicted,43756
SPLUS-s02s23_predicted,33960
SPLUS-s02s24_predicted,41460
SPLUS-s02s25_predicted,38594
SPLUS-s02s26_predicted,37257
STRIPE82_0001_predicted,42261
STRIPE82_0002_predicted,52165
STRIPE82_0003_predicted,42970
STRIPE82_0004_predicted,44677
STRIPE82_0005_predicted,40192
STRIPE82_0006_predicted,36768
STRIPE82_0007_predicted,45972
STRIPE82_0008_predicted,51333
STRIPE82_0009_predicted,52604
STRIPE82_0010_predicted,33683
STRIPE82_0153_predicted,12557
STRIPE82_0154_predicted,3284
STRIPE82_0155_predicted,47685
STRIPE82_0156_predicted,50295
STRIPE82_0157_predicted,53750
STRIPE82_0158_predicted,44159
STRIPE82_0159_predicted,29810
STRIPE82_0160_predicted,38393
STRIPE82_0161_predicted,40634
STRIPE82_0162_predicted,42226
STRIPE82_0163_predicted,44920
STRIPE82_0164_predicted,62800
STRIPE82_0165_predicted,35918
STRIPE82_0166_predicted,52544
STRIPE82_0167_predicted,53424
STRIPE82_0168_predicted,40885
STRIPE82_0169_predicted,37430
STRIPE82_0170_predicted,51645
