ra,dec,z,z_err,v,v_err,radius_deg,radius_Mpc,v_offset,flag_member,z_offset
159.191667,-27.523639,0.016498,1.3e-05,4945.976,3.897302,0.015546,0.01457,1154.05,0,0.0038979999999999987
159.190417,-27.508917,0.014914,5e-05,4471.105,14.989623,0.021185,0.019856,685.088,0,0.002314
159.14875,-27.518444,0.013593,1.4e-05,4075.079,4.197094,0.023318,0.021855,293.99,0,0.000992999999999999
159.168203,-27.549355,0.015361,0.000123,4605.112,36.874472,0.025469,0.02387,817.427,0,0.0027609999999999996
159.209167,-27.51325,0.017579,0.000107,5270.052,32.077793,0.033,0.030929,1474.093,0,0.004979000000000001
159.171667,-27.561,0.016111,4.3e-05,4829.956,12.891076,0.036627,0.034328,1039.474,0,0.0035110000000000002
159.26052,-27.565069,0.009627,3e-05,2886.102,8.993774,0.086695,0.081254,-880.193,0,-0.002973
159.073118,-27.503698,0.010234,0.000267,3068.076,80.044586,0.091975,0.086203,-700.483,0,-0.002366
159.229625,-27.44625,0.013813,0.000274,4141.033,82.143133,0.092375,0.086577,359.123,0,0.0012130000000000005
159.114673,-27.441922,0.012569,0.000287,3768.091,86.040435,0.09794,0.091793,-9.178,0,-3.099999999999978e-05
159.071592,-27.474885,0.012769,0.000404,3828.05,99.99,0.103582,0.097081,50.034,0,0.00016900000000000075
159.056311,-27.532077,0.01442,0.000387,4323.007,99.99,0.104789,0.098212,538.833,0,0.0018200000000000004
159.28925,-27.480361,0.009173,0.000294,2749.996,88.138983,0.111175,0.104198,-1014.605,0,-0.0034269999999999995
159.093333,-27.438139,0.011855,1.1e-05,3554.04,3.297717,0.112186,0.105145,-220.566,0,-0.0007450000000000009
159.287667,-27.472139,0.008319,0.00035,2493.973,99.99,0.113436,0.106317,-1267.442,0,-0.004281
159.242657,-27.621538,0.019087,0.000297,5722.139,89.03836,0.114533,0.107345,1920.555,0,0.006487
159.077375,-27.621667,0.011828,0.000267,3545.945,80.044586,0.129692,0.121552,-228.56,0,-0.0007720000000000001
159.211723,-27.383856,0.014363,0.000447,4305.919,99.99,0.144477,0.135409,521.957,0,0.0017630000000000007
159.111924,-27.390534,0.011171,7e-05,3348.982,20.985472,0.144834,0.135745,-423.073,0,-0.0014289999999999997
159.231,-27.668,0.013512,0.000333,4050.796,99.830889,0.152152,0.142603,270.009,0,0.0009119999999999996
159.290075,-27.658126,0.013723,1.1e-05,4114.052,3.297717,0.168638,0.158054,332.478,0,0.0011230000000000007
159.059083,-27.663333,0.011678,0.000267,3500.976,80.044586,0.172354,0.161537,-272.969,0,-0.0009220000000000009
