field,n_objects
HYDRA-0011_predicted,7961
HYDRA-0021_predicted,54833
HYDRA-0031_predicted,64635
HYDRA-0035_predicted,59273
HYDRA-0036_predicted,52778
HYDRA-0037_predicted,58800
HYDRA-0039_predicted,57642
HYDRA-0041_predicted,62869
HYDRA-0044_predicted,56776
HYDRA-0045_predicted,77727
HYDRA-0048_predicted,62914
HYDRA-0050_predicted,75474
HYDRA-0052_predicted,71717
HYDRA-0053_predicted,64955
HYDRA-0055_predicted,79891
HYDRA-0056_predicted,71451
HYDRA-0061_predicted,78544
HYDRA-0062_predicted,61800
HYDRA-0064_predicted,61971
HYDRA-0069_predicted,66242
HYDRA-0070_predicted,65920
HYDRA-0075_predicted,60657
HYDRA-0084_predicted,66973
HYDRA-0085_predicted,59840
HYDRA-0093_predicted,33535
HYDRA-D-0001_predicted,106442
HYDRA-D-0002_predicted,77110
HYDRA-D-0003_predicted,8950
HYDRA-D-0004_predicted,386
HYDRA_0012_predicted,69328
HYDRA_0013_predicted,65299
HYDRA_0014_predicted,71159
HYDRA_0015_predicted,48838
HYDRA_0016_predicted,49599
HYDRA_0017_predicted,39444
HYDRA_0018_predicted,57678
HYDRA_0019_predicted,53901
HYDRA_0020_predicted,55217
HYDRA_0022_predicted,69477
HYDRA_0023_predicted,63407
HYDRA_0024_predicted,60071
HYDRA_0025_predicted,68081
HYDRA_0026_predicted,54612
HYDRA_0027_predicted,57314
HYDRA_0028_predicted,54442
HYDRA_0029_predicted,58024
HYDRA_0030_predicted,24608
HYDRA_0032_predicted,87785
HYDRA_0033_predicted,85506
HYDRA_0034_predicted,84785
HYDRA_0038_predicted,56534
HYDRA_0040_predicted,76728
HYDRA_0042_predicted,57846
HYDRA_0043_predicted,66063
HYDRA_0046_predicted,71065
HYDRA_0047_predicted,69931
HYDRA_0049_predicted,25687
HYDRA_0051_predicted,60778
HYDRA_0054_predicted,84048
HYDRA_0057_predicted,85582
HYDRA_0058_predicted,92788
HYDRA_0059_predicted,20450
HYDRA_0060_predicted,80557
HYDRA_0063_predicted,71981
HYDRA_0065_predicted,55447
HYDRA_0066_predicted,64458
HYDRA_0067_predicted,76992
HYDRA_0068_predicted,5785
HYDRA_0071_predicted,82312
HYDRA_0072_predicted,63080
HYDRA_0073_predicted,76003
HYDRA_0074_predicted,76282
HYDRA_0076_predicted,68456
HYDRA_0078_predicted,4277
HYDRA_0079_predicted,61948
HYDRA_0080_predicted,86298
HYDRA_0081_predicted,62503
HYDRA_0082_predicted,81606
HYDRA_0083_predicted,72470
HYDRA_0088_predicted,5608
HYDRA_0089_predicted,37667
HYDRA_0091_predicted,66939
HYDRA_0092_predicted,50718
HYDRA_0094_predicted,1028
SPLUS-n15s07_predicted,244
SPLUS-n15s08_predicted,179
SPLUS-n16s03_predicted,1699
SPLUS-n16s04_predicted,21310
SPLUS-n16s05_predicted,37790
SPLUS-n16s06_predicted,50556
SPLUS-n16s07_predicted,56864
SPLUS-n16s08_predicted,39003
SPLUS-n16s09_predicted,23932
SPLUS-n16s10_predicted,2904
SPLUS-n17s02_predicted,4287
SPLUS-n17s03_predicted,42693
SPLUS-n17s04_predicted,43641
SPLUS-n17s05_predicted,51546
SPLUS-n17s06_predicted,63657
SPLUS-n17s07_predicted,70579
SPLUS-n17s08_predicted,62945
SPLUS-n17s09_predicted,59255
SPLUS-n17s10_predicted,53201
SPLUS-n17s11_predicted,12016
SPLUS-n18s02_predicted,31726
SPLUS-n18s03_predicted,43973
SPLUS-n18s04_predicted,67597
SPLUS-n18s05_predicted,55649
SPLUS-n18s06_predicted,62274
SPLUS-n18s07_predicted,53412
SPLUS-n18s08_predicted,54252
SPLUS-n18s09_predicted,54836
SPLUS-n18s10_predicted,47664
SPLUS-n18s11_predicted,48638
SPLUS-n18s12_predicted,8967
SPLUS-n19s01_predicted,53223
SPLUS-n19s02_predicted,47040
SPLUS-n19s03_predicted,4616
SPLUS-n20s01_predicted,53147
SPLUS-n20s02_predicted,58936
SPLUS-n20s03_predicted,21606
