field,n_objects
HYDRA-0011_predicted,69262
HYDRA-0021_predicted,71205
HYDRA-0031_predicted,64635
HYDRA-0035_predicted,59273
HYDRA-0036_predicted,52778
HYDRA-0037_predicted,58800
HYDRA-0039_predicted,57642
HYDRA-0041_predicted,62869
HYDRA-0044_predicted,56776
HYDRA-0045_predicted,77727
HYDRA-0048_predicted,62914
HYDRA-0050_predicted,75474
HYDRA-0052_predicted,71717
HYDRA-0053_predicted,64955
HYDRA-0055_predicted,79891
HYDRA-0056_predicted,71451
HYDRA-0061_predicted,78544
HYDRA-0062_predicted,61800
HYDRA-0064_predicted,61971
HYDRA-0069_predicted,75728
HYDRA-0070_predicted,65920
HYDRA-0075_predicted,60657
HYDRA-0077_predicted,87169
HYDRA-0084_predicted,66973
HYDRA-0085_predicted,63777
HYDRA-0086_predicted,81740
HYDRA-0093_predicted,85323
HYDRA-0095_predicted,70468
HYDRA-0096_predicted,76928
HYDRA-0102_predicted,71806
HYDRA-0103_predicted,80674
HYDRA-0104_predicted,96799
HYDRA-0111_predicted,77949
HYDRA-0112_predicted,674
HYDRA-0120_predicted,78742
HYDRA-D-0001_predicted,106461
HYDRA-D-0002_predicted,88608
HYDRA-D-0003_predicted,101303
HYDRA-D-0004_predicted,90423
HYDRA_0012_predicted,71591
HYDRA_0013_predicted,65299
HYDRA_0014_predicted,71159
HYDRA_0015_predicted,48838
HYDRA_0016_predicted,49599
HYDRA_0017_predicted,39444
HYDRA_0018_predicted,57678
HYDRA_0019_predicted,53901
HYDRA_0020_predicted,55217
HYDRA_0022_predicted,69477
HYDRA_0023_predicted,63407
HYDRA_0024_predicted,60071
HYDRA_0025_predicted,68081
HYDRA_0026_predicted,54612
HYDRA_0027_predicted,57314
HYDRA_0028_predicted,54442
HYDRA_0029_predicted,58024
HYDRA_0030_predicted,84466
HYDRA_0032_predicted,87785
HYDRA_0033_predicted,85506
HYDRA_0034_predicted,84785
HYDRA_0038_predicted,56534
HYDRA_0040_predicted,76728
HYDRA_0042_predicted,57846
HYDRA_0043_predicted,66063
