ra,dec,z,z_err,v,v_err,radius_deg,radius_Mpc,v_offset,flag_member,z_offset
318.488042,2.567,0.048157,5.7e-05,14437.105,17.08817,0.005408,0.018793,-326.563,0,-0.0011429999999999982
318.4843,2.581619,0.047964,1.3e-05,14379.245,3.897302,0.016398,0.056986,-381.705,0,-0.001335999999999997
318.514167,2.566917,0.05104,9e-05,15301.407,26.981321,0.031269,0.108664,497.13,0,0.0017400000000000054
318.445238,2.564008,0.04846,5.7e-05,14527.943,17.08817,0.037656,0.130861,-239.994,0,-0.0008399999999999935
318.45739,2.53583,0.048986,8e-06,14685.633,2.39834,0.038952,0.135366,-89.712,0,-0.00031399999999999484
318.52472,2.575573,0.050477,1.1e-05,15132.624,3.297717,0.043018,0.149495,336.277,0,0.0011770000000000044
318.451208,2.519333,0.046899,0.00039,14059.966,99.99,0.055804,0.193931,-685.983,0,-0.0024009999999999934
318.434958,2.596667,0.04798,0.00015,14384.042,44.968869,0.057271,0.199027,-377.133,0,-0.0013199999999999948
318.4811,2.623262,0.048072,1e-05,14411.623,2.997925,0.05801,0.201597,-350.848,0,-0.001228
318.521208,2.613083,0.048847,9e-05,14643.962,26.981321,0.061228,0.212781,-129.425,0,-0.0004529999999999951
318.437,2.516667,0.05116,0.00011,15337.382,32.97717,0.066834,0.23226,531.415,0,0.0018600000000000005
318.516875,2.623444,0.046152,5.7e-05,13836.022,17.08817,0.067338,0.234012,-899.406,0,-0.003147999999999998
318.41483,2.548819,0.049727,1.1e-05,14907.78,3.297717,0.069975,0.243178,121.997,0,0.00042700000000000377
318.408708,2.548083,0.049354,7.7e-05,14795.957,23.084019,0.076096,0.264449,15.428,0,5.400000000000543e-05
318.501708,2.639028,0.04797,7e-06,14381.044,2.098547,0.076101,0.264467,-379.99,0,-0.0013299999999999979
318.554458,2.53,0.04995,8e-05,14974.633,23.983397,0.079709,0.277005,185.71,0,0.0006500000000000047
318.39643,2.562528,0.050761,9e-06,15217.765,2.698132,0.086437,0.300386,417.418,0,0.001461000000000004
318.457,2.648389,0.04655,0.00023,13955.339,68.952265,0.087046,0.302504,-785.695,0,-0.0027499999999999955
318.577667,2.569722,0.05076,0.00017,15217.465,50.964718,0.094766,0.329331,417.132,0,0.001460000000000003
318.44782,2.477002,0.051196,9e-06,15348.175,2.698132,0.094983,0.330086,541.701,0,0.0018960000000000019
318.447583,2.476361,0.050788,5.3e-05,15225.859,15.889,0.095667,0.33246,425.132,0,0.0014880000000000032
318.446045,2.476927,0.05057,0.0002,15160.505,59.958492,0.095721,0.33265,362.848,0,0.0012700000000000003
318.4142,2.493703,0.045686,1e-05,13696.318,2.997925,0.099171,0.344638,-1032.545,0,-0.003613999999999999
318.416625,2.639639,0.04807,0.00013,14411.023,38.97302,0.09957,0.346025,-351.42,0,-0.001229999999999995
318.561417,2.500889,0.050538,9.3e-05,15150.911,27.880699,0.101475,0.352646,353.705,0,0.001238000000000003
318.582458,2.543389,0.04841,0.00019,14512.953,56.960567,0.101829,0.353876,-254.279,0,-0.000889999999999995
318.391,2.609778,0.05209,0.0002,15616.189,59.958492,0.102032,0.354582,797.123,0,0.002790000000000001
318.461375,2.676472,0.04605,0.00012,13805.443,35.975095,0.113254,0.39358,-928.548,0,-0.003249999999999996
318.39657,2.640867,0.053935,1.2e-05,16169.306,3.597509,0.114687,0.398559,1324.252,0,0.004635
318.593792,2.532417,0.05067,0.00018,15190.484,53.962642,0.115543,0.401534,391.419,0,0.0013700000000000032
318.59908,2.574243,0.046494,1.2e-05,13938.551,3.597509,0.116399,0.40451,-801.694,0,-0.002805999999999996
318.370958,2.515528,0.04891,0.0002,14662.849,59.958492,0.122407,0.425387,-111.426,0,-0.0003899999999999945
318.443708,2.446083,0.04366,0.00035,13088.939,99.99,0.125466,0.436018,-1611.388,0,-0.005639999999999999
318.53511,2.451007,0.047145,9e-06,14133.715,2.698132,0.125609,0.436517,-615.699,0,-0.002154999999999997
318.606833,2.591056,0.04362,0.00055,13076.947,99.99,0.126454,0.439451,-1622.816,0,-0.0056799999999999976
318.361167,2.523126,0.048594,6.7e-05,14568.115,20.086095,0.128719,0.447324,-201.709,0,-0.0007059999999999983
318.587,2.643528,0.04735,0.00018,14195.173,53.962642,0.130138,0.452253,-557.129,0,-0.0019499999999999934
318.55775,2.675778,0.05265,0.00023,15784.073,68.952265,0.133415,0.463644,957.119,0,0.0033500000000000058
318.39141,2.464107,0.048559,1.1e-05,14557.622,3.297717,0.13635,0.473845,-211.709,0,-0.0007409999999999986
318.517375,2.43125,0.053866,1.2e-05,16148.621,3.597509,0.138382,0.480904,1304.539,0,0.004566000000000001
318.60775,2.627667,0.051899,0.000187,15558.929,56.06119,0.139449,0.484612,742.553,0,0.002599000000000004
318.61125,2.620861,0.04921,0.00025,14752.787,74.948115,0.139741,0.485626,-25.714,0,-8.99999999999998e-05
318.344458,2.587111,0.04677,0.00023,14021.293,68.952265,0.140026,0.486616,-722.839,0,-0.0025299999999999975
318.45664,2.427063,0.051046,9e-06,15303.206,2.698132,0.140686,0.488913,498.845,0,0.0017460000000000045
318.40706,2.445041,0.048682,1.5e-05,14594.496,4.496887,0.142124,0.493907,-176.567,0,-0.0006179999999999936
318.539792,2.700639,0.04921,0.00015,14752.787,44.968869,0.146803,0.510169,-25.714,0,-8.99999999999998e-05
318.593167,2.664194,0.049691,7e-06,14896.987,2.098547,0.148041,0.514473,111.711,0,0.00039100000000000246
318.62834,2.594701,0.049215,9e-06,14754.286,2.698132,0.148233,0.51514,-24.285,0,-8.49999999999948e-05
318.633058,2.604482,0.050782,9e-05,15224.061,26.981321,0.155036,0.538779,423.418,0,0.0014820000000000041
318.597292,2.450667,0.04998,0.00021,14983.627,62.956416,0.161843,0.562436,194.281,0,0.00068
318.64397,2.542066,0.046438,1.2e-05,13921.762,3.597509,0.162565,0.564944,-817.694,0,-0.0028619999999999965
318.32483,2.628228,0.044304,1.5e-05,13282.005,4.496887,0.170005,0.5908,-1427.393,0,-0.0049959999999999935
318.31228,2.547648,0.048397,1.2e-05,14509.056,3.597509,0.171368,0.595539,-257.994,0,-0.0009029999999999941
318.6221,2.665871,0.050477,1.5e-05,15132.624,4.496887,0.17162,0.596415,336.277,0,0.0011770000000000044
318.624225,2.465778,0.05057,0.00016,15160.505,47.966793,0.172715,0.600219,362.848,0,0.0012700000000000003
318.309908,2.522527,0.04759,7e-06,14267.123,2.098547,0.178038,0.618717,-488.559,0,-0.0017099999999999962
