ra,dec,z,z_err,v,v_err,radius_deg,radius_Mpc,v_offset,flag_member,z_offset
55.20625,-45.677778,0.0698,0.000333,20925.514,99.830889,0.00673,0.031962,241.474,0,0.0008610000000000007
55.195179,-45.669071,0.068571,0.00015,20557.069,44.968869,0.015648,0.074312,-103.209,0,-0.0003680000000000072
55.171583,-45.689111,0.069468,0.000113,20825.982,33.876548,0.022069,0.104806,148.362,0,0.0005290000000000017
55.286748,-45.692105,0.066746,3.3e-05,20009.947,9.893151,0.059575,0.282923,-615.044,0,-0.0021930000000000005
55.281636,-45.75813,0.068184,0.000437,20441.049,99.99,0.092638,0.43994,-211.746,0,-0.0007550000000000057
55.289345,-45.766876,0.069201,0.000304,20745.938,91.136907,0.102872,0.488542,73.48,0,0.00026199999999999835
55.267478,-45.778904,0.068344,0.000333,20489.016,99.830889,0.105348,0.5003,-166.872,0,-0.0005949999999999983
55.277143,-45.786427,0.070395,0.00015,21103.89,44.968869,0.115085,0.546545,408.347,0,0.001455999999999999
55.292307,-45.789991,0.070695,0.000137,21193.828,41.071567,0.123322,0.585662,492.484,0,0.0017559999999999937
55.270926,-45.80357,0.070615,0.000193,21169.844,57.859944,0.128911,0.612201,470.048,0,0.001675999999999997
55.304498,-45.805302,0.069832,0.000133,20935.107,39.872397,0.140837,0.668839,250.449,0,0.0008930000000000049
55.337228,-45.79679,0.070832,0.000647,21234.899,99.99,0.147069,0.698438,530.907,0,0.0018930000000000058
55.33863,-45.526258,0.0677,0.000333,20295.949,99.830889,0.184195,0.874749,-347.487,0,-0.001239000000000004
54.916754,-45.65676,0.069268,0.00015,20766.024,44.968869,0.201314,0.95605,92.271,0,0.00032899999999999596
55.177216,-45.886655,0.071116,0.00015,21320.04,44.968869,0.203499,0.966423,610.557,0,0.0021769999999999984
55.44645,-45.531847,0.070632,0.00015,21174.941,44.968869,0.228518,1.085242,474.815,0,0.001693
55.331241,-45.900034,0.06903,0.000213,20694.673,63.855794,0.234149,1.111982,25.522,0,9.099999999999386e-05
