field,n_objects
SPLUS-s33s30_predicted,12425
SPLUS-s33s31_predicted,30764
SPLUS-s33s32_predicted,22736
SPLUS-s33s33_predicted,3431
SPLUS-s34s28_predicted,1546
SPLUS-s34s29_predicted,36149
SPLUS-s34s30_predicted,51847
SPLUS-s34s31_predicted,51349
SPLUS-s34s32_predicted,45285
SPLUS-s34s33_predicted,8244
SPLUS-s35s28_predicted,30845
SPLUS-s35s29_predicted,52973
SPLUS-s35s30_predicted,53858
SPLUS-s35s31_predicted,48633
SPLUS-s35s32_predicted,35706
SPLUS-s36s27_predicted,18110
SPLUS-s36s28_predicted,41657
SPLUS-s36s29_predicted,52864
SPLUS-s36s30_predicted,44038
SPLUS-s36s31_predicted,38461
SPLUS-s36s32_predicted,877
SPLUS-s37s27_predicted,18360
SPLUS-s37s28_predicted,39308
SPLUS-s37s29_predicted,50362
SPLUS-s37s30_predicted,32132
SPLUS-s37s31_predicted,822
SPLUS-s38s27_predicted,1796
SPLUS-s38s28_predicted,6738
SPLUS-s38s29_predicted,2041
