ra,dec,z,z_err,v,v_err,radius_deg,radius_Mpc,v_offset,flag_member,z_offset
74.712964,-0.5251,0.01497,0.000333,4487.893,99.830889,0.039586,0.04406,-8.861,0,-2.9999999999998778e-05
74.836083,-0.507083,0.015684,0.00015,4701.945,44.968869,0.107995,0.120201,202.028,0,0.0006840000000000006
74.805208,-0.58875,0.01398,0.00014,4191.099,41.970944,0.125041,0.139174,-301.269,0,-0.00102
74.642,-0.67,0.01425,0.000333,4272.043,99.830889,0.200921,0.223629,-221.522,0,-0.0007499999999999989
74.574083,-0.696083,0.014487,0.00015,4343.093,44.968869,0.258825,0.288078,-151.521,0,-0.0005129999999999996
74.894292,-0.260417,0.01389,9e-05,4164.117,26.981321,0.281879,0.313737,-327.852,0,-0.0011099999999999999
75.082175,-0.519904,0.014583,0.00015,4371.873,44.968869,0.353919,0.393919,-123.166,0,-0.00041699999999999897
74.695042,-0.884361,0.01457,9e-05,4367.976,26.981321,0.396697,0.441532,-127.006,0,-0.0004299999999999998
75.023244,-0.109604,0.01601,0.00014,4799.677,41.970944,0.479899,0.534137,298.316,0,0.0010100000000000005
74.223667,-0.588167,0.015064,6.3e-05,4516.074,18.886925,0.51549,0.57375,18.903,0,6.399999999999982e-05
74.706125,-1.053028,0.014133,0.00015,4236.967,44.968869,0.564346,0.628128,-256.079,0,-0.0008669999999999997
75.430083,-0.506222,0.01585,0.00011,4751.71,32.97717,0.700685,0.779876,251.058,0,0.0008500000000000001
74.386263,-1.122753,0.01459,0.0001,4373.972,29.979246,0.720615,0.802058,-121.098,0,-0.0004099999999999989
74.41625,0.306944,0.014914,0.000333,4471.105,99.830889,0.85555,0.952244,-25.401,0,-8.599999999999927e-05
75.110275,-1.386133,0.0156,0.00012,4676.762,35.975095,0.974403,1.08453,177.217,0,0.0005999999999999998
73.744792,-0.07025,0.01397,0.00013,4188.101,38.97302,1.070155,1.191103,-304.223,0,-0.0010299999999999997
75.7075,-1.256806,0.014907,0.00015,4469.006,44.968869,1.243191,1.383696,-27.469,0,-9.299999999999933e-05
75.723833,-1.286222,0.01467,0.00012,4397.955,35.975095,1.274268,1.418286,-97.469,0,-0.0003299999999999987
74.113542,0.71125,0.01516,0.0001,4544.854,29.979246,1.349253,1.501746,47.258,0,0.00016000000000000042
75.865167,0.660278,0.013993,7e-06,4194.996,2.098547,1.615764,1.798378,-297.43,0,-0.0010069999999999992
