ra,dec,z,z_err,v,v_err,radius_deg,radius_Mpc,v_offset,flag_member,z_offset
170.45133,2.818186,0.046417,1.5e-05,13915.467,4.496887,0.023382,0.081555,-731.065,0,-0.0025579999999999978
170.406014,2.792016,0.051784,2.1e-05,15524.453,6.295642,0.034222,0.119363,802.8,0,0.002808999999999999
170.40479,2.788337,0.047212,1.2e-05,14153.802,3.597509,0.037859,0.132048,-503.858,0,-0.0017630000000000007
170.440833,2.861111,0.0495,0.000333,14839.727,99.830889,0.044683,0.15585,150.043,0,0.0005250000000000046
170.425417,2.867778,0.04777,0.000333,14321.086,99.830889,0.049511,0.172691,-344.384,0,-0.0012049999999999977
170.42534,2.868561,0.047767,1.4e-05,14320.186,4.197094,0.050297,0.175432,-345.241,0,-0.0012080000000000007
170.397747,2.763552,0.050962,1.5e-05,15278.023,4.496887,0.062521,0.218067,567.876,0,0.0019870000000000027
170.462125,2.878028,0.050039,1e-05,15001.315,2.997925,0.068782,0.239907,304.087,0,0.0010640000000000024
170.397802,2.882051,0.051742,1.4e-05,15511.861,4.197094,0.070465,0.245774,790.796,0,0.0027670000000000056
170.44797,2.750159,0.048125,1.3e-05,14427.512,3.897302,0.071052,0.247821,-242.926,0,-0.0008499999999999966
170.401314,2.884281,0.05112,1.8e-05,15325.39,5.396264,0.071103,0.248003,613.032,0,0.002145000000000001
170.410735,2.891731,0.049064,1.1e-05,14709.017,3.297717,0.075381,0.262923,25.436,0,8.900000000000574e-05
170.501969,2.837956,0.047372,2.1e-05,14201.768,6.295642,0.076519,0.266892,-458.13,0,-0.0016030000000000003
170.42025,2.898325,0.048738,1.6e-05,14611.285,4.796679,0.080361,0.280292,-67.734,0,-0.0002370000000000011
170.38242,2.751813,0.051553,1e-05,15455.201,2.997925,0.080559,0.280983,736.781,0,0.002578000000000004
170.385677,2.88725,0.048832,1.1e-05,14639.465,3.297717,0.080809,0.281855,-40.869,0,-0.0001429999999999973
170.378382,2.882238,0.049,0.000333,14689.83,99.830889,0.080823,0.281903,7.145,0,2.5000000000004186e-05
170.38713,2.74824,0.050235,3e-05,15060.074,8.993774,0.08107,0.282766,360.102,0,0.0012600000000000042
170.397094,2.893822,0.051105,0.00016,15320.894,47.966793,0.081529,0.284366,608.745,0,0.00213
