field,n_objects
SPLUS-n01s45_predicted,10646
SPLUS-n01s46_predicted,48725
SPLUS-n01s47_predicted,40824
SPLUS-n01s48_predicted,50455
SPLUS-n01s49_predicted,60264
SPLUS-n01s50_predicted,49422
SPLUS-n01s51_predicted,791
SPLUS-n02n45_predicted,25118
SPLUS-n02n46_predicted,44338
SPLUS-n02n47_predicted,54467
SPLUS-n02n48_predicted,60390
SPLUS-n02n49_predicted,58398
SPLUS-n02n50_predicted,54044
SPLUS-n02n51_predicted,11399
SPLUS-n02s46_predicted,13870
SPLUS-n02s47_predicted,43046
SPLUS-n02s48_predicted,42696
SPLUS-n02s49_predicted,31596
SPLUS-n02s50_predicted,5509
SPLUS-n03n51_predicted,8591
SPLUS-n04n51_predicted,692
SPLUS-n05n50_predicted,19326
