field,n_objects
SPLUS-n02n50_predicted,9
SPLUS-n02n51_predicted,22463
SPLUS-n02n52_predicted,32202
SPLUS-n02n53_predicted,26737
SPLUS-n02n54_predicted,918
SPLUS-n03n51_predicted,36627
SPLUS-n03n52_predicted,40291
SPLUS-n03n53_predicted,38954
SPLUS-n03n54_predicted,17917
SPLUS-n04n51_predicted,38915
SPLUS-n04n52_predicted,41833
SPLUS-n04n53_predicted,39826
SPLUS-n04n54_predicted,18318
SPLUS-n05n51_predicted,12887
SPLUS-n05n52_predicted,32272
SPLUS-n05n53_predicted,28017
SPLUS-n05n54_predicted,9303
