ra,dec,z,z_err,v,v_err,radius_deg,radius_Mpc,v_offset,flag_member,z_offset
150.059543,-19.636961,0.013222,3.3e-05,3963.856,9.893151,3e-06,3e-06,6.51,0,2.199999999999945e-05
150.054583,-19.64,0.012769,0.000173,3828.05,51.864095,0.005571,0.005413,-127.527,0,-0.0004309999999999991
150.054102,-19.673017,0.013483,0.0001,4042.102,29.979246,0.036419,0.035386,83.736,0,0.00028300000000000027
150.019916,-19.6161,0.012982,0.00015,3891.906,44.968869,0.042754,0.041542,-64.503,0,-0.00021799999999999944
150.117583,-19.671194,0.012812,0.00024,3840.941,71.95019,0.064502,0.062673,-114.804,0,-0.00038799999999999946
150.06,-19.564,0.01185,0.000333,3552.541,99.830889,0.072961,0.070893,-399.447,0,-0.0013500000000000005
150.137958,-19.661972,0.014103,6e-05,4227.973,17.987547,0.077978,0.075767,267.186,0,0.0009029999999999993
150.157083,-19.548333,0.012092,0.00012,3625.09,35.975095,0.127651,0.124032,-327.843,0,-0.0011079999999999996
149.904444,-19.679295,0.013142,0.00015,3939.872,44.968869,0.152087,0.147775,-17.161,0,-5.800000000000076e-05
150.159042,-19.761194,0.012435,0.00015,3727.919,44.968869,0.155617,0.151205,-226.353,0,-0.0007650000000000001
149.931,-19.539,0.013497,0.000333,4046.299,99.830889,0.155733,0.151318,87.878,0,0.0002970000000000004
150.18503,-19.755129,0.011261,4e-05,3375.963,11.991698,0.167132,0.162394,-573.724,0,-0.0019389999999999998
150.241667,-19.628972,0.011912,0.000333,3571.128,99.830889,0.171721,0.166852,-381.102,0,-0.0012879999999999992
149.860417,-19.649167,0.011338,0.000244,3399.047,73.14936,0.187939,0.182611,-550.941,0,-0.001861999999999999
149.92,-19.465833,0.01504,0.000424,4508.879,99.99,0.21577,0.209653,544.432,0,0.0018399999999999996
150.252092,-19.754267,0.012949,0.0001,3882.013,29.979246,0.215986,0.209863,-74.268,0,-0.0002509999999999995
149.871575,-19.492252,0.013356,5.7e-05,4004.028,17.08817,0.228651,0.222168,46.158,0,0.0001559999999999999
149.936667,-19.846389,0.012882,0.000333,3861.926,99.830889,0.239276,0.232493,-94.092,0,-0.0003180000000000006
149.828027,-19.473147,0.012175,0.00015,3649.973,44.968869,0.272727,0.264994,-303.284,0,-0.0010249999999999999
150.288501,-19.441932,0.011608,0.00015,3479.991,44.968869,0.290755,0.282512,-471.052,0,-0.0015919999999999997
150.380042,-19.539556,0.011338,0.000183,3399.047,54.86202,0.317188,0.308195,-550.941,0,-0.001861999999999999
149.721417,-19.705444,0.012085,0.00015,3622.992,44.968869,0.325739,0.316503,-329.914,0,-0.0011149999999999997
149.922521,-19.284099,0.0128,0.000333,3837.343,99.830889,0.375719,0.365067,-118.355,0,-0.0003999999999999993
150.131361,-19.192011,0.011798,8.3e-05,3536.951,24.882774,0.450061,0.437302,-414.833,0,-0.0014020000000000005
150.452125,-19.941694,0.014075,2.5e-05,4219.579,7.494811,0.479145,0.46556,258.901,0,0.0008750000000000008
150.381136,-20.043026,0.012295,0.00015,3685.948,44.968869,0.50659,0.492227,-267.778,0,-0.0009049999999999996
149.411333,-19.502639,0.012329,0.00015,3696.141,44.968869,0.62511,0.607387,-257.717,0,-0.0008710000000000002
149.526616,-19.230466,0.013016,0.00015,3902.099,44.968869,0.645888,0.627576,-54.443,0,-0.00018400000000000014
150.768738,-19.82724,0.011741,0.00015,3519.863,44.968869,0.694526,0.674835,-431.699,0,-0.0014590000000000002
150.181036,-20.368011,0.012729,0.00015,3816.058,44.968869,0.739953,0.718974,-139.363,0,-0.0004709999999999992
150.385167,-20.382861,0.012415,1.2e-05,3721.923,3.597509,0.80649,0.783625,-232.271,0,-0.0007849999999999992
149.150417,-19.365278,0.012719,0.000333,3813.06,99.830889,0.898317,0.872849,-142.322,0,-0.0004810000000000005
150.339125,-20.618056,0.013269,0.00015,3977.946,44.968869,1.015819,0.98702,20.416,0,6.899999999999962e-05
151.128856,-19.460886,0.012552,0.0001,3762.995,29.979246,1.022401,0.993414,-191.735,0,-0.0006479999999999993
149.870375,-20.773083,0.012759,0.00015,3825.052,44.968869,1.150008,1.117403,-130.486,0,-0.0004410000000000004
149.917125,-20.787528,0.012796,0.00015,3836.144,44.968869,1.15836,1.125519,-119.538,0,-0.00040399999999999985
148.647583,-19.892389,0.012889,0.00015,3864.025,44.968869,1.354147,1.315755,-92.021,0,-0.0003110000000000005
150.996399,-20.781988,0.013256,0.000103,3974.049,30.878623,1.445569,1.404585,16.57,0,5.6000000000000494e-05
149.40675,-18.178694,0.012065,7e-06,3616.996,2.098547,1.582577,1.537708,-335.831,0,-0.0011350000000000006
150.64686,-21.181375,0.012769,0.00015,3828.05,44.968869,1.64049,1.593979,-127.527,0,-0.0004309999999999991
148.616375,-18.638889,0.012602,7e-06,3777.985,2.098547,1.686315,1.638505,-176.94,0,-0.0005979999999999996
