ra,dec,z,z_err,v,v_err,radius_deg,radius_Mpc,v_offset,flag_member
157.133225,-35.677692,0.008172,7.3e-05,2449.904,21.884849,0.037658,0.023943,-125.434,0
157.205,-35.621667,0.009376,0.000223,2810.854,66.853718,0.050588,0.032164,232.44,0
157.100088,-35.572628,0.006671,0.000667,1999.915,99.99,0.079552,0.050579,-571.589,0
157.249167,-35.636389,0.008726,0.000554,2615.989,99.99,0.082407,0.052394,39.235,0
157.247083,-35.6175,0.005564,0.00036,1668.045,99.99,0.084167,0.053513,-900.631,0
157.235833,-35.594167,0.008596,0.00022,2577.016,65.954341,0.085925,0.054631,0.594,0
157.240833,-35.579167,0.008009,0.000153,2401.038,45.868246,0.098182,0.062424,-173.884,0
157.262814,-35.674605,0.006221,8.3e-05,1865.009,24.882774,0.098839,0.062842,-705.346,0
157.269267,-35.628657,0.006661,0.000437,1996.918,99.99,0.09945,0.06323,-574.561,0
157.245417,-35.579167,0.007515,0.000244,2252.94,73.14936,0.101072,0.064262,-320.72,0
157.245,-35.573056,0.010134,0.000267,3038.097,80.044586,0.104725,0.066584,457.747,0
157.02875,-35.59,0.009553,0.000233,2863.917,69.851643,0.109981,0.069926,285.051,0
157.221378,-35.547859,0.005397,8e-05,1617.98,23.983397,0.111439,0.070852,-950.27,0
157.25894,-35.567931,0.008786,4.3e-05,2633.977,12.891076,0.116682,0.074186,57.07,0
157.293199,-35.655573,0.006471,0.000517,1939.957,99.99,0.118777,0.075518,-631.036,0
157.03375,-35.565833,0.01013,0.000494,3036.898,99.99,0.120092,0.076354,456.558,0
157.298242,-35.657968,0.007412,0.00015,2222.062,44.968869,0.123137,0.078291,-351.335,0
157.080157,-35.758572,0.008402,0.000103,2518.856,30.878623,0.128953,0.081988,-57.07,0
157.312921,-35.693034,0.013019,7.3e-05,3902.998,21.884849,0.143414,0.091183,1315.278,0
157.141667,-35.460833,0.009657,7.3e-05,2895.096,21.884849,0.18124,0.115232,315.964,0
156.989075,-35.821607,0.007542,0.00015,2261.035,44.968869,0.221223,0.140653,-312.694,0
157.45178,-35.41882,0.01007,0.0001,3018.91,29.979246,0.3328,0.211594,438.723,0
157.504713,-35.813833,0.006538,0.000183,1960.043,54.86202,0.336992,0.214259,-611.121,0
157.580764,-35.580204,0.010224,4.3e-05,3065.078,12.891076,0.357084,0.227033,484.498,0
157.585833,-35.592222,0.007889,7.3e-05,2365.063,21.884849,0.35928,0.22843,-209.553,0
157.526956,-35.391769,0.011985,3e-05,3593.013,8.993774,0.396812,0.252292,1007.934,0
157.557658,-35.416179,0.008716,0.000667,2612.991,99.99,0.402281,0.255769,36.263,0
157.452547,-35.322399,0.012372,0.00011,3709.032,32.97717,0.404227,0.257007,1122.965,0
157.521153,-35.342136,0.008426,1.3e-05,2526.051,3.897302,0.426474,0.271151,-49.936,0
157.50278,-35.325453,0.00934,7e-05,2800.062,20.985472,0.428171,0.27223,221.74,0
157.514609,-35.323412,0.009767,0.000333,2928.073,99.830889,0.436191,0.277329,348.66,0
156.835087,-35.274224,0.009777,0.00015,2931.071,44.968869,0.447131,0.284285,351.633,0
157.534716,-35.307895,0.011611,0.000333,3480.89,99.830889,0.458688,0.291633,896.767,0
157.487692,-35.22442,0.012522,0.00011,3754.001,32.97717,0.500581,0.318268,1167.551,0
157.18125,-35.123611,0.008069,7.3e-05,2419.025,21.884849,0.519093,0.330038,-156.05,0
157.779167,-35.518889,0.008833,7.3e-05,2648.067,21.884849,0.5275,0.335383,71.04,0
157.632083,-35.243889,0.008062,4.3e-05,2416.927,12.891076,0.559694,0.355852,-158.131,0
