field,n_objects
SPLUS-n10s35_predicted,407
SPLUS-n10s36_predicted,1014
SPLUS-n11s34_predicted,10784
SPLUS-n11s35_predicted,32075
SPLUS-n11s36_predicted,48705
SPLUS-n11s37_predicted,37668
SPLUS-n11s38_predicted,12635
SPLUS-n12s32_predicted,2125
SPLUS-n12s33_predicted,47041
SPLUS-n12s34_predicted,49102
SPLUS-n12s35_predicted,48834
SPLUS-n12s36_predicted,51462
SPLUS-n12s37_predicted,40603
SPLUS-n12s38_predicted,340
SPLUS-n13s33_predicted,33200
SPLUS-n13s34_predicted,47352
SPLUS-n13s35_predicted,50328
SPLUS-n13s36_predicted,45071
SPLUS-n13s37_predicted,51918
SPLUS-n13s38_predicted,20584
SPLUS-n14s33_predicted,29293
SPLUS-n14s34_predicted,42201
SPLUS-n14s35_predicted,52705
SPLUS-n14s36_predicted,41584
SPLUS-n14s37_predicted,51752
SPLUS-n14s38_predicted,14435
SPLUS-n15s33_predicted,10577
SPLUS-n15s34_predicted,45938
SPLUS-n15s35_predicted,47655
SPLUS-n15s36_predicted,43161
SPLUS-n15s37_predicted,25840
SPLUS-n16s33_predicted,4039
SPLUS-n16s34_predicted,13499
SPLUS-n16s35_predicted,7505
