field,n_objects
SPLUS-n01s37_predicted,44154
SPLUS-n01s38_predicted,36531
SPLUS-n02s37_predicted,56444
SPLUS-n02s38_predicted,53515
SPLUS-n03s28_predicted,2352
SPLUS-n03s43_predicted,46330
SPLUS-n03s44_predicted,20127
SPLUS-n04s41_predicted,44636
SPLUS-n04s42_predicted,38180
SPLUS-n04s43_predicted,44060
SPLUS-n04s44_predicted,42212
SPLUS-n05s43_predicted,43614
SPLUS-n05s44_predicted,45435
SPLUS-n05s45_predicted,55527
SPLUS-n06s40_predicted,41180
SPLUS-n06s41_predicted,43725
SPLUS-n06s42_predicted,51436
SPLUS-n06s43_predicted,52680
SPLUS-n06s44_predicted,50261
SPLUS-n06s45_predicted,43621
SPLUS-n07s38_predicted,46226
SPLUS-n07s39_predicted,44196
SPLUS-n07s40_predicted,47463
SPLUS-n07s41_predicted,46066
SPLUS-n07s42_predicted,51632
SPLUS-n07s43_predicted,59781
SPLUS-n07s44_predicted,47553
SPLUS-n08s37_predicted,46285
SPLUS-n08s38_predicted,47240
SPLUS-n08s39_predicted,48690
SPLUS-n08s40_predicted,52492
SPLUS-n08s41_predicted,45218
SPLUS-n08s42_predicted,54760
SPLUS-n08s43_predicted,53869
SPLUS-n09s36_predicted,58817
SPLUS-n09s37_predicted,40057
SPLUS-n09s38_predicted,59708
SPLUS-n09s39_predicted,54768
SPLUS-n09s40_predicted,58561
SPLUS-n09s41_predicted,58024
SPLUS-n09s42_predicted,58505
SPLUS-n09s43_predicted,57430
SPLUS-n09s44_predicted,50310
SPLUS-n10s25_predicted,40766
SPLUS-n10s26_predicted,47444
SPLUS-n10s29_predicted,52461
SPLUS-n10s30_predicted,45080
SPLUS-n10s31_predicted,50574
SPLUS-n10s32_predicted,47633
SPLUS-n10s33_predicted,51766
SPLUS-n10s34_predicted,51842
SPLUS-n10s35_predicted,50772
SPLUS-n10s36_predicted,57403
SPLUS-n10s37_predicted,41692
SPLUS-n10s38_predicted,56083
SPLUS-n10s39_predicted,45805
SPLUS-n10s40_predicted,45718
SPLUS-n10s41_predicted,49721
SPLUS-n10s42_predicted,53114
SPLUS-n10s43_predicted,67564
SPLUS-n11s23_predicted,199
SPLUS-n11s24_predicted,37233
SPLUS-n11s25_predicted,37027
SPLUS-n11s26_predicted,52119
SPLUS-n11s27_predicted,55151
SPLUS-n11s28_predicted,53126
SPLUS-n11s29_predicted,57359
SPLUS-n11s30_predicted,51785
SPLUS-n11s31_predicted,34027
SPLUS-n11s32_predicted,52904
SPLUS-n11s33_predicted,47720
SPLUS-n11s34_predicted,61992
SPLUS-n11s35_predicted,41942
SPLUS-n11s36_predicted,50102
SPLUS-n11s37_predicted,46451
SPLUS-n11s38_predicted,58721
SPLUS-n11s39_predicted,49467
SPLUS-n11s40_predicted,61710
SPLUS-n11s41_predicted,74049
SPLUS-n11s42_predicted,71961
SPLUS-n11s43_predicted,71133
SPLUS-n11s44_predicted,68965
SPLUS-n12s22_predicted,4798
SPLUS-n12s23_predicted,54551
SPLUS-n12s24_predicted,52867
SPLUS-n12s25_predicted,55095
SPLUS-n12s26_predicted,58325
SPLUS-n12s27_predicted,59515
SPLUS-n12s28_predicted,39521
SPLUS-n12s29_predicted,50380
SPLUS-n12s30_predicted,46464
SPLUS-n12s31_predicted,74842
SPLUS-n12s32_predicted,72724
SPLUS-n12s33_predicted,54215
SPLUS-n12s34_predicted,49102
SPLUS-n12s35_predicted,48834
SPLUS-n12s36_predicted,51462
SPLUS-n12s37_predicted,50918
SPLUS-n12s38_predicted,47270
SPLUS-n12s39_predicted,47884
SPLUS-n12s40_predicted,51067
SPLUS-n12s41_predicted,68930
SPLUS-n12s42_predicted,47360
