ra,dec,z,z_err,v,v_err,radius_deg,radius_Mpc,v_offset,flag_member,z_offset
324.281473,0.452571,0.050102,1.4e-05,15020.202,4.197094,0.006192,0.022435,-256.15,0,-0.000897999999999996
324.284919,0.446459,0.050722,9e-06,15206.073,2.698132,0.007076,0.025638,-79.298,0,-0.00027799999999999353
324.259802,0.428292,0.050925,1.4e-05,15266.931,4.197094,0.026404,0.095671,-21.393,0,-7.499999999999868e-05
324.270697,0.479003,0.050208,1.4e-05,15051.98,4.197094,0.03232,0.117106,-225.914,0,-0.0007919999999999941
324.303975,0.410908,0.05127,1.4e-05,15370.359,4.197094,0.04492,0.162758,77.016,0,0.00027000000000000635
324.228976,0.45247,0.051449,5.2e-05,15424.022,15.589208,0.049194,0.178245,128.075,0,0.00044900000000000495
324.257438,0.400747,0.049092,2.4e-05,14717.411,7.195019,0.051042,0.184942,-544.247,0,-0.001908
324.298426,0.395224,0.051261,3.1e-05,15367.661,9.293566,0.056154,0.203462,74.449,0,0.0002610000000000043
324.334533,0.404746,0.053098,3.3e-05,15918.38,9.893151,0.070942,0.257043,598.444,0,0.0020980000000000026
324.341982,0.396287,0.050269,8e-06,15070.267,2.39834,0.082015,0.297165,-208.514,0,-0.0007309999999999955
324.34606,0.494474,0.05095,3e-05,15274.426,8.993774,0.082761,0.299867,-14.262,0,-4.999999999999449e-05
324.385622,0.466704,0.05285,1.6e-05,15844.031,4.796679,0.109397,0.39638,527.703,0,0.0018500000000000044
324.205635,0.539349,0.051823,1.4e-05,15536.145,4.197094,0.11688,0.423493,234.757,0,0.0008230000000000043
324.164209,0.398206,0.049439,1e-05,14821.439,2.997925,0.123933,0.449045,-445.267,0,-0.0015609999999999999
324.387311,0.384479,0.051512,3.1e-05,15442.909,9.293566,0.126243,0.457416,146.045,0,0.0005120000000000055
324.41511,0.381113,0.049629,3.7e-05,14878.4,11.092321,0.152405,0.552208,-391.071,0,-0.0013709999999999972
324.139435,0.371195,0.05062,1.3e-05,15175.494,3.897302,0.158112,0.572887,-108.393,0,-0.0003799999999999984
324.432107,0.523794,0.052396,8e-06,15707.926,2.39834,0.172026,0.623302,398.202,0,0.0013960000000000014
324.193091,0.263039,0.050997,1.5e-05,15288.516,4.496887,0.20303,0.73564,-0.856,0,-2.9999999999960614e-06
324.149287,0.271666,0.050847,0.000145,15243.547,43.469906,0.21786,0.789372,-43.642,0,-0.00015299999999999342
324.501839,0.443714,0.050404,5.2e-05,15110.739,15.589208,0.223944,0.811417,-170.006,0,-0.0005959999999999993
324.428052,0.27088,0.049094,1.3e-05,14718.011,3.897302,0.231804,0.839893,-543.677,0,-0.001905999999999998
324.555804,0.446701,0.050547,1.3e-05,15153.609,3.897302,0.277877,1.00683,-129.216,0,-0.0004529999999999951
324.000601,0.406154,0.050369,2.6e-05,15100.246,7.794604,0.280376,1.015886,-179.99,0,-0.0006309999999999996
324.150699,0.18365,0.051463,3.8e-05,15428.219,11.392113,0.292918,1.06133,132.068,0,0.0004630000000000051
324.030384,0.634136,0.051939,1e-05,15570.92,2.997925,0.310005,1.123242,267.845,0,0.0009390000000000023
