ra,dec,z,z_err,v,v_err,radius_deg,radius_Mpc,v_offset,flag_member,z_offset
37.86907,1.270732,0.02251,0.000333,6748.328,99.830889,1.1e-05,1.8e-05,0.0,0,0.0
37.858843,1.247521,0.021875,4.1e-05,6557.96,12.291491,0.025369,0.041557,-186.177,0,-0.0006350000000000001
37.805204,1.244929,0.022062,2e-05,6614.021,5.995849,0.068865,0.112808,-131.35,0,-0.0004480000000000005
37.798399,1.265684,0.021148,7e-06,6340.011,2.098547,0.070828,0.116025,-399.328,0,-0.0013619999999999986
37.85666,1.343063,0.024709,1e-05,7407.572,2.997925,0.073377,0.120201,644.731,0,0.0021989999999999996
37.859,1.346278,0.02433,7e-06,7293.951,2.098547,0.076204,0.124831,533.611,0,0.0018200000000000022
37.866046,1.346991,0.023981,1.2e-05,7189.323,3.597509,0.07631,0.125004,431.286,0,0.001471
37.955258,1.2611,0.022052,8e-06,6611.023,2.39834,0.08671,0.142042,-134.282,0,-0.0004580000000000001
37.957581,1.248116,0.019662,5.2e-05,5894.519,15.589208,0.091342,0.149628,-835.013,0,-0.002848
37.926905,1.196895,0.023055,6e-06,6911.715,1.798755,0.093793,0.153644,159.79,0,0.0005450000000000003
37.807194,1.193905,0.023492,1.1e-05,7042.724,3.297717,0.09864,0.161583,287.915,0,0.0009820000000000002
37.773723,1.216259,0.020277,6.2e-05,6078.892,18.587132,0.109789,0.179848,-654.699,0,-0.002232999999999999
37.972954,1.209524,0.025122,8e-06,7531.386,2.39834,0.120563,0.197495,765.819,0,0.0026119999999999997
37.987917,1.244444,0.0221,0.000333,6625.413,99.830889,0.121699,0.199357,-120.209,0,-0.00040999999999999717
37.990634,1.24644,0.021996,7e-06,6594.235,2.098547,0.123946,0.203037,-150.701,0,-0.0005139999999999971
38.006519,1.230356,0.024427,4e-05,7323.03,11.991698,0.143232,0.234631,562.05,0,0.001917000000000002
37.70839,1.257145,0.020999,8.8e-05,6295.342,26.381736,0.161209,0.264078,-443.014,0,-0.0015109999999999985
38.022189,1.209995,0.022304,2.5e-05,6686.571,7.494811,0.164699,0.269796,-60.398,0,-0.00020599999999999785
38.030865,1.223034,0.024717,1.6e-05,7409.97,4.796679,0.168649,0.276267,647.076,0,0.0022070000000000006
38.042828,1.24748,0.020776,8e-06,6228.488,2.39834,0.175272,0.287115,-508.396,0,-0.0017339999999999994
37.976621,1.115671,0.020929,1.4e-05,6274.356,4.197094,0.188705,0.30912,-463.538,0,-0.001580999999999999
37.672083,1.258056,0.024505,6e-06,7346.414,1.798755,0.197341,0.323267,584.919,0,0.0019950000000000002
38.090076,1.174963,0.021656,1.4e-05,6492.305,4.197094,0.240823,0.394496,-250.387,0,-0.0008539999999999971
37.619683,1.087795,0.02357,3.4e-05,7066.108,10.192944,0.30924,0.506571,310.784,0,0.001060000000000002
38.146203,1.094177,0.022204,8e-06,6656.592,2.39834,0.328547,0.538197,-89.717,0,-0.00030599999999999725
38.153255,1.093525,0.021707,2.9e-05,6507.595,8.693981,0.334859,0.548537,-235.434,0,-0.0008029999999999982
37.722862,0.966536,0.021299,0.000104,6385.28,31.178416,0.337498,0.552861,-355.056,0,-0.0012110000000000003
38.076755,0.992618,0.023757,7e-06,7122.169,2.098547,0.347083,0.568562,365.611,0,0.0012470000000000016
38.204118,1.163873,0.022487,6e-06,6741.433,1.798755,0.351606,0.575971,-6.743,0,-2.2999999999998716e-05
38.211586,1.149169,0.021521,7e-06,6451.833,2.098547,0.363378,0.595254,-289.968,0,-0.0009890000000000003
38.233114,1.230772,0.021072,2.7e-05,6317.227,8.094396,0.366149,0.599793,-421.611,0,-0.0014379999999999983
