ra,dec,z,z_err,v,v_err,radius_deg,radius_Mpc,v_offset,flag_member,z_offset
214.331511,2.344279,0.05512,1.4e-05,16524.56,4.197094,1e-06,5e-06,103.175,0,0.0003630000000000022
214.305,2.347715,0.054783,1.9e-05,16423.53,5.696057,0.02671,0.10345,7.39,0,2.5999999999998247e-05
214.362968,2.412264,0.053338,1.9e-05,15990.33,5.696057,0.074898,0.290091,-403.321,0,-0.0014189999999999967
214.36202,2.201052,0.056028,1.8e-05,16796.772,5.396264,0.146436,0.567167,361.255,0,0.0012710000000000013
214.329873,2.551314,0.054409,1.3e-05,16311.408,3.897302,0.20704,0.801895,-98.912,0,-0.0003480000000000011
214.46656,2.501911,0.055993,1e-05,16786.279,2.997925,0.207498,0.803668,351.307,0,0.001236000000000001
214.41569,2.129609,0.054694,1.7e-05,16396.849,5.096472,0.23056,0.89299,-17.906,0,-6.300000000000056e-05
214.268952,2.572338,0.054762,1.6e-05,16417.235,4.796679,0.236469,0.915874,1.421,0,4.9999999999980616e-06
214.23498,2.127553,0.053956,1.1e-05,16175.602,3.297717,0.237219,0.918782,-227.667,0,-0.0008010000000000031
214.09077,2.358515,0.054712,1.5e-05,16402.245,4.496887,0.240959,0.933267,-12.79,0,-4.500000000000337e-05
214.26375,2.576417,0.055,0.000333,16488.585,99.830889,0.241808,0.936556,69.068,0,0.00024300000000000016
214.11656,2.463982,0.054217,1.3e-05,16253.848,3.897302,0.245876,0.952308,-153.484,0,-0.0005399999999999988
214.086061,2.295753,0.054949,1.5e-05,16473.296,4.496887,0.249999,0.968277,54.572,0,0.00019199999999999773
214.43343,2.086257,0.0539,2.7e-05,16158.813,8.094396,0.277392,1.074374,-243.584,0,-0.0008569999999999967
214.090528,2.205881,0.054409,3.1e-05,16311.408,9.293566,0.277722,1.075653,-98.912,0,-0.0003480000000000011
214.409513,2.061679,0.056173,1.1e-05,16840.242,3.297717,0.293151,1.135413,402.468,0,0.0014160000000000006
214.398015,2.053213,0.055434,1.1e-05,16618.695,3.297717,0.298556,1.156345,192.423,0,0.000676999999999997
214.361683,2.046918,0.054689,1.1e-05,16395.35,3.297717,0.298886,1.157626,-19.328,0,-6.799999999999862e-05
214.425231,2.057004,0.053488,2.4e-05,16035.299,7.195019,0.302153,1.170278,-360.687,0,-0.0012689999999999993
214.386885,2.044442,0.054885,1.8e-05,16454.109,5.396264,0.3049,1.180918,36.381,0,0.0001280000000000031
214.32793,2.034052,0.05418,2.4e-05,16242.755,7.195019,0.310249,1.201633,-164.0,0,-0.0005770000000000011
214.271836,2.035791,0.055378,1.5e-05,16601.907,4.496887,0.314198,1.21693,176.506,0,0.0006209999999999966
214.409847,2.036113,0.0561,0.000333,16818.357,99.830889,0.317952,1.231469,381.719,0,0.001342999999999997
214.153124,2.043704,0.05464,1e-05,16380.66,2.997925,0.349449,1.35346,-33.255,0,-0.00011699999999999905
214.302267,1.991939,0.05594,1.4e-05,16770.39,4.197094,0.35355,1.369347,336.243,0,0.0011829999999999966
214.363183,1.988493,0.054515,1.9e-05,16343.186,5.696057,0.357192,1.38345,-68.783,0,-0.00024199999999999916
214.00896,2.558326,0.05397,2.3e-05,16179.799,6.895227,0.386885,1.498457,-223.688,0,-0.000787000000000003
214.354689,1.955009,0.054579,2.4e-05,16362.373,7.195019,0.389959,1.510363,-50.593,0,-0.0001779999999999976
214.098585,2.003708,0.054949,1.9e-05,16473.296,5.696057,0.412496,1.597649,54.572,0,0.00019199999999999773
214.089911,2.00256,0.054519,5e-06,16344.385,1.498962,0.418384,1.620455,-67.646,0,-0.0002380000000000021
214.324465,1.920016,0.055276,2.8e-05,16571.328,8.394189,0.424322,1.643456,147.515,0,0.0005189999999999986
214.445029,1.934533,0.054823,3e-05,16435.522,8.993774,0.425156,1.646685,18.759,0,6.599999999999662e-05
214.39317,1.918102,0.055028,3.2e-05,16496.979,9.593359,0.430608,1.667801,77.026,0,0.0002710000000000004
214.345519,1.906316,0.056061,2.5e-05,16806.665,7.494811,0.438188,1.697158,370.635,0,0.0013039999999999996
214.291059,1.905947,0.055897,9e-06,16757.499,2.698132,0.440192,1.704923,324.021,0,0.0011400000000000021
214.647819,2.681135,0.054404,1e-05,16309.909,2.997925,0.461904,1.789014,-100.333,0,-0.00035299999999999915
213.991494,2.002665,0.054086,1.8e-05,16214.575,5.396264,0.481787,1.866022,-190.718,0,-0.000670999999999998
214.33167,2.830519,0.054274,2.7e-05,16270.936,8.094396,0.486239,1.883267,-137.283,0,-0.0004829999999999973
214.482462,1.869448,0.053973,1.2e-05,16180.698,3.597509,0.498211,1.929635,-222.835,0,-0.000784
214.581735,1.899768,0.054367,2.1e-05,16298.817,6.295642,0.509999,1.975292,-110.849,0,-0.00039000000000000146
214.340041,1.821225,0.05413,1.4e-05,16227.766,4.197094,0.523124,2.026129,-178.212,0,-0.0006270000000000026
214.754373,2.023841,0.053564,1.4e-05,16058.083,4.197094,0.530278,2.053837,-339.085,0,-0.0011929999999999996
214.007375,1.916676,0.054215,1.9e-05,16253.248,5.696057,0.536407,2.077576,-154.052,0,-0.0005420000000000008
214.762413,2.016008,0.053941,1.8e-05,16171.105,5.396264,0.541414,2.096967,-231.931,0,-0.0008159999999999973
214.87988,2.386201,0.053678,1.2e-05,16092.26,3.597509,0.549512,2.128333,-306.683,0,-0.0010790000000000036
214.766695,1.991214,0.054156,9e-06,16235.56,2.698132,0.560111,2.169384,-170.822,0,-0.0006009999999999974
214.202499,1.759679,0.055726,1.3e-05,16706.235,3.897302,0.598644,2.318625,275.418,0,0.0009689999999999976
214.702262,1.854337,0.054519,3e-05,16344.385,8.993774,0.614224,2.37897,-67.646,0,-0.0002380000000000021
214.303206,1.714036,0.054593,1.3e-05,16366.57,3.897302,0.630878,2.443473,-46.614,0,-0.00016399999999999748
213.979415,2.879442,0.054142,1.7e-05,16231.363,5.096472,0.640439,2.480503,-174.801,0,-0.0006149999999999975
214.179521,1.718013,0.05567,8e-06,16689.446,2.39834,0.644416,2.495908,259.501,0,0.0009129999999999971
214.13317,1.727299,0.055686,6e-06,16694.243,1.798755,0.648027,2.509892,264.049,0,0.0009289999999999993
214.498614,1.707163,0.054124,1.5e-05,16225.967,4.496887,0.658631,2.550965,-179.917,0,-0.0006330000000000016
214.018517,1.748909,0.055582,1.6e-05,16663.064,4.796679,0.672508,2.604712,234.489,0,0.0008249999999999993
214.9665,2.109783,0.054742,1.7e-05,16411.239,5.096472,0.676407,2.619813,-4.263,0,-1.5000000000001124e-05
214.253894,1.66318,0.055303,1.4e-05,16579.422,4.197094,0.685501,2.655034,155.189,0,0.0005459999999999979
214.12843,1.663032,0.055015,3.6e-05,16493.082,10.792528,0.710824,2.753116,73.331,0,0.0002580000000000013
214.472308,1.639632,0.054545,3.4e-05,16352.18,10.192944,0.718554,2.783053,-60.257,0,-0.0002119999999999969
213.954411,1.719801,0.054063,1.8e-05,16207.68,5.396264,0.729342,2.824837,-197.255,0,-0.0006940000000000002
214.142435,1.628237,0.055911,8e-06,16761.696,2.39834,0.740545,2.868228,328.0,0,0.0011540000000000022
213.866667,1.757611,0.054,0.000333,16188.793,99.830889,0.748263,2.898121,-215.161,0,-0.0007570000000000007
213.863552,1.759376,0.053552,2.9e-05,16054.486,8.693981,0.74882,2.900276,-342.496,0,-0.0012049999999999977
