field,n_objects
SPLUS-n01s45_predicted,5394
SPLUS-n01s46_predicted,44422
SPLUS-n01s47_predicted,40824
SPLUS-n01s48_predicted,50455
SPLUS-n01s49_predicted,60264
SPLUS-n01s50_predicted,33500
SPLUS-n02n45_predicted,22377
SPLUS-n02n46_predicted,44338
SPLUS-n02n47_predicted,54467
SPLUS-n02n48_predicted,60390
SPLUS-n02n49_predicted,58398
SPLUS-n02n50_predicted,52334
SPLUS-n02n51_predicted,3749
SPLUS-n02s46_predicted,5207
SPLUS-n02s47_predicted,29564
SPLUS-n02s48_predicted,29943
SPLUS-n02s49_predicted,17633
SPLUS-n02s50_predicted,444
SPLUS-n03n51_predicted,5272
SPLUS-n04n51_predicted,188
SPLUS-n05n50_predicted,23262
