Field,n_objects
SPLUS-n10s29,182
SPLUS-n10s30,604
SPLUS-n10s31,612
SPLUS-n10s32,699
SPLUS-n10s33,555
SPLUS-n10s34,146
SPLUS-n11s29,248
SPLUS-n11s30,485
SPLUS-n11s31,337
SPLUS-n11s32,512
SPLUS-n11s33,701
SPLUS-n11s34,515
SPLUS-n11s35,199
SPLUS-n12s28,476
SPLUS-n12s29,368
SPLUS-n12s30,522
SPLUS-n12s31,1087
SPLUS-n12s32,678
SPLUS-n12s33,460
SPLUS-n12s34,290
SPLUS-n13s28,186
SPLUS-n13s29,668
SPLUS-n13s30,618
SPLUS-n13s31,600
SPLUS-n13s32,711
SPLUS-n13s33,594
SPLUS-n13s34,484
SPLUS-n13s35,80
SPLUS-n14s28,68
SPLUS-n14s29,593
SPLUS-n14s30,482
SPLUS-n14s31,474
SPLUS-n14s32,1169
SPLUS-n14s33,509
SPLUS-n14s34,263
SPLUS-n15s29,253
SPLUS-n15s30,454
SPLUS-n15s31,668
SPLUS-n15s32,702
SPLUS-n15s33,452
SPLUS-n15s34,34
SPLUS-n16s29,73
SPLUS-n16s30,262
SPLUS-n16s31,124
SPLUS-n16s32,3
