Field,n_objects
SPLUS-s19s49,44
SPLUS-s19s50,97
SPLUS-s19s51,32
SPLUS-s20s48,108
SPLUS-s20s49,300
SPLUS-s20s50,342
SPLUS-s20s51,234
SPLUS-s21s01,320
SPLUS-s21s02,33
SPLUS-s21s45,23
SPLUS-s21s46,226
SPLUS-s21s47,221
SPLUS-s21s48,314
SPLUS-s21s49,308
SPLUS-s22s01,384
SPLUS-s22s02,89
SPLUS-s22s45,30
SPLUS-s22s46,154
SPLUS-s22s47,198
SPLUS-s22s48,516
SPLUS-s22s49,492
SPLUS-s23s01,297
SPLUS-s23s02,11
SPLUS-s23s45,3
SPLUS-s23s46,184
SPLUS-s23s47,306
SPLUS-s23s48,275
SPLUS-s23s49,288
SPLUS-s24s01,122
SPLUS-s24s73,100
SPLUS-s24s74,200
SPLUS-s24s75,234
SPLUS-s24s76,310
SPLUS-s25s74,13
SPLUS-s25s75,30
SPLUS-s25s76,12
