ra,dec,z,z_err,v,v_err,radius_deg,radius_Mpc,v_offset,flag_member
157.5027,-35.325447,0.00934,7e-05,2800.062,20.985472,0.016922,0.011519,69.221,0
157.45255,-35.322346,0.012372,0.00011,3709.032,32.97717,0.04763,0.032421,969.989,0
157.42123,-35.32581,0.0111,0.000333,3327.696,99.830889,0.070767,0.048169,592.094,0
157.61047,-35.35949,0.012689,5.3e-05,3804.066,15.889,0.087253,0.059391,1064.165,0
157.45174,-35.418777,0.01007,0.0001,3018.91,29.979246,0.088296,0.060101,286.095,0
157.48767,-35.2244,0.012522,0.00011,3754.001,32.97717,0.118707,0.080801,1014.552,0
157.576,-35.196922,0.005784,0.000183,1734.0,54.86202,0.156208,0.106327,-987.22,0
157.60747,-35.10798,0.005941,0.00015,1781.067,44.968869,0.248517,0.16916,-940.577,0
157.58675,-35.591885,0.007889,7.3e-05,2365.063,21.884849,0.258305,0.175823,-361.852,0
157.77916,-35.51889,0.008833,7.3e-05,2648.067,21.884849,0.284612,0.193729,-81.402,0
157.8509,-35.220516,0.008663,6.3e-05,2597.102,18.886925,0.306807,0.208836,-131.907,0
157.31264,-35.065346,0.006504,0.000183,1949.85,54.86202,0.31848,0.216782,-773.317,0
157.18207,-35.12359,0.008069,7.3e-05,2419.025,21.884849,0.342708,0.233273,-308.376,0
157.36028,-35.01472,0.006101,7.3e-05,1829.034,21.884849,0.348281,0.237067,-893.043,0
157.22316,-35.605522,0.0096,3e-05,2878.008,8.993774,0.349897,0.238167,146.464,0
157.29822,-35.657894,0.007412,0.00015,2222.062,44.968869,0.35817,0.243798,-503.562,0
157.89044,-35.537926,0.010767,7.3e-05,3227.865,21.884849,0.369919,0.251796,493.164,0
157.3129,-35.694847,0.013019,7.3e-05,3902.998,21.884849,0.386102,0.262811,1162.204,0
157.75,-35.0075,0.010481,7.3e-05,3142.125,21.884849,0.389564,0.265167,408.197,0
157.9564,-35.205807,0.013466,7.3e-05,4037.005,21.884849,0.392183,0.26695,1295.002,0
157.98221,-35.409733,0.008259,5.3e-05,2475.986,15.889,0.394577,0.26858,-251.93,0
157.96745,-35.204987,0.008082,0.00015,2422.923,44.968869,0.400926,0.272901,-304.514,0
157.99359,-35.198364,0.007635,6.3e-05,2288.915,18.886925,0.423229,0.288083,-437.312,0
157.4645,-34.911655,0.008503,6.3e-05,2549.135,18.886925,0.43185,0.293951,-179.44,0
157.13167,-35.67691,0.008172,7.3e-05,2449.904,21.884849,0.452858,0.30825,-277.776,0
158.06032,-35.259403,0.012759,0.00015,3825.052,44.968869,0.459983,0.3131,1084.961,0
157.50467,-35.81392,0.006538,0.000183,1960.043,54.86202,0.471721,0.32109,-763.216,0
157.98419,-34.991325,0.006608,0.00015,1981.029,44.968869,0.524883,0.357276,-742.42,0
157.08014,-35.758533,0.008402,0.000103,2518.856,30.878623,0.542027,0.368946,-209.446,0
156.83511,-35.27418,0.009777,0.00015,2931.071,44.968869,0.551161,0.375163,199.048,0
158.10378,-34.99825,0.0102,3.3e-05,3057.883,9.893151,0.596966,0.406342,324.716,0
157.96701,-34.853687,0.011555,1e-05,3464.102,2.997925,0.616676,0.419757,727.269,0
156.98917,-35.82171,0.007542,0.00015,2261.035,44.968869,0.638284,0.434465,-464.941,0
157.36838,-34.67271,0.013653,0.00015,4093.066,44.968869,0.678786,0.462034,1350.557,0
157.76364,-34.671776,0.008172,0.000183,2449.904,54.86202,0.702683,0.478301,-277.776,0
158.24814,-34.886173,0.00927,6.3e-05,2779.076,18.886925,0.758159,0.516062,48.425,0
157.53546,-36.104687,0.007475,7.3e-05,2240.949,21.884849,0.762875,0.519272,-484.846,0
158.03534,-34.674843,0.008633,0.00015,2588.108,44.968869,0.795029,0.541158,-140.819,0
157.74844,-34.56295,0.007042,6e-05,2111.138,17.987547,0.804028,0.547284,-613.484,0
158.053,-34.673412,0.007102,0.00015,2129.126,44.968869,0.804139,0.547359,-595.659,0
156.88763,-35.986294,0.00908,0.000103,2722.116,30.878623,0.817912,0.556735,-8.021,0
156.59254,-34.963562,0.011361,1.4e-05,3405.942,4.197094,0.835533,0.568729,669.634,0
158.5309,-35.323315,0.009186,3e-05,2753.894,8.993774,0.836541,0.569415,23.47,0
158.00021,-34.510273,0.011912,0.00015,3571.128,44.968869,0.924589,0.629347,833.329,0
156.94647,-34.531487,0.010814,2.6e-05,3241.956,7.794604,0.930211,0.633174,507.127,0
157.58142,-34.404793,0.01014,2.3e-05,3039.896,6.895227,0.939444,0.639458,306.891,0
156.71178,-34.64597,0.013022,7.3e-05,3903.897,21.884849,0.950819,0.647201,1163.095,0
158.68764,-35.47061,0.008879,0.00015,2661.857,44.968869,0.972696,0.662092,-67.736,0
158.04007,-34.463085,0.009797,0.00015,2937.067,44.968869,0.981273,0.667931,204.99,0
157.6997,-34.327152,0.008976,0.00015,2690.937,44.968869,1.027319,0.699273,-38.918,0
156.28163,-35.60502,0.011581,0.00015,3471.896,44.968869,1.03244,0.702759,734.993,0
158.31744,-34.519466,0.006324,0.00015,1895.888,44.968869,1.056129,0.718883,-826.793,0
156.76024,-36.228092,0.010444,9e-06,3131.032,2.698132,1.074473,0.73137,397.205,0
158.53618,-34.633778,0.009353,6.3e-05,2803.959,18.886925,1.099331,0.74829,73.083,0
158.20299,-34.399574,0.010084,0.00015,3023.107,44.968869,1.100969,0.749405,290.254,0
157.1439,-36.436607,0.011468,7.3e-05,3438.02,21.884849,1.133486,0.771538,701.422,0
156.7375,-34.385834,0.012665,7.3e-05,3796.871,21.884849,1.143339,0.778246,1057.035,0
158.557,-36.233498,0.011248,0.00015,3372.066,44.968869,1.2369,0.84193,636.063,0
156.63513,-34.311985,0.012362,0.00015,3706.034,44.968869,1.251219,0.851676,967.018,0
158.57944,-34.40338,0.008819,3.3e-05,2643.87,9.893151,1.283987,0.873981,-85.561,0
157.71577,-36.73699,0.010711,0.000133,3211.077,39.872397,1.405284,0.956545,476.527,0
159.16383,-34.75675,0.013546,2.3e-05,4060.989,6.895227,1.47388,1.003237,1318.769,0
159.34523,-35.360363,0.007835,0.000183,2348.874,54.86202,1.500697,1.02149,-377.895,0
156.84465,-33.877377,0.013006,9e-06,3899.101,2.698132,1.560899,1.062469,1158.342,0
158.96315,-34.269817,0.012826,6.3e-05,3845.138,18.886925,1.601104,1.089836,1104.866,0
155.4217,-34.696743,0.0103,6e-05,3087.862,17.987547,1.8183,1.237676,354.425,0
158.82785,-36.878654,0.010491,1.7e-05,3145.123,5.096472,1.877224,1.277784,411.168,0
156.13832,-36.931396,0.00917,6.3e-05,2749.097,18.886925,1.94152,1.321549,18.716,0
155.39622,-34.266838,0.00965,9e-06,2892.997,2.698132,2.029064,1.381138,161.318,0
