Field,n_objects
HYDRA-0044,88
HYDRA-0045,81
HYDRA-0050,24
HYDRA-0052,233
HYDRA-0053,192
HYDRA-0055,331
HYDRA-0056,289
HYDRA-0061,242
HYDRA-0062,192
HYDRA-0064,198
HYDRA-0069,226
HYDRA-0070,166
HYDRA-0075,202
HYDRA-0077,238
HYDRA-0084,168
HYDRA-0085,239
HYDRA-0086,213
HYDRA-0093,231
HYDRA-0095,167
HYDRA-0096,218
HYDRA-0102,162
HYDRA-0103,271
HYDRA-0104,247
HYDRA-0111,214
HYDRA-0112,152
HYDRA-0120,154
HYDRA-0121,134
HYDRA-D-0001,344
HYDRA-D-0002,241
HYDRA-D-0003,247
HYDRA-D-0004,237
HYDRA_0042,5
HYDRA_0043,55
HYDRA_0046,4
HYDRA_0051,87
HYDRA_0054,226
HYDRA_0057,30
HYDRA_0059,72
HYDRA_0060,252
HYDRA_0063,153
HYDRA_0065,198
HYDRA_0066,176
HYDRA_0067,151
HYDRA_0068,263
HYDRA_0071,215
HYDRA_0072,147
HYDRA_0073,179
HYDRA_0074,164
HYDRA_0076,238
HYDRA_0078,311
HYDRA_0079,268
HYDRA_0080,309
HYDRA_0081,233
HYDRA_0082,204
HYDRA_0083,176
HYDRA_0087,238
HYDRA_0088,287
HYDRA_0089,160
HYDRA_0091,148
HYDRA_0092,209
HYDRA_0094,197
HYDRA_0097,223
HYDRA_0098,160
HYDRA_0099,174
HYDRA_0100,159
HYDRA_0101,168
HYDRA_0105,175
HYDRA_0106,245
HYDRA_0107,143
HYDRA_0108,149
HYDRA_0109,161
HYDRA_0110,170
HYDRA_0113,312
HYDRA_0114,218
HYDRA_0115,207
HYDRA_0116,182
HYDRA_0117,169
HYDRA_0118,181
HYDRA_0119,135
HYDRA_0122,316
HYDRA_0123,198
HYDRA_0124,209
HYDRA_0125,219
HYDRA_0126,327
HYDRA_0127,238
HYDRA_0128,39
HYDRA_0130,44
HYDRA_0131,127
HYDRA_0132,199
HYDRA_0133,203
HYDRA_0134,163
HYDRA_0135,50
