Field,n_objects
HYDRA-0011,150
HYDRA-0021,188
HYDRA-0031,261
HYDRA-0035,222
HYDRA-0036,346
HYDRA-0037,251
HYDRA-0039,163
HYDRA-0041,207
HYDRA-0044,273
HYDRA-0045,460
HYDRA-0048,213
HYDRA-0050,266
HYDRA-0052,238
HYDRA-0053,192
HYDRA-0055,333
HYDRA-0056,399
HYDRA-0061,242
HYDRA-0062,192
HYDRA-0064,198
HYDRA-0069,226
HYDRA-0070,166
HYDRA-0075,202
HYDRA-0077,238
HYDRA-0084,168
HYDRA-0085,239
HYDRA-0086,213
HYDRA-0093,231
HYDRA-0095,167
HYDRA-0096,218
HYDRA-0102,162
HYDRA-0103,271
HYDRA-0104,247
HYDRA-0111,225
HYDRA-0112,280
HYDRA-0120,202
HYDRA-0121,266
HYDRA-0129,273
HYDRA-0136,229
HYDRA-0137,357
HYDRA-D-0001,344
HYDRA-D-0002,241
HYDRA-D-0003,247
HYDRA-D-0004,237
HYDRA_0012,126
HYDRA_0013,179
HYDRA_0014,151
HYDRA_0015,104
HYDRA_0016,95
HYDRA_0017,114
HYDRA_0018,218
HYDRA_0019,157
HYDRA_0020,135
HYDRA_0022,184
HYDRA_0023,238
HYDRA_0024,185
HYDRA_0025,148
HYDRA_0026,115
HYDRA_0027,141
HYDRA_0028,146
HYDRA_0029,163
HYDRA_0030,296
HYDRA_0032,220
HYDRA_0033,271
HYDRA_0034,363
HYDRA_0038,117
HYDRA_0040,271
HYDRA_0042,222
HYDRA_0043,243
HYDRA_0046,286
HYDRA_0047,226
HYDRA_0049,307
HYDRA_0051,166
HYDRA_0054,226
HYDRA_0057,348
HYDRA_0058,234
HYDRA_0059,369
HYDRA_0060,278
HYDRA_0063,153
HYDRA_0065,198
HYDRA_0066,176
HYDRA_0067,224
HYDRA_0068,273
HYDRA_0071,215
HYDRA_0072,147
HYDRA_0073,179
HYDRA_0074,164
HYDRA_0076,246
HYDRA_0078,311
HYDRA_0079,268
HYDRA_0080,309
HYDRA_0081,233
HYDRA_0082,204
HYDRA_0083,176
HYDRA_0087,238
HYDRA_0088,287
HYDRA_0089,160
HYDRA_0091,148
HYDRA_0092,209
HYDRA_0094,197
HYDRA_0097,223
HYDRA_0098,160
HYDRA_0099,174
HYDRA_0100,159
HYDRA_0101,168
HYDRA_0105,175
HYDRA_0106,245
HYDRA_0107,143
HYDRA_0108,149
HYDRA_0109,161
HYDRA_0110,170
HYDRA_0113,312
HYDRA_0114,218
HYDRA_0115,207
HYDRA_0116,182
HYDRA_0117,169
HYDRA_0118,181
HYDRA_0119,135
HYDRA_0122,318
HYDRA_0123,198
HYDRA_0124,209
HYDRA_0125,219
HYDRA_0126,327
HYDRA_0127,253
HYDRA_0128,173
HYDRA_0130,333
HYDRA_0131,240
HYDRA_0132,237
HYDRA_0133,223
HYDRA_0134,262
HYDRA_0135,275
HYDRA_0138,304
HYDRA_0139,286
HYDRA_0140,224
HYDRA_0141,232
HYDRA_0142,249
HYDRA_0143,444
HYDRA_0144,231
HYDRA_0145,364
HYDRA_0146,278
HYDRA_0147,265
HYDRA_0148,234
HYDRA_0149,289
HYDRA_0150,395
HYDRA_0151,328
HYDRA_0152,467
HYDRA_0153,348
HYDRA_0154,324
HYDRA_0155,350
HYDRA_0156,269
HYDRA_0157,489
HYDRA_0158,454
HYDRA_0159,375
HYDRA_0160,699
HYDRA_0161,521
HYDRA_0162,535
HYDRA_0163,345
HYDRA_0164,407
HYDRA_0165,496
HYDRA_0166,509
HYDRA_0167,513
SPLUS-n15s01,4
SPLUS-n15s02,43
SPLUS-n15s03,138
SPLUS-n15s04,154
SPLUS-n15s05,171
SPLUS-n15s06,181
SPLUS-n15s07,167
SPLUS-n15s08,101
SPLUS-n15s09,91
SPLUS-n15s10,54
SPLUS-n15s11,11
SPLUS-n16s01,144
SPLUS-n16s02,178
SPLUS-n16s03,188
SPLUS-n16s04,171
SPLUS-n16s05,199
SPLUS-n16s06,169
SPLUS-n16s07,177
SPLUS-n16s08,184
SPLUS-n16s09,147
SPLUS-n16s10,178
SPLUS-n16s11,142
SPLUS-n16s12,43
SPLUS-n17s01,205
SPLUS-n17s02,198
SPLUS-n17s03,196
SPLUS-n17s04,148
SPLUS-n17s05,175
SPLUS-n17s06,203
SPLUS-n17s07,145
SPLUS-n17s08,162
SPLUS-n17s09,140
SPLUS-n17s10,188
SPLUS-n17s11,217
SPLUS-n17s12,282
SPLUS-n17s13,138
SPLUS-n17s14,16
SPLUS-n18s01,182
SPLUS-n18s02,124
SPLUS-n18s03,101
SPLUS-n18s04,117
SPLUS-n18s05,134
SPLUS-n18s06,133
SPLUS-n18s07,117
SPLUS-n18s08,122
SPLUS-n18s09,171
SPLUS-n18s10,122
SPLUS-n18s11,219
SPLUS-n18s12,241
SPLUS-n18s13,213
SPLUS-n18s14,174
SPLUS-n18s15,56
SPLUS-n19s01,132
SPLUS-n19s02,175
SPLUS-n19s03,245
SPLUS-n19s04,137
SPLUS-n19s05,128
SPLUS-n19s06,63
SPLUS-n20s01,222
SPLUS-n20s02,162
SPLUS-n20s03,174
SPLUS-n20s04,157
SPLUS-n20s05,102
SPLUS-n20s06,176
SPLUS-n20s07,62
