ra,dec,z,z_err,v,v_err,radius_deg,radius_Mpc,v_offset,flag_member
164.56796,1.616974,0.037972,2.5e-05,11383.719,7.494811,0.006856,0.019337,-456.514,0
164.56348,1.615994,0.039435,8e-06,11822.316,2.39834,0.008391,0.023668,-34.606,0
164.55434,1.606894,0.038517,9e-06,11547.106,2.698132,0.020906,0.05897,-299.344,0
164.54715,1.610887,0.0396,0.000297,11871.781,89.03836,0.023422,0.066066,12.977,0
164.55737,1.601753,0.038775,9e-06,11624.453,2.698132,0.023886,0.067376,-224.941,0
164.54578,1.604564,0.038381,8e-06,11506.334,2.39834,0.028397,0.080101,-338.564,0
164.55147,1.596472,0.040205,3e-05,12053.156,8.993774,0.031239,0.088115,187.45,0
164.54091,1.641747,0.0413,0.000213,12381.429,63.855794,0.031497,0.088844,503.232,0
164.54808,1.595589,0.039746,3.5e-05,11915.551,10.492736,0.03376,0.095227,55.082,0
164.54997,1.656032,0.039502,2e-06,11842.402,0.599585,0.036404,0.102686,-15.284,0
164.60965,1.642452,0.041339,4e-06,12393.12,1.19917,0.046795,0.131994,514.48,0
164.53041,1.663029,0.039992,5.2e-05,11989.3,15.589208,0.053522,0.150969,126.024,0
164.61453,1.652565,0.039715,7.4e-05,11906.257,22.184642,0.055794,0.157379,46.142,0
164.62502,1.628168,0.03886,1.8e-05,11649.935,5.396264,0.058416,0.164774,-200.428,0
164.51111,1.602666,0.039164,3.3e-05,11741.072,9.893151,0.05947,0.167747,-112.759,0
164.50682,1.634841,0.040954,8e-06,12277.7,2.39834,0.060929,0.171863,403.451,0
164.57535,1.560473,0.040661,1.2e-05,12189.861,3.597509,0.063831,0.180047,318.954,0
164.63094,1.627883,0.04045,6e-05,12126.605,17.987547,0.064299,0.181368,258.105,0
164.58177,1.560102,0.040438,7e-06,12123.007,2.098547,0.065368,0.184382,254.644,0
164.6409,1.626943,0.0418,0.000297,12531.325,89.03836,0.07419,0.209268,647.425,0
164.57697,1.543447,0.038119,6.5e-05,11427.789,19.48651,0.080922,0.228258,-414.121,0
164.49095,1.655946,0.040683,2e-06,12196.457,0.599585,0.082337,0.232248,325.299,0
164.59752,1.709221,0.04043,5.2e-05,12120.609,15.589208,0.090863,0.256298,252.337,0
164.65033,1.587801,0.038586,0.000134,11567.792,40.172189,0.090941,0.256518,-279.445,0
164.58823,1.534614,0.042423,2.2e-05,12718.095,6.595434,0.091658,0.258541,827.089,0
164.65892,1.630139,0.039609,3.4e-05,11874.479,10.192944,0.092356,0.260509,15.573,0
164.6618,1.662075,0.03791,1.7e-05,11365.132,5.096472,0.102461,0.289011,-474.394,0
164.6547,1.676702,0.038445,8.1e-05,11525.521,24.283189,0.102644,0.289529,-320.108,0
164.66241,1.57882,0.037029,4e-05,11101.015,11.991698,0.105639,0.297977,-728.461,0
