ra,dec,z,z_err,v,v_err,radius_deg,radius_Mpc,v_offset,flag_member
359.40164,0.811231,0.0621,2.2e-05,18617.112,6.595434,0.022133,0.094798,309.681,0
359.45242,0.795575,0.061744,9e-06,18510.386,2.698132,0.032751,0.140274,209.091,0
359.38092,0.821602,0.060498,1.7e-05,18136.844,5.096472,0.045184,0.193527,-142.973,0
359.36923,0.794467,0.059224,6.3e-05,17754.909,18.886925,0.050736,0.217305,-502.949,0
359.4801,0.788252,0.062546,5e-06,18750.819,1.498962,0.061169,0.261987,435.7,0
359.4994,0.769092,0.06121,1.5e-05,18350.296,4.496887,0.084876,0.363526,58.206,0
359.3446,0.841053,0.06106,3.6e-05,18305.327,10.792528,0.086362,0.369892,15.823,0
359.33206,0.82105,0.060918,2.7e-05,18262.757,8.094396,0.090567,0.387901,-24.3,0
359.42133,0.693264,0.061328,2.3e-05,18385.672,6.895227,0.105328,0.451124,91.548,0
359.46658,0.900882,0.062289,1.8e-05,18673.772,5.396264,0.112486,0.481781,363.084,0
359.5335,0.783844,0.061319,5e-06,18382.974,1.498962,0.114636,0.49099,89.005,0
359.344,0.885016,0.061421,2.3e-05,18413.553,6.895227,0.114961,0.492384,117.826,0
359.52393,0.732407,0.061413,2.1e-05,18411.154,6.295642,0.123366,0.52838,115.565,0
359.52856,0.881513,0.061794,9e-06,18525.375,2.698132,0.13676,0.585747,223.219,0
359.54114,0.863413,0.059333,4e-06,17787.586,1.19917,0.13756,0.589174,-472.15,0
359.50937,0.690873,0.060616,1.7e-05,18172.22,5.096472,0.140077,0.599954,-109.632,0
359.412,0.955286,0.062124,6.5e-05,18624.307,19.48651,0.156899,0.672004,316.462,0
359.57526,0.768817,0.06146,7e-06,18425.244,2.098547,0.158265,0.677854,128.845,0
359.6126,0.760193,0.061416,9e-06,18412.054,2.698132,0.196562,0.841883,116.413,0
359.60532,0.724273,0.062291,9e-06,18674.372,2.698132,0.199828,0.855869,363.649,0
359.58554,0.935255,0.061234,3e-06,18357.491,0.899377,0.214809,0.920034,64.988,0
359.63464,0.785333,0.061011,1.2e-05,18290.638,3.597509,0.215223,0.921808,1.978,0
359.49683,0.592893,0.062534,9e-06,18747.222,2.698132,0.219635,0.940703,432.31,0
359.49872,0.586234,0.061476,8e-06,18430.041,2.39834,0.226534,0.970254,133.366,0
359.6259,0.681121,0.061887,8e-06,18553.256,2.39834,0.237201,1.015938,249.496,0
359.66873,0.780947,0.061158,9e-06,18334.707,2.698132,0.249526,1.068727,43.514,0
359.6707,0.789361,0.061198,1.2e-05,18346.699,3.597509,0.251041,1.075217,54.816,0
359.7147,0.800286,0.060706,9e-06,18199.201,2.698132,0.294872,1.262948,-84.202,0
359.7187,0.793077,0.060386,5e-06,18103.267,1.498962,0.298918,1.280274,-174.619,0
359.18542,0.985391,0.061685,9e-06,18492.698,2.698132,0.299705,1.283647,192.42,0
359.72488,0.845725,0.060569,1.7e-05,18158.129,5.096472,0.308668,1.322035,-122.912,0
359.73807,0.869288,0.060036,2.5e-05,17998.34,7.494811,0.325995,1.396249,-273.514,0
359.73404,0.885637,0.060632,3.5e-05,18177.016,10.492736,0.326043,1.396452,-105.111,0
359.72595,0.917804,0.061398,9e-06,18406.657,2.698132,0.328514,1.407035,111.327,0
359.7679,0.814073,0.061145,6e-06,18330.81,1.798755,0.348407,1.492238,39.84,0
359.77005,0.816256,0.060685,3.8e-05,18192.905,11.392113,0.350658,1.501879,-90.135,0
359.18512,1.106827,0.061951,4e-06,18572.443,1.19917,0.387404,1.659262,267.58,0
359.81552,0.789691,0.061342,2.7e-05,18389.869,8.094396,0.395777,1.695128,95.504,0
359.81992,0.640517,0.061564,5e-06,18456.423,1.498962,0.43017,1.842431,158.231,0
359.48712,1.30433,0.061405,1.3e-05,18408.756,3.897302,0.510208,2.185239,113.305,0
359.86188,0.531284,0.062509,7e-06,18739.727,2.098547,0.516566,2.212471,425.246,0
359.007,0.358114,0.062325,9e-06,18684.565,2.698132,0.603643,2.585424,373.256,0
358.97284,0.386146,0.061886,6e-06,18552.956,1.798755,0.608145,2.604706,249.214,0
358.81097,0.583908,0.061353,3e-06,18393.167,0.899377,0.645516,2.764768,98.612,0
0.091812,0.642522,0.062294,1.6e-05,18675.271,4.796679,0.689827,2.954552,364.497,0
0.107116,0.56765,0.061777,1.3e-05,18520.279,3.897302,0.725007,3.105229,218.415,0
358.8358,0.327464,0.062076,1.7e-05,18609.917,5.096472,0.750297,3.213547,302.899,0
358.729,0.410491,0.061099,3e-06,18317.019,0.899377,0.792295,3.393425,26.843,0
359.5522,1.592299,0.061561,7e-06,18455.524,2.098547,0.804682,3.446481,157.383,0
0.221306,0.706636,0.061948,1.2e-05,18571.543,3.597509,0.806681,3.455042,266.732,0
358.6474,1.05465,0.061696,8e-06,18495.995,2.39834,0.813673,3.484987,195.528,0
0.050957,0.230729,0.062337,2.1e-05,18688.162,6.295642,0.84896,3.636122,376.646,0
359.61972,1.639025,0.061598,2e-06,18466.616,0.599585,0.863889,3.700066,167.838,0
358.54694,0.980673,0.061751,5e-06,18512.484,1.498962,0.891572,3.818633,211.069,0
358.54135,1.025106,0.061287,1.2e-05,18373.38,3.597509,0.907108,3.885174,79.963,0
358.54422,0.394227,0.061212,1e-05,18350.896,2.997925,0.964365,4.130409,58.772,0
0.281333,1.241921,0.061312,2.7e-05,18380.875,8.094396,0.968834,4.149546,87.027,0
0.316957,1.204701,0.061158,7e-06,18334.707,2.098547,0.984713,4.21756,43.514,0
0.374875,1.047916,0.060664,3.1e-05,18186.61,9.293566,0.986991,4.227315,-96.069,0
0.379624,1.072148,0.060606,1.3e-05,18169.222,3.897302,0.997955,4.274274,-112.457,0
0.3818,1.097407,0.061172,2.3e-05,18338.904,6.895227,1.00725,4.314087,47.469,0
359.95218,-0.073786,0.06211,9e-06,18620.11,2.698132,1.021956,4.37707,312.506,0
0.150101,1.528503,0.0617,2e-06,18497.195,0.599585,1.032481,4.422148,196.659,0
0.417608,1.091992,0.061096,1.8e-05,18316.12,5.396264,1.039956,4.454168,25.995,0
0.391274,0.422433,0.060621,2.6e-05,18173.719,7.794604,1.041661,4.461469,-108.219,0
358.74228,1.591056,0.061387,3e-06,18403.36,0.899377,1.042577,4.46539,108.219,0
0.423068,1.088171,0.061204,8.3e-05,18348.498,24.882774,1.044129,4.472039,56.511,0
0.153427,0.043082,0.061328,2e-06,18385.672,0.599585,1.053032,4.510172,91.548,0
0.456553,0.566934,0.061067,1.5e-05,18307.426,4.496887,1.062215,4.5495,17.801,0
0.348454,1.322902,0.061245,4.6e-05,18360.789,13.790453,1.066366,4.567279,68.096,0
0.394351,0.274424,0.062028,8e-06,18595.527,2.39834,1.10648,4.73909,289.337,0
0.389767,0.263902,0.061637,1.1e-05,18478.308,3.297717,1.107487,4.743403,178.858,0
358.31067,0.684296,0.060824,8e-06,18234.576,2.39834,1.114899,4.77515,-50.86,0
358.39038,1.245016,0.061861,1e-06,18545.461,0.299792,1.121968,4.805426,242.15,0
358.38046,1.226878,0.06108,1.7e-05,18311.323,5.096472,1.124039,4.814297,21.474,0
0.415196,1.337014,0.061556,1.1e-05,18454.025,3.297717,1.131602,4.846688,155.971,0
358.45676,0.143378,0.061718,1.3e-05,18502.591,3.897302,1.164717,4.988519,201.745,0
0.35246,1.499152,0.061464,3e-06,18426.444,0.899377,1.166395,4.995709,129.976,0
0.433376,1.377209,0.061361,2.3e-05,18395.565,6.895227,1.167021,4.998391,100.872,0
358.98837,-0.328996,0.062034,1.4e-05,18597.325,4.197094,1.207282,5.170827,291.032,0
0.605446,0.498372,0.061425,1.5e-05,18414.752,4.496887,1.222947,5.237922,118.956,0
0.646251,0.595517,0.061751,2.6e-05,18512.484,7.794604,1.243027,5.323924,211.069,0
359.92368,1.941722,0.060877,8e-06,18250.465,2.39834,1.249245,5.350557,-35.885,0
358.16037,0.878966,0.061639,1.1e-05,18478.907,3.297717,1.261875,5.404651,179.423,0
0.667994,0.493655,0.060634,3e-05,18177.616,8.993774,1.284778,5.502748,-104.546,0
0.392745,1.673893,0.061303,4e-06,18378.177,1.19917,1.308664,5.605051,84.484,0
0.703695,0.476156,0.06078,1.7e-05,18221.386,5.096472,1.323637,5.669179,-63.292,0
0.677579,0.317398,0.061434,7e-06,18417.45,2.098547,1.346561,5.767367,121.499,0
358.11166,1.154305,0.060825,2.5e-05,18234.876,7.494811,1.355525,5.805758,-50.577,0
0.77771,0.913793,0.061428,8e-05,18415.651,23.983397,1.362653,5.836289,119.804,0
0.678525,0.18989,0.061554,2e-06,18453.425,0.599585,1.398061,5.987943,155.405,0
358.0376,1.146028,0.060071,7e-06,18008.833,2.098547,1.425074,6.103639,-263.624,0
358.03738,1.146345,0.060071,7e-06,18008.833,2.098547,1.425365,6.104884,-263.624,0
359.66025,2.220213,0.060631,2e-06,18176.717,0.599585,1.441819,6.175356,-105.393,0
358.48138,-0.308361,0.061847,1.4e-05,18541.264,4.197094,1.451134,6.215253,238.194,0
357.97253,0.966954,0.061733,1.1e-05,18507.088,3.297717,1.456896,6.239931,205.983,0
357.9633,0.728441,0.061011,7e-06,18290.638,2.098547,1.458051,6.244878,1.978,0
0.349432,1.926708,0.061107,1.1e-05,18319.418,3.297717,1.461749,6.26072,29.103,0
0.888129,0.949351,0.061987,2.7e-05,18583.235,8.094396,1.475903,6.321343,277.752,0
0.941677,0.854872,0.0611,6e-06,18317.319,1.798755,1.522766,6.522057,27.125,0
358.42548,-0.379446,0.061673,6e-06,18489.1,1.798755,1.541504,6.602314,189.03,0
