ra,dec,z,z_err,v,v_err,radius_deg,radius_Mpc,v_offset,flag_member
13.749627,-35.3215,0.057113,9e-05,17122.047,26.981321,0.005427,0.021572,61.269,0
13.764935,-35.328518,0.0582,0.000297,17447.921,89.03836,0.011716,0.046569,369.6,0
13.747877,-35.300076,0.0585,0.000213,17537.859,63.855794,0.020452,0.081292,454.696,0
13.731128,-35.36086,0.055325,0.00015,16586.018,44.968869,0.046018,0.182914,-445.903,0
13.798933,-35.23268,0.0553,0.000297,16578.523,89.03836,0.093663,0.372296,-452.995,0
13.747048,-35.151676,0.056929,0.00015,17066.885,44.968869,0.167955,0.667597,9.077,0
13.592334,-35.444637,0.0578,0.000213,17328.004,63.855794,0.182905,0.727023,256.139,0
13.736624,-35.108444,0.0569,0.000213,17058.191,63.855794,0.211614,0.841137,0.851,0
13.952683,-35.468468,0.0554,0.000297,16608.502,89.03836,0.219099,0.870889,-424.629,0
13.994577,-35.449463,0.0581,0.000297,17417.942,89.03836,0.234209,0.930947,341.235,0
13.978541,-35.49464,0.0571,0.000213,17118.149,63.855794,0.252413,1.003304,57.582,0
13.591086,-35.563103,0.05728,0.0001,17172.112,29.979246,0.278236,1.105948,108.639,0
13.865791,-35.596863,0.0581,0.000213,17417.942,63.855794,0.291541,1.158835,341.235,0
14.032748,-35.517563,0.058,0.000213,17387.963,63.855794,0.300502,1.194451,312.87,0
14.131336,-35.45657,0.057,0.000213,17088.17,63.855794,0.335685,1.334299,29.216,0
14.162393,-35.46983,0.0571,0.000213,17118.149,63.855794,0.364235,1.447784,57.582,0
14.186847,-35.45986,0.057166,0.000183,17137.936,54.86202,0.37869,1.505238,76.303,0
