ra,dec,z,z_err,v,v_err,radius_deg,radius_Mpc,v_offset,flag_member
54.62092,-35.450195,0.004753,1.3e-05,1424.914,3.897302,0.004237,0.001464,45.658,0
54.627815,-35.46272,0.00467,0.000377,1400.031,99.99,0.0172,0.005944,20.889,0
54.65354,-35.46925,0.004553,0.000187,1364.955,56.06119,0.036884,0.012746,-14.026,0
54.606823,-35.488605,0.004226,0.000337,1266.923,99.99,0.041001,0.014169,-111.609,0
54.6675,-35.450195,0.003625,0.000128,1086.748,38.373435,0.041792,0.014442,-290.959,0
54.567036,-35.469425,0.005879,0.000367,1762.48,99.99,0.045303,0.015655,381.679,0
54.565083,-35.47333,0.005533,0.00014,1658.752,41.970944,0.048605,0.016797,278.426,0
54.67228,-35.4796,0.005753,8.7e-05,1724.706,26.081944,0.055328,0.01912,344.078,0
54.65658,-35.505943,0.004604,0.000413,1380.244,99.99,0.066322,0.022919,1.194,0
54.67369,-35.395718,0.005993,0.000299,1796.656,89.637945,0.07041,0.024332,415.699,0
54.569622,-35.507633,0.007055,8.3e-05,2115.036,24.882774,0.070425,0.024337,732.62,0
54.703583,-35.462193,0.006074,0.0005,1820.939,99.99,0.072483,0.025048,439.871,0
54.52735,-35.43985,0.002695,7.3e-05,807.941,21.884849,0.072916,0.025198,-568.49,0
54.65879,-35.380917,0.004207,0.000316,1261.227,94.734417,0.075799,0.026194,-117.279,0
54.737823,-35.476055,0.004199,0.000115,1258.829,34.476133,0.102846,0.035541,-119.666,0
54.493126,-35.493057,0.005651,0.00025,1694.127,74.948115,0.109822,0.037952,313.639,0
54.569584,-35.33975,0.004777,6.7e-05,1432.109,20.086095,0.115043,0.039756,52.82,0
54.688915,-35.341278,0.006633,0.000456,1988.523,99.99,0.122329,0.042274,606.687,0
54.464146,-35.457966,0.005011,0.000347,1502.26,99.99,0.124284,0.042949,122.651,0
54.768169,-35.46357,0.004489,0.000228,1345.768,68.35268,0.124694,0.043091,-33.125,0
54.586708,-35.57414,0.005084,0.000103,1524.145,30.878623,0.128091,0.044265,144.435,0
54.771374,-35.38711,0.005326,0.000236,1596.695,70.75102,0.140418,0.048525,216.653,0
54.721681,-35.332577,0.004967,0.000214,1489.069,64.155586,0.144137,0.04981,109.52,0
54.817917,-35.500057,0.006148,0.0005,1843.124,99.99,0.172237,0.059521,461.954,0
54.58953,-35.259727,0.007755,5e-05,2324.891,14.989623,0.189855,0.065609,941.514,0
54.689167,-35.266388,0.006102,0.000349,1829.334,99.99,0.191393,0.066141,448.226,0
54.53815,-35.637215,0.003999,8e-05,1198.87,23.983397,0.199312,0.068877,-179.35,0
54.574875,-35.251778,0.004306,3.7e-05,1290.906,11.092321,0.199421,0.068915,-87.735,0
54.409542,-35.339054,0.006838,5.3e-05,2049.981,15.889,0.200742,0.069371,667.863,0
54.863667,-35.48926,0.003802,0.000254,1139.811,76.147284,0.205669,0.071074,-238.139,0
54.59766,-35.66491,0.002525,7e-05,756.976,20.985472,0.217109,0.075027,-619.221,0
54.598957,-35.230415,0.00546,4.7e-05,1636.867,14.090246,0.21837,0.075463,256.641,0
54.421867,-35.2959,0.004416,0.000333,1323.883,99.830889,0.219796,0.075956,-54.909,0
54.7301,-35.23633,0.00536,0.000333,1606.888,99.830889,0.2314,0.079966,226.799,0
54.51044,-35.687744,0.003112,0.000173,932.954,51.864095,0.254458,0.087934,-444.049,0
54.291668,-35.386944,0.005307,0.000333,1590.999,99.830889,0.271449,0.093806,210.983,0
54.290043,-35.508057,0.002122,0.000291,636.16,87.239605,0.27237,0.094124,-739.484,0
54.73981,-35.18435,0.004416,0.000333,1323.883,99.830889,0.282519,0.097632,-54.909,0
54.95875,-35.5225,0.002335,0.000333,700.015,99.830889,0.288704,0.099769,-675.921,0
54.61356,-35.15202,0.005267,0.000333,1579.007,99.830889,0.296318,0.1024,199.046,0
54.24375,-35.49597,0.0046,6.3e-05,1379.045,18.886925,0.30717,0.10615,0.0,0
54.96375,-35.322224,0.00536,0.000333,1606.888,99.830889,0.309905,0.107095,226.799,0
54.24917,-35.343334,0.006821,0.000478,2044.884,99.99,0.316935,0.109525,662.79,0
54.58018,-35.1291,0.004737,6.7e-05,1420.117,20.086095,0.320579,0.110784,40.884,0
55.0115,-35.465137,0.00536,0.000333,1606.888,99.830889,0.322424,0.111422,226.799,0
54.980415,-35.662224,0.00536,0.000333,1606.888,99.830889,0.365732,0.126388,226.799,0
55.03025,-35.618305,0.006866,7.4e-05,2058.375,22.184642,0.377672,0.130514,676.219,0
54.155254,-35.385994,0.004541,0.00011,1361.358,32.97717,0.380684,0.131555,-17.607,0
55.041428,-35.61247,0.006752,3e-05,2024.199,8.993774,0.383291,0.132456,642.199,0
54.766087,-35.082016,0.004795,0.00049,1437.505,99.99,0.386116,0.133432,58.192,0
55.0375,-35.62611,0.006764,3e-06,2027.796,0.899377,0.386483,0.133559,645.78,0
55.05207,-35.28861,0.004416,0.000333,1323.883,99.830889,0.389308,0.134535,-54.909,0
54.14417,-35.305367,0.006341,0.000193,1900.984,57.859944,0.410288,0.141785,519.549,0
55.0653,-35.6629,0.0038,0.000336,1139.211,99.99,0.424099,0.146558,-238.736,0
54.24942,-35.13742,0.00529,0.000333,1585.902,99.830889,0.431239,0.149025,205.91,0
54.227028,-35.7461,0.005424,0.000333,1626.074,99.830889,0.434976,0.150317,245.898,0
54.11625,-35.210556,0.00533,0.000333,1597.894,99.830889,0.471641,0.162987,217.846,0
55.07659,-35.138496,0.004416,0.000333,1323.883,99.830889,0.486447,0.168104,-54.909,0
54.10505,-35.70307,0.005397,0.000333,1617.98,99.830889,0.488178,0.168702,237.841,0
54.198708,-35.809444,0.00453,3.7e-05,1358.06,11.092321,0.496087,0.171435,-20.889,0
54.894917,-35.89561,0.005097,0.000247,1528.042,74.048737,0.501592,0.173337,148.315,0
54.958668,-35.021,0.004416,0.000333,1323.883,99.830889,0.510316,0.176352,-54.909,0
55.040764,-35.83642,0.004416,0.000333,1323.883,99.830889,0.519817,0.179635,-54.909,0
54.424313,-35.95654,0.004416,0.000333,1323.883,99.830889,0.53172,0.183749,-54.909,0
54.364582,-35.9629,0.005424,0.000333,1626.074,99.830889,0.553909,0.191417,245.898,0
54.535,-36.0085,0.005424,0.000333,1626.074,99.830889,0.564067,0.194927,245.898,0
55.21015,-35.748333,0.00472,0.000117,1415.02,35.075718,0.569278,0.196728,35.81,0
54.47794,-34.882095,0.003949,0.000368,1183.88,99.99,0.577336,0.199513,-194.271,0
55.279583,-35.690277,0.00542,0.000333,1624.875,99.830889,0.592069,0.204604,244.704,0
55.253513,-35.74259,0.005061,0.000315,1517.25,94.434624,0.596737,0.206217,137.571,0
55.127625,-35.877937,0.002291,0.000525,686.825,99.99,0.59842,0.206799,-689.051,0
55.10966,-35.00324,0.005267,0.000333,1579.007,99.830889,0.599725,0.20725,199.046,0
54.22199,-34.938538,0.003713,0.000177,1113.129,53.063265,0.602531,0.20822,-264.698,0
55.14107,-35.022797,0.007262,0.000107,2177.093,32.077793,0.603214,0.208456,794.393,0
54.526085,-36.0503,0.004416,0.000333,1323.883,99.830889,0.606435,0.209569,-54.909,0
55.1402,-35.88814,0.004416,0.000333,1323.883,99.830889,0.612876,0.211794,-54.909,0
54.580418,-36.065834,0.004416,0.000333,1323.883,99.830889,0.618194,0.213632,-54.909,0
54.02833,-35.842777,0.004416,0.000333,1323.883,99.830889,0.620463,0.214416,-54.909,0
54.72612,-34.82539,0.005267,0.000333,1579.007,99.830889,0.629337,0.217483,199.046,0
55.382526,-35.58924,0.006782,0.000213,2033.192,63.855794,0.639945,0.221149,651.152,0
55.2075,-35.023613,0.004416,0.000333,1323.883,99.830889,0.642165,0.221916,-54.909,0
54.26103,-34.875042,0.005267,0.000333,1579.007,99.830889,0.642182,0.221922,199.046,0
54.774204,-36.09896,0.005751,0.000258,1724.106,77.346454,0.663232,0.229196,343.481,0
55.16913,-34.94882,0.00542,0.000333,1624.875,99.830889,0.672583,0.232428,244.704,0
55.386898,-35.19367,0.006925,3.7e-05,2076.063,11.092321,0.677484,0.234121,693.826,0
53.798332,-35.323055,0.004416,0.000333,1323.883,99.830889,0.677982,0.234294,-54.909,0
54.88455,-36.0995,0.004416,0.000333,1323.883,99.830889,0.686873,0.237366,-54.909,0
53.772415,-35.45094,0.004416,0.000333,1323.883,99.830889,0.687426,0.237557,-54.909,0
54.00086,-35.93574,0.004416,0.000333,1323.883,99.830889,0.699207,0.241628,-54.909,0
53.75125,-35.322224,0.00548,0.000333,1642.863,99.830889,0.715858,0.247382,262.609,0
55.00138,-36.09353,0.00536,0.000333,1606.888,99.830889,0.717438,0.247928,226.799,0
55.265835,-34.954445,0.004416,0.000333,1323.883,99.830889,0.723845,0.250142,-54.909,0
55.49,-35.29222,0.00542,0.000333,1624.875,99.830889,0.728709,0.251823,244.704,0
54.000214,-34.87699,0.00529,0.000333,1585.902,99.830889,0.760447,0.262791,205.91,0
55.57203,-35.54076,0.003579,0.000254,1072.957,76.147284,0.784083,0.270959,-304.687,0
54.25921,-36.176807,0.00558,0.000333,1672.842,99.830889,0.784396,0.271068,292.451,0
55.58103,-35.392605,0.004723,2e-05,1415.92,5.995849,0.78792,0.272285,36.706,0
55.58,-35.560555,0.00536,0.000333,1606.888,99.830889,0.793088,0.274071,226.799,0
55.15708,-36.121113,0.004416,0.000333,1323.883,99.830889,0.804207,0.277914,-54.909,0
53.982082,-34.827778,0.00533,0.000333,1597.894,99.830889,0.807452,0.279035,217.846,0
53.622913,-35.546425,0.004019,3e-06,1204.866,0.899377,0.815135,0.28169,-173.382,0
53.74284,-35.04217,0.00534,0.000333,1600.892,99.830889,0.819279,0.283122,220.831,0
55.606255,-35.595158,0.005367,0.000333,1608.986,99.830889,0.819753,0.283286,228.888,0
54.56439,-36.2813,0.005424,0.000333,1626.074,99.830889,0.834041,0.288223,245.898,0
55.63779,-35.53239,0.005367,0.000333,1608.986,99.830889,0.836421,0.289046,228.888,0
54.30364,-36.25783,0.004416,0.000333,1323.883,99.830889,0.848613,0.293259,-54.909,0
54.053833,-36.166397,0.00477,0.00011,1430.01,32.97717,0.851785,0.294355,50.731,0
55.025833,-36.23389,0.005284,0.000333,1584.103,99.830889,0.853484,0.294943,204.119,0
55.18304,-36.18521,0.005284,0.000333,1584.103,99.830889,0.86959,0.300508,204.119,0
55.34949,-36.08053,0.004416,0.000333,1323.883,99.830889,0.869756,0.300566,-54.909,0
53.55125,-35.228333,0.004416,0.000333,1323.883,99.830889,0.895048,0.309306,-54.909,0
53.63536,-35.04336,0.004416,0.000333,1323.883,99.830889,0.895832,0.309577,-54.909,0
53.849583,-36.091667,0.004416,0.000333,1323.883,99.830889,0.896635,0.309854,-54.909,0
53.525,-35.276943,0.005397,0.000333,1617.98,99.830889,0.905345,0.312864,237.841,0
55.729168,-35.343334,0.004416,0.000333,1323.883,99.830889,0.912686,0.315401,-54.909,0
53.576553,-35.79471,0.006282,0.000327,1883.296,98.032134,0.915068,0.316225,501.942,0
55.26322,-34.69519,0.005267,0.000333,1579.007,99.830889,0.919238,0.317665,199.046,0
54.538136,-34.518684,0.003797,9.5e-05,1138.312,28.480284,0.931821,0.322014,-239.631,0
53.55965,-35.8193,0.005397,0.000333,1617.98,99.830889,0.937286,0.323902,237.841,0
55.758583,-35.3277,0.00542,0.000333,1624.875,99.830889,0.938375,0.324279,244.704,0
55.08065,-36.31373,0.004416,0.000333,1323.883,99.830889,0.94448,0.326388,-54.909,0
55.75679,-35.2505,0.00542,0.000333,1624.875,99.830889,0.949956,0.328281,244.704,0
55.526016,-34.849895,0.00542,0.000333,1624.875,99.830889,0.952575,0.329186,244.704,0
53.49899,-35.75912,0.004416,0.000333,1323.883,99.830889,0.961763,0.332361,-54.909,0
54.58695,-36.41212,0.004416,0.000333,1323.883,99.830889,0.964086,0.333164,-54.909,0
55.65375,-35.955833,0.005344,0.000333,1602.091,99.830889,0.985851,0.340685,222.024,0
54.01884,-36.33556,0.004416,0.000333,1323.883,99.830889,1.011943,0.349702,-54.909,0
53.451992,-35.83644,0.004416,0.000333,1323.883,99.830889,1.024786,0.35414,-54.909,0
53.38376,-35.66165,0.005237,0.000333,1570.013,99.830889,1.026445,0.354714,190.093,0
53.74505,-36.19682,0.004416,0.000333,1323.883,99.830889,1.03147,0.35645,-54.909,0
53.43,-35.86,0.005137,1.3e-05,1540.034,3.897302,1.050397,0.362991,160.251,0
55.89771,-35.67438,0.004416,0.000333,1323.883,99.830889,1.068121,0.369116,-54.909,0
55.91625,-35.21611,0.00542,0.000333,1624.875,99.830889,1.084192,0.374669,244.704,0
53.28583,-35.396946,0.005397,0.000333,1617.98,99.830889,1.085029,0.374959,237.841,0
55.67045,-34.76188,0.005267,0.000333,1579.007,99.830889,1.099426,0.379934,199.046,0
55.95339,-35.62549,0.004416,0.000333,1323.883,99.830889,1.103599,0.381376,-54.909,0
54.66375,-36.558334,0.005364,0.000333,1608.087,99.830889,1.110678,0.383822,227.993,0
53.288334,-35.718334,0.005671,1.3e-05,1700.123,3.897302,1.114959,0.385302,319.608,0
55.41533,-36.36279,0.004416,0.000333,1323.883,99.830889,1.122492,0.387905,-54.909,0
55.11228,-36.499058,0.00449,0.00015,1346.068,44.968869,1.125751,0.389031,-32.826,0
55.07125,-36.53472,0.004416,0.000333,1323.883,99.830889,1.147882,0.396679,-54.909,0
53.29959,-35.0354,0.00533,0.000333,1597.894,99.830889,1.149342,0.397184,217.846,0
54.72306,-36.61408,0.004416,0.000333,1323.883,99.830889,1.168993,0.403974,-54.909,0
55.88756,-36.00618,0.004416,0.000333,1323.883,99.830889,1.176344,0.406515,-54.909,0
53.38525,-36.109554,0.00514,0.000333,1540.933,99.830889,1.201194,0.415102,161.147,0
53.5495,-36.28749,0.00548,0.000333,1642.863,99.830889,1.208047,0.417471,262.609,0
53.37635,-36.158497,0.005934,0.00015,1778.968,44.968869,1.234739,0.426695,398.092,0
53.09196,-35.40611,0.00539,0.000333,1615.881,99.830889,1.242463,0.429364,235.752,0
55.90653,-34.7766,0.004416,0.000333,1323.883,99.830889,1.247421,0.431077,-54.909,0
53.71282,-36.46218,0.00548,0.000333,1642.863,99.830889,1.252814,0.432941,262.609,0
55.847084,-34.69528,0.005267,0.000333,1579.007,99.830889,1.253978,0.433343,199.046,0
53.201862,-35.946033,0.005397,0.000333,1617.98,99.830889,1.255113,0.433735,237.841,0
55.803109,-34.643135,0.005588,0.000333,1675.24,99.830889,1.258237,0.434815,294.839,0
56.12523,-35.178833,0.005344,0.000333,1602.091,99.830889,1.258468,0.434895,222.024,0
56.136734,-35.195877,0.002318,0.000107,694.919,32.077793,1.26411,0.436845,-680.994,0
53.11375,-35.775,0.005397,0.000333,1617.98,99.830889,1.266837,0.437787,237.841,0
53.484188,-34.561768,0.007519,0.000187,2254.139,56.06119,1.279252,0.442077,871.087,0
54.673332,-36.727222,0.004416,0.000333,1323.883,99.830889,1.279737,0.442245,-54.909,0
54.432083,-36.726387,0.004416,0.000333,1323.883,99.830889,1.286833,0.444697,-54.909,0
53.022396,-35.42566,0.005397,0.000333,1617.98,99.830889,1.298613,0.448768,237.841,0
56.185028,-35.683662,0.005734,0.00012,1719.01,35.975095,1.299474,0.449066,338.408,0
53.80143,-36.5754,0.004416,0.000333,1323.883,99.830889,1.308012,0.452016,-54.909,0
53.72359,-34.36084,0.00536,0.000333,1606.888,99.830889,1.308223,0.452089,226.799,0
55.019764,-34.168346,0.00542,0.000333,1624.875,99.830889,1.32152,0.456684,244.704,0
55.35798,-34.25428,0.005267,0.000333,1579.007,99.830889,1.338232,0.462459,199.046,0
53.2025,-36.153057,0.004416,0.000333,1323.883,99.830889,1.350201,0.466595,-54.909,0
53.02278,-35.82654,0.004416,0.000333,1323.883,99.830889,1.352077,0.467244,-54.909,0
52.95313,-35.58252,0.004416,0.000333,1323.883,99.830889,1.361471,0.47049,-54.909,0
56.16375,-35.9825,0.004416,0.000333,1323.883,99.830889,1.369155,0.473145,-54.909,0
53.125023,-36.088203,0.00548,0.000333,1642.863,99.830889,1.373027,0.474484,262.609,0
53.628685,-34.29757,0.004183,9.7e-05,1254.032,29.079868,1.404095,0.48522,-124.441,0
52.948334,-35.051666,0.005537,0.000103,1659.951,30.878623,1.415465,0.489149,279.619,0
53.480835,-34.34667,0.004416,0.000333,1323.883,99.830889,1.438469,0.497099,-54.909,0
52.85347,-35.330948,0.004253,8.7e-05,1275.017,26.081944,1.440819,0.497911,-103.552,0
54.533504,-33.97969,0.004416,0.000333,1323.883,99.830889,1.470186,0.508059,-54.909,0
52.83011,-35.16551,0.004416,0.000333,1323.883,99.830889,1.48229,0.512242,-54.909,0
53.044582,-36.220276,0.005747,0.000203,1722.907,60.857869,1.49505,0.516652,342.287,0
56.38723,-34.98505,0.005344,0.000333,1602.091,99.830889,1.515268,0.523639,222.024,0
