Field,n_objects
SPLUS-s24s32,41
SPLUS-s24s33,53
SPLUS-s24s34,104
SPLUS-s24s35,156
SPLUS-s24s36,184
SPLUS-s24s37,142
SPLUS-s24s38,98
SPLUS-s24s39,126
SPLUS-s24s40,18
SPLUS-s25s31,53
SPLUS-s25s32,80
SPLUS-s25s33,113
SPLUS-s25s34,143
SPLUS-s25s35,154
SPLUS-s25s36,222
SPLUS-s25s37,116
SPLUS-s25s38,111
SPLUS-s25s39,156
SPLUS-s25s40,16
SPLUS-s26s30,59
SPLUS-s26s31,127
SPLUS-s26s32,119
SPLUS-s26s33,142
SPLUS-s26s34,125
SPLUS-s26s35,160
SPLUS-s26s36,89
SPLUS-s26s37,116
SPLUS-s26s38,92
SPLUS-s26s39,159
SPLUS-s26s40,17
SPLUS-s27s29,31
SPLUS-s27s30,233
SPLUS-s27s31,222
SPLUS-s27s32,183
SPLUS-s27s33,183
SPLUS-s27s34,153
SPLUS-s27s35,105
SPLUS-s27s36,97
SPLUS-s27s37,140
SPLUS-s27s38,158
SPLUS-s27s39,53
SPLUS-s28s29,140
SPLUS-s28s30,171
SPLUS-s28s31,211
SPLUS-s28s32,153
SPLUS-s28s33,148
SPLUS-s28s34,129
SPLUS-s28s35,139
SPLUS-s28s36,99
SPLUS-s28s37,167
SPLUS-s28s38,138
SPLUS-s28s39,16
SPLUS-s29s28,1
SPLUS-s29s29,161
SPLUS-s29s30,177
SPLUS-s29s31,163
SPLUS-s29s32,129
SPLUS-s29s33,175
SPLUS-s29s34,171
SPLUS-s29s35,161
SPLUS-s29s36,141
SPLUS-s29s37,151
SPLUS-s29s38,37
SPLUS-s30s28,6
SPLUS-s30s29,218
SPLUS-s30s30,202
SPLUS-s30s31,196
SPLUS-s30s32,245
SPLUS-s30s33,258
SPLUS-s30s34,174
SPLUS-s30s35,161
SPLUS-s30s36,131
SPLUS-s30s37,58
SPLUS-s31s28,1
SPLUS-s31s29,124
SPLUS-s31s30,125
SPLUS-s31s31,206
SPLUS-s31s32,318
SPLUS-s31s33,230
SPLUS-s31s34,163
SPLUS-s31s35,172
SPLUS-s31s36,6
SPLUS-s32s29,57
SPLUS-s32s30,148
SPLUS-s32s31,131
SPLUS-s32s32,218
SPLUS-s32s33,156
SPLUS-s32s34,38
