Field,n_objects
SPLUS-s24s23,23
SPLUS-s24s24,108
SPLUS-s24s25,83
SPLUS-s24s26,175
SPLUS-s24s27,189
SPLUS-s24s28,243
SPLUS-s24s29,137
SPLUS-s24s31,165
SPLUS-s24s32,126
SPLUS-s24s33,54
SPLUS-s24s34,104
SPLUS-s24s35,156
SPLUS-s24s36,184
SPLUS-s24s37,142
SPLUS-s24s38,98
SPLUS-s24s39,192
SPLUS-s24s40,201
SPLUS-s24s41,203
SPLUS-s24s42,187
SPLUS-s24s43,116
SPLUS-s24s44,112
SPLUS-s24s45,243
SPLUS-s24s46,231
SPLUS-s24s47,201
SPLUS-s24s48,89
SPLUS-s25s23,108
SPLUS-s25s24,152
SPLUS-s25s26,134
SPLUS-s25s27,177
SPLUS-s25s28,117
SPLUS-s25s29,88
SPLUS-s25s30,80
SPLUS-s25s31,105
SPLUS-s25s32,80
SPLUS-s25s33,113
SPLUS-s25s34,143
SPLUS-s25s35,154
SPLUS-s25s36,222
SPLUS-s25s37,116
SPLUS-s25s38,111
SPLUS-s25s39,156
SPLUS-s25s40,90
SPLUS-s25s41,99
SPLUS-s25s42,158
SPLUS-s25s43,126
SPLUS-s25s44,184
SPLUS-s25s45,150
SPLUS-s25s46,95
SPLUS-s25s47,129
SPLUS-s25s48,50
SPLUS-s26s22,44
SPLUS-s26s23,104
SPLUS-s26s24,126
SPLUS-s26s25,169
SPLUS-s26s26,157
SPLUS-s26s27,97
SPLUS-s26s28,98
SPLUS-s26s29,80
SPLUS-s26s30,120
SPLUS-s26s31,127
SPLUS-s26s32,119
SPLUS-s26s33,142
SPLUS-s26s34,125
SPLUS-s26s35,160
SPLUS-s26s36,89
SPLUS-s26s37,116
SPLUS-s26s38,92
SPLUS-s26s39,162
SPLUS-s26s40,100
SPLUS-s26s41,123
SPLUS-s26s42,90
SPLUS-s26s43,139
SPLUS-s26s44,137
SPLUS-s26s45,93
SPLUS-s26s46,124
SPLUS-s26s47,92
SPLUS-s27s22,92
SPLUS-s27s23,117
SPLUS-s27s24,143
SPLUS-s27s25,359
SPLUS-s27s26,119
SPLUS-s27s27,194
SPLUS-s27s28,187
SPLUS-s27s29,105
SPLUS-s27s30,233
SPLUS-s27s31,222
SPLUS-s27s32,183
SPLUS-s27s33,183
SPLUS-s27s34,153
SPLUS-s27s35,105
SPLUS-s27s36,97
SPLUS-s27s37,140
SPLUS-s27s38,158
SPLUS-s27s39,79
SPLUS-s27s40,96
SPLUS-s27s41,133
SPLUS-s27s42,112
SPLUS-s27s43,138
SPLUS-s27s44,106
SPLUS-s27s45,120
SPLUS-s27s46,118
SPLUS-s28s22,93
SPLUS-s28s23,128
SPLUS-s28s24,160
SPLUS-s28s25,110
SPLUS-s28s26,158
SPLUS-s28s27,134
SPLUS-s28s28,181
SPLUS-s28s29,229
SPLUS-s28s30,171
SPLUS-s28s31,211
SPLUS-s28s32,153
SPLUS-s28s33,148
SPLUS-s28s34,129
SPLUS-s28s35,139
SPLUS-s28s36,99
SPLUS-s28s37,167
SPLUS-s28s38,138
SPLUS-s28s39,83
SPLUS-s28s40,111
SPLUS-s28s41,209
SPLUS-s28s42,251
SPLUS-s28s43,108
SPLUS-s28s44,84
SPLUS-s28s45,105
SPLUS-s28s46,100
SPLUS-s29s24,132
SPLUS-s29s25,111
SPLUS-s29s26,156
SPLUS-s29s27,197
SPLUS-s29s28,228
SPLUS-s29s29,181
SPLUS-s29s30,177
SPLUS-s29s31,163
SPLUS-s29s32,129
SPLUS-s29s33,175
SPLUS-s29s34,171
SPLUS-s29s35,161
SPLUS-s29s36,141
SPLUS-s29s37,151
SPLUS-s29s38,163
SPLUS-s29s39,159
SPLUS-s29s40,138
SPLUS-s29s41,127
SPLUS-s29s42,111
SPLUS-s29s43,127
SPLUS-s29s44,132
SPLUS-s29s45,145
SPLUS-s30s23,120
SPLUS-s30s24,90
SPLUS-s30s25,169
SPLUS-s30s26,143
SPLUS-s30s27,185
SPLUS-s30s28,226
SPLUS-s30s29,256
SPLUS-s30s30,202
SPLUS-s30s31,196
SPLUS-s30s32,245
SPLUS-s30s33,258
SPLUS-s30s34,174
SPLUS-s30s35,161
SPLUS-s30s36,131
SPLUS-s30s37,132
SPLUS-s30s38,114
SPLUS-s30s39,133
SPLUS-s30s40,125
SPLUS-s30s41,107
SPLUS-s30s42,123
SPLUS-s30s43,101
SPLUS-s30s44,151
SPLUS-s31s23,40
SPLUS-s31s24,72
SPLUS-s31s25,174
SPLUS-s31s26,184
SPLUS-s31s27,173
SPLUS-s31s28,119
SPLUS-s31s29,174
SPLUS-s31s30,125
SPLUS-s31s31,206
SPLUS-s31s32,318
SPLUS-s31s33,230
SPLUS-s31s34,163
SPLUS-s31s35,185
SPLUS-s31s36,108
SPLUS-s31s37,89
SPLUS-s31s38,115
SPLUS-s31s39,133
SPLUS-s31s40,170
SPLUS-s31s41,161
SPLUS-s31s42,85
SPLUS-s32s22,98
SPLUS-s32s23,105
SPLUS-s32s24,130
SPLUS-s32s25,124
SPLUS-s32s26,187
SPLUS-s32s27,159
SPLUS-s32s28,163
SPLUS-s32s29,220
SPLUS-s32s30,216
SPLUS-s32s31,151
SPLUS-s32s32,237
SPLUS-s32s33,196
SPLUS-s32s34,137
SPLUS-s32s35,130
SPLUS-s32s36,133
SPLUS-s32s37,92
SPLUS-s32s38,126
SPLUS-s32s39,137
SPLUS-s32s40,236
SPLUS-s32s41,149
SPLUS-s32s42,129
SPLUS-s33s22,118
SPLUS-s33s23,159
SPLUS-s33s24,160
SPLUS-s33s25,193
SPLUS-s33s26,149
SPLUS-s33s27,143
SPLUS-s33s28,244
SPLUS-s33s29,172
SPLUS-s33s30,176
SPLUS-s33s31,114
SPLUS-s33s32,143
SPLUS-s33s33,152
SPLUS-s33s34,138
SPLUS-s33s35,151
SPLUS-s33s36,183
SPLUS-s33s37,161
SPLUS-s33s38,123
SPLUS-s33s39,183
SPLUS-s33s40,134
SPLUS-s33s41,144
SPLUS-s33s42,32
SPLUS-s34s21,134
SPLUS-s34s22,102
SPLUS-s34s23,117
SPLUS-s34s24,162
SPLUS-s34s25,119
SPLUS-s34s26,211
SPLUS-s34s27,202
SPLUS-s34s28,219
SPLUS-s34s29,161
SPLUS-s34s30,173
SPLUS-s34s31,129
SPLUS-s34s32,133
SPLUS-s34s33,166
SPLUS-s34s34,165
SPLUS-s34s35,102
SPLUS-s34s36,182
SPLUS-s34s37,103
SPLUS-s34s38,152
SPLUS-s34s39,234
SPLUS-s34s40,109
SPLUS-s34s41,10
SPLUS-s35s24,136
SPLUS-s35s25,106
SPLUS-s35s26,143
SPLUS-s35s27,290
SPLUS-s35s28,153
SPLUS-s35s29,263
SPLUS-s35s30,162
SPLUS-s35s31,237
SPLUS-s35s32,141
SPLUS-s35s33,121
SPLUS-s35s34,92
SPLUS-s35s35,139
SPLUS-s35s36,173
SPLUS-s35s37,163
SPLUS-s35s38,222
SPLUS-s35s39,124
SPLUS-s36s23,139
SPLUS-s36s24,81
SPLUS-s36s25,146
SPLUS-s36s26,175
SPLUS-s36s27,135
SPLUS-s36s28,127
SPLUS-s36s29,156
SPLUS-s36s30,111
SPLUS-s36s31,139
SPLUS-s36s32,165
SPLUS-s36s33,96
SPLUS-s36s34,178
SPLUS-s36s35,168
SPLUS-s36s36,199
SPLUS-s36s37,165
SPLUS-s36s38,23
SPLUS-s37s20,17
SPLUS-s37s23,86
SPLUS-s37s24,71
SPLUS-s37s25,121
SPLUS-s37s26,137
SPLUS-s37s27,131
SPLUS-s37s28,100
SPLUS-s37s29,149
SPLUS-s37s30,143
SPLUS-s37s31,121
SPLUS-s37s32,139
SPLUS-s37s33,200
SPLUS-s37s34,124
SPLUS-s37s35,208
SPLUS-s37s36,140
SPLUS-s38s23,147
SPLUS-s38s24,104
SPLUS-s38s25,120
SPLUS-s38s26,128
SPLUS-s38s27,174
SPLUS-s38s28,151
SPLUS-s38s29,145
SPLUS-s38s30,87
SPLUS-s38s31,73
SPLUS-s38s32,147
SPLUS-s38s33,162
SPLUS-s38s34,197
SPLUS-s38s35,12
SPLUS-s39s21,56
SPLUS-s39s22,144
SPLUS-s39s23,153
SPLUS-s39s24,198
SPLUS-s39s25,156
SPLUS-s39s26,119
SPLUS-s39s27,155
SPLUS-s39s28,142
SPLUS-s39s29,101
SPLUS-s39s30,134
SPLUS-s39s31,191
SPLUS-s39s32,135
SPLUS-s39s33,13
SPLUS-s40s22,20
SPLUS-s40s23,63
SPLUS-s40s24,192
SPLUS-s40s25,182
SPLUS-s40s26,208
SPLUS-s40s27,182
SPLUS-s40s28,122
SPLUS-s40s29,132
SPLUS-s40s30,22
