ra,dec,z,z_err,v,v_err,radius_deg,radius_Mpc,v_offset,flag_member
356.85416,-2.326528,0.01947,0.000123,5836.959,36.874472,0.00859,0.013641,-683.614,0
356.8289,-2.31356,0.021108,0.0001,6328.019,29.979246,0.020791,0.033016,-203.03,0
356.84583,-2.300547,0.023123,7.3e-05,6932.101,21.884849,0.025444,0.040405,388.163,0
356.84918,-2.351228,0.020024,8.7e-05,6003.044,26.081944,0.025493,0.040483,-521.072,0
356.84167,-2.3535,0.020124,0.00016,6033.023,47.966793,0.027786,0.044124,-491.732,0
356.8608,-2.353314,0.022342,2e-05,6697.963,5.995849,0.031271,0.049658,159.021,0
356.84692,-2.363095,0.019984,2.3e-05,5991.052,6.895227,0.037129,0.058961,-532.808,0
356.8328,-2.280779,0.022232,8e-05,6664.986,23.983397,0.04698,0.074604,126.747,0
356.834583,-2.374111,0.024173,1.3e-05,7246.883,3.897302,0.04936,0.078383,696.23,0
356.885,-2.374805,0.022946,0.00022,6879.038,65.954341,0.062724,0.099605,336.232,0
356.9078,-2.316765,0.022235,7e-05,6665.885,20.985472,0.062849,0.099805,127.627,0
356.78912,-2.26043,0.025244,0.00016,7567.961,47.966793,0.08649,0.137347,1010.457,0
356.79227,-2.253337,0.025321,2e-05,7591.045,5.995849,0.090087,0.143059,1033.049,0
356.97464,-2.275054,0.01968,7e-05,5899.916,20.985472,0.138649,0.220174,-622.0,0
356.823,-2.186193,0.02451,0.00049,7347.913,99.99,0.141606,0.22487,795.104,0
356.849,-2.169196,0.021485,8e-05,6441.041,23.983397,0.156831,0.249048,-92.42,0
356.70352,-2.408111,0.022295,7.7e-05,6683.873,23.084019,0.163987,0.260411,145.231,0
357.01578,-2.413032,0.021278,7e-05,6378.984,20.985472,0.191041,0.303373,-153.153,0
356.7476,-2.136576,0.021545,0.000137,6459.029,41.071567,0.213218,0.33859,-74.816,0
357.04712,-2.432509,0.022165,4.3e-05,6644.9,12.891076,0.227811,0.361763,107.09,0
356.7019,-2.575584,0.022411,1.5e-05,6718.649,4.496887,0.287936,0.457242,179.265,0
356.72226,-2.062712,0.021504,2.1e-05,6446.737,6.295642,0.290686,0.461608,-86.845,0
357.17056,-2.363882,0.021961,1.6e-05,6583.742,4.796679,0.326916,0.519142,47.237,0
357.3354,-2.279417,0.02348,7e-05,7039.127,20.985472,0.491627,0.780703,492.906,0
356.57092,-1.882188,0.023371,6e-06,7006.45,1.798755,0.521799,0.828616,460.926,0
356.51263,-1.894429,0.021947,1.8e-05,6579.545,5.396264,0.544902,0.865303,43.129,0
356.51456,-1.890828,0.022063,2e-06,6614.321,0.599585,0.546589,0.867983,77.163,0
356.73007,-2.860289,0.022611,1e-06,6778.607,0.299792,0.546622,0.868035,237.944,0
