Field,n_objects
SPLUS-s02s18,111
SPLUS-s02s19,144
SPLUS-s02s20,133
SPLUS-s02s21,132
SPLUS-s02s22,164
SPLUS-s02s23,111
SPLUS-s02s24,113
SPLUS-s02s25,133
SPLUS-s02s26,226
STRIPE82-0003,189
STRIPE82-0004,227
STRIPE82-0005,294
STRIPE82-0006,216
STRIPE82-0007,341
STRIPE82-0009,446
STRIPE82-0153,25
STRIPE82-0155,109
STRIPE82-0157,124
STRIPE82-0158,201
STRIPE82-0159,104
STRIPE82-0160,137
STRIPE82-0162,119
STRIPE82-0163,177
STRIPE82-0165,154
STRIPE82-0167,109
STRIPE82-0169,122
STRIPE82_0001,155
STRIPE82_0002,204
STRIPE82_0008,287
STRIPE82_0010,123
STRIPE82_0154,13
STRIPE82_0156,117
STRIPE82_0161,128
STRIPE82_0164,152
STRIPE82_0166,175
STRIPE82_0168,109
STRIPE82_0170,133
