ra,dec,z,z_err,v,v_err,radius_deg,radius_Mpc,v_offset,flag_member
159.14865,-27.518274,0.013593,1.4e-05,4075.079,4.197094,0.042658,0.040109,283.618,0
159.18724,-27.469501,0.009156,4e-05,2744.9,11.991698,0.048976,0.046049,-1029.964,0
159.14586,-27.479086,0.015617,3.7e-05,4681.859,11.092321,0.059424,0.055873,882.827,0
159.23767,-27.56787,0.014807,6e-05,4439.027,17.987547,0.061884,0.058186,643.025,0
159.14793,-27.47014,0.010521,4e-05,3154.116,11.991698,0.064348,0.060502,-625.854,0
159.26047,-27.56498,0.009627,3e-05,2886.102,8.993774,0.073654,0.069252,-890.524,0
159.22963,-27.44625,0.013813,0.000274,4141.033,82.143133,0.077215,0.0726,348.749,0
159.28925,-27.480362,0.009173,0.000294,2749.996,88.138983,0.090155,0.084767,-1024.931,0
159.28767,-27.47214,0.008319,0.00035,2493.973,99.99,0.092641,0.087104,-1277.76,0
159.10353,-27.581656,0.009276,4e-05,2780.875,11.991698,0.104493,0.098248,-994.438,0
159.11464,-27.441864,0.012569,0.000287,3768.091,86.040435,0.105169,0.098883,-19.539,0
159.07306,-27.50368,0.010234,0.000267,3068.076,80.044586,0.110591,0.103982,-710.82,0
159.24237,-27.621529,0.019087,0.000297,5722.139,89.03836,0.111392,0.104734,1910.126,0
159.07153,-27.529709,0.012612,4.3e-05,3780.982,12.891076,0.111693,0.105017,-6.809,0
159.07149,-27.474817,0.012769,0.000404,3828.05,99.99,0.119092,0.111974,39.671,0
159.32104,-27.46886,0.016088,3.3e-05,4823.061,9.893151,0.120586,0.113379,1022.267,0
159.09306,-27.43814,0.011855,1.1e-05,3554.04,3.297717,0.121626,0.114357,-230.92,0
159.05638,-27.532055,0.01442,0.000387,4323.007,99.99,0.125306,0.117817,528.453,0
159.33328,-27.55947,0.013436,4.7e-05,4028.011,14.090246,0.128075,0.12042,237.138,0
159.2045,-27.388678,0.014884,5e-05,4462.111,14.989623,0.129251,0.121526,665.821,0
159.21167,-27.383972,0.014363,0.000447,4305.919,99.99,0.134427,0.126393,511.578,0
159.34511,-27.545753,0.009136,3.3e-05,2738.904,9.893151,0.134527,0.126487,-1035.885,0
159.2705,-27.399918,0.009166,4e-05,2747.898,11.991698,0.134766,0.126712,-1027.004,0
159.16216,-27.652136,0.008546,0.00018,2562.026,53.962642,0.137846,0.129607,-1210.556,0
159.04578,-27.454163,0.016311,5e-05,4889.915,14.989623,0.148218,0.139359,1088.287,0
159.29028,-27.657803,0.013723,1.1e-05,4114.052,3.297717,0.162779,0.15305,322.104,0
159.31499,-27.643675,0.011785,0.000267,3533.054,80.044586,0.163875,0.154081,-251.644,0
159.09608,-27.35422,0.009917,5e-05,2973.042,14.989623,0.186309,0.175174,-804.669,0
159.3038,-27.68394,0.009537,2e-05,2859.121,5.995849,0.191402,0.179962,-917.169,0
159.37282,-27.630774,0.018843,0.000267,5648.989,80.044586,0.192768,0.181247,1837.89,0
159.30522,-27.68496,0.015481,2e-05,4641.087,5.995849,0.192913,0.181383,842.564,0
159.40552,-27.594114,0.013142,2.7e-05,3939.872,8.094396,0.200286,0.188315,150.098,0
159.15633,-27.716995,0.012469,4.3e-05,3738.112,12.891076,0.202447,0.190348,-49.145,0
159.36855,-27.65525,0.015,0.000333,4496.887,99.830889,0.205239,0.192973,700.163,0
159.11517,-27.31922,0.011241,2.7e-05,3369.967,8.094396,0.211298,0.198669,-412.696,0
159.05437,-27.68858,0.01394,4.7e-05,4179.107,14.090246,0.212434,0.199737,386.348,0
159.39905,-27.403917,0.016185,0.000314,4852.141,94.134832,0.212479,0.19978,1050.984,0
