Field,n_objects
HYDRA-0035,227
HYDRA-0036,362
HYDRA-0037,264
HYDRA-0039,169
HYDRA-0041,67
HYDRA-0044,281
HYDRA-0045,480
HYDRA-0048,227
HYDRA-0052,251
HYDRA-0053,208
HYDRA-0055,351
HYDRA-0056,420
HYDRA-0061,56
HYDRA-0062,200
HYDRA-0064,206
HYDRA-0075,75
HYDRA_0013,23
HYDRA_0014,139
HYDRA_0015,108
HYDRA_0016,104
HYDRA_0017,125
HYDRA_0018,228
HYDRA_0019,142
HYDRA_0020,10
HYDRA_0023,230
HYDRA_0024,197
HYDRA_0025,156
HYDRA_0026,131
HYDRA_0027,149
HYDRA_0028,155
HYDRA_0029,171
HYDRA_0032,102
HYDRA_0033,280
HYDRA_0034,376
HYDRA_0038,126
HYDRA_0042,233
HYDRA_0043,256
HYDRA_0046,309
HYDRA_0047,242
HYDRA_0051,64
HYDRA_0054,233
HYDRA_0057,363
HYDRA_0058,161
HYDRA_0063,161
HYDRA_0065,210
HYDRA_0066,188
HYDRA_0067,161
HYDRA_0071,86
HYDRA_0072,131
HYDRA_0073,176
HYDRA_0074,149
SPLUS-n17s06,6
SPLUS-n17s07,5
SPLUS-n18s04,13
SPLUS-n18s05,100
SPLUS-n18s06,128
SPLUS-n18s07,123
SPLUS-n18s08,114
SPLUS-n18s09,73
SPLUS-n19s01,2
SPLUS-n20s01,45
