Field,n_objects
HYDRA-0011,155
HYDRA-0021,198
HYDRA-0031,280
HYDRA-0035,227
HYDRA-0036,362
HYDRA-0037,264
HYDRA-0039,169
HYDRA-0041,225
HYDRA-0044,281
HYDRA-0045,480
HYDRA-0048,227
HYDRA-0050,276
HYDRA-0052,251
HYDRA-0053,208
HYDRA-0055,351
HYDRA-0056,420
HYDRA-0061,253
HYDRA-0062,202
HYDRA-0064,206
HYDRA-0069,235
HYDRA-0070,176
HYDRA-0075,214
HYDRA-0077,256
HYDRA-0084,185
HYDRA-0085,250
HYDRA-0086,223
HYDRA-0093,246
HYDRA-0095,176
HYDRA-0096,234
HYDRA-0102,179
HYDRA-0103,283
HYDRA-0104,255
HYDRA-0111,232
HYDRA-0112,288
HYDRA-0120,214
HYDRA-0121,277
HYDRA-0129,215
HYDRA-0136,241
HYDRA-D-0001,362
HYDRA-D-0002,245
HYDRA-D-0003,261
HYDRA-D-0004,242
HYDRA_0012,130
HYDRA_0013,183
HYDRA_0014,159
HYDRA_0015,108
HYDRA_0016,104
HYDRA_0017,125
HYDRA_0018,228
HYDRA_0019,163
HYDRA_0020,139
HYDRA_0022,189
HYDRA_0023,260
HYDRA_0024,197
HYDRA_0025,156
HYDRA_0026,131
HYDRA_0027,149
HYDRA_0028,155
HYDRA_0029,171
HYDRA_0030,307
HYDRA_0032,225
HYDRA_0033,280
HYDRA_0034,376
HYDRA_0038,126
HYDRA_0040,287
HYDRA_0042,233
HYDRA_0043,256
HYDRA_0046,309
HYDRA_0047,242
HYDRA_0049,321
HYDRA_0051,176
HYDRA_0054,233
HYDRA_0057,363
HYDRA_0058,244
HYDRA_0059,385
HYDRA_0060,301
HYDRA_0063,161
HYDRA_0065,210
HYDRA_0066,188
HYDRA_0067,235
HYDRA_0068,286
HYDRA_0071,219
HYDRA_0072,155
HYDRA_0073,184
HYDRA_0074,173
HYDRA_0076,256
HYDRA_0078,335
HYDRA_0079,273
HYDRA_0080,319
HYDRA_0081,241
HYDRA_0082,214
HYDRA_0083,182
HYDRA_0087,248
HYDRA_0088,291
HYDRA_0089,165
HYDRA_0091,155
HYDRA_0092,221
HYDRA_0094,207
HYDRA_0097,232
HYDRA_0098,169
HYDRA_0099,176
HYDRA_0100,161
HYDRA_0101,178
HYDRA_0105,182
HYDRA_0106,252
HYDRA_0107,146
HYDRA_0108,155
HYDRA_0109,169
HYDRA_0110,176
HYDRA_0113,318
HYDRA_0114,224
HYDRA_0115,218
HYDRA_0116,195
HYDRA_0117,173
HYDRA_0118,188
HYDRA_0119,139
HYDRA_0122,328
HYDRA_0123,208
HYDRA_0124,220
HYDRA_0125,223
HYDRA_0126,334
HYDRA_0127,262
HYDRA_0128,185
HYDRA_0130,351
HYDRA_0131,242
HYDRA_0132,244
HYDRA_0133,228
HYDRA_0134,271
HYDRA_0135,279
HYDRA_0138,35
HYDRA_0139,126
HYDRA_0140,172
HYDRA_0141,197
HYDRA_0142,213
HYDRA_0143,384
HYDRA_0144,128
SPLUS-n09s06,3
SPLUS-n09s07,29
SPLUS-n09s08,50
SPLUS-n09s09,6
SPLUS-n10s02,30
SPLUS-n10s03,92
SPLUS-n10s04,147
SPLUS-n10s05,209
SPLUS-n10s06,252
SPLUS-n10s07,307
SPLUS-n10s08,246
SPLUS-n10s09,6
SPLUS-n10s10,142
SPLUS-n10s11,119
SPLUS-n10s12,21
SPLUS-n11s01,67
SPLUS-n11s02,204
SPLUS-n11s03,167
SPLUS-n11s04,224
SPLUS-n11s05,174
SPLUS-n11s06,119
SPLUS-n11s07,192
SPLUS-n11s08,134
SPLUS-n11s09,247
SPLUS-n11s10,188
SPLUS-n11s11,225
SPLUS-n11s12,202
SPLUS-n11s13,142
SPLUS-n11s14,87
SPLUS-n11s15,4
SPLUS-n12s01,304
SPLUS-n12s02,261
SPLUS-n12s03,124
SPLUS-n12s04,195
SPLUS-n12s05,202
SPLUS-n12s06,127
SPLUS-n12s07,170
SPLUS-n12s08,171
SPLUS-n12s09,179
SPLUS-n12s10,228
SPLUS-n12s11,227
SPLUS-n12s12,307
SPLUS-n12s13,291
SPLUS-n12s14,136
SPLUS-n12s15,31
SPLUS-n13s01,232
SPLUS-n13s02,291
SPLUS-n13s03,286
SPLUS-n13s04,218
SPLUS-n13s05,227
SPLUS-n13s06,230
SPLUS-n13s07,141
SPLUS-n13s08,133
SPLUS-n13s09,228
SPLUS-n13s10,236
SPLUS-n13s11,282
SPLUS-n13s12,276
SPLUS-n13s13,236
SPLUS-n13s14,128
SPLUS-n13s15,169
SPLUS-n13s16,77
SPLUS-n14s01,152
SPLUS-n14s02,130
SPLUS-n14s03,247
SPLUS-n14s04,318
SPLUS-n14s05,222
SPLUS-n14s06,207
SPLUS-n14s07,224
SPLUS-n14s08,305
SPLUS-n14s09,272
SPLUS-n14s10,209
SPLUS-n14s11,218
SPLUS-n14s12,148
SPLUS-n14s13,198
