ra,dec,z,z_err,v,v_err,radius_deg,radius_Mpc,v_offset,flag_member
318.48294,2.565271,0.049192,1.3e-05,14747.391,3.897302,0.004993,0.017513,-20.572,0
318.4878,2.566872,0.048157,5.7e-05,14437.105,17.08817,0.008198,0.028752,-316.289,0
318.4843,2.581619,0.047964,1.3e-05,14379.245,3.897302,0.013084,0.04589,-371.432,0
318.51413,2.56678,0.05104,9e-05,15301.407,26.981321,0.034232,0.120063,507.433,0
318.4452,2.563851,0.04846,5.7e-05,14527.943,17.08817,0.035141,0.123253,-229.716,0
318.4497,2.548271,0.053914,3.2e-05,16163.011,9.593359,0.036807,0.129094,1328.584,0
318.4574,2.53583,0.048986,8e-06,14685.633,2.39834,0.040328,0.141444,-79.429,0
318.43585,2.573053,0.048436,1.6e-05,14520.747,4.796679,0.044222,0.155103,-236.574,0
318.52472,2.575573,0.050477,1.1e-05,15132.624,3.297717,0.045161,0.158396,346.575,0
318.4349,2.59656,0.04798,0.00015,14384.042,44.968869,0.052634,0.184605,-366.861,0
318.4811,2.623262,0.048072,1e-05,14411.623,2.997925,0.053998,0.189391,-340.575,0
318.45114,2.519132,0.046899,0.00039,14059.966,99.99,0.057819,0.202793,-675.72,0
318.4933,2.512248,0.048758,6e-05,14617.281,17.987547,0.058566,0.20541,-144.573,0
318.5213,2.613128,0.048847,9e-05,14643.962,26.981321,0.060241,0.211287,-119.144,0
318.54324,2.57383,0.0463,0.00021,13880.391,62.956416,0.063385,0.222315,-846.865,0
318.5168,2.623276,0.046152,5.7e-05,13836.022,17.08817,0.065352,0.229211,-889.151,0
318.43698,2.51656,0.05116,0.00011,15337.382,32.97717,0.067986,0.238452,541.719,0
318.41483,2.548819,0.049727,1.1e-05,14907.78,3.297717,0.0682,0.239202,132.287,0
318.50168,2.638927,0.04797,7e-06,14381.044,2.098547,0.072954,0.255876,-369.718,0
318.4087,2.548013,0.049354,7.7e-05,14795.957,23.084019,0.074291,0.260566,25.715,0
318.54916,2.601413,0.053109,8.9e-05,15921.678,26.681529,0.07624,0.2674,1098.581,0
318.457,2.648231,0.04641,5.4e-05,13913.368,16.188793,0.082218,0.288367,-815.436,0
318.5411,2.62639,0.0535,0.00019,16038.897,56.960567,0.083625,0.293304,1210.297,0
318.39642,2.562528,0.050761,9e-06,15217.765,2.698132,0.083723,0.293648,427.718,0
318.5544,2.52988,0.04995,8e-05,14974.633,23.983397,0.08416,0.295181,196.002,0
318.48654,2.659455,0.0477,1.9e-05,14300.1,5.696057,0.090419,0.317131,-446.861,0
318.42325,2.641768,0.043693,6.9e-05,13098.832,20.68568,0.092,0.322679,-1591.729,0
318.4166,2.639523,0.047864,3.9e-05,14349.266,11.691906,0.094554,0.331634,-400.004,0
318.5776,2.569624,0.050287,7.8e-05,15075.663,23.383812,0.097547,0.342134,292.288,0
318.39093,2.609633,0.0521,1.3e-05,15619.187,3.897302,0.097664,0.342542,810.293,0
318.4474,2.476324,0.051282,2e-06,15373.957,0.599585,0.098477,0.345395,576.577,0
318.4142,2.493703,0.045686,1e-05,13696.318,2.997925,0.100131,0.351197,-1022.295,0
318.57962,2.5475,0.052085,8.5e-05,15614.69,25.482359,0.101918,0.357464,806.007,0
318.5265,2.475231,0.05196,3.9e-05,15577.216,11.691906,0.104912,0.367964,770.293,0
318.58237,2.54329,0.04841,0.00019,14512.953,56.960567,0.105561,0.370239,-244.002,0
318.56128,2.500701,0.050465,2e-06,15129.026,0.599585,0.106316,0.372887,343.146,0
318.46136,2.676352,0.04605,0.00012,13805.443,35.975095,0.108675,0.381164,-918.294,0
318.39658,2.640782,0.053977,6e-06,16181.898,1.798755,0.109775,0.38502,1346.584,0
318.5991,2.574243,0.046494,1.2e-05,13938.551,3.597509,0.119129,0.417828,-791.436,0
318.59375,2.532296,0.050418,5.6e-05,15114.936,16.788378,0.119544,0.419284,329.717,0
318.48328,2.689904,0.048244,2.3e-05,14463.187,6.895227,0.120674,0.423246,-291.431,0
318.54422,2.466375,0.046898,5.1e-05,14059.667,15.289415,0.121286,0.425394,-676.006,0
318.3709,2.51541,0.04891,0.0002,14662.849,59.958492,0.121535,0.426265,-101.144,0
