Field,n_objects
SPLUS-s24s21,99
SPLUS-s24s22,198
SPLUS-s24s23,243
SPLUS-s24s24,184
SPLUS-s24s25,168
SPLUS-s24s26,254
SPLUS-s24s27,274
SPLUS-s24s28,315
SPLUS-s24s29,198
SPLUS-s24s31,261
SPLUS-s24s32,196
SPLUS-s24s33,139
SPLUS-s24s34,172
SPLUS-s24s35,71
SPLUS-s25s21,112
SPLUS-s25s22,186
SPLUS-s25s23,204
SPLUS-s25s24,294
SPLUS-s25s26,199
SPLUS-s25s27,264
SPLUS-s25s28,163
SPLUS-s25s29,134
SPLUS-s25s30,140
SPLUS-s25s31,204
SPLUS-s25s32,160
SPLUS-s25s33,192
SPLUS-s25s34,165
SPLUS-s26s21,115
SPLUS-s26s22,236
SPLUS-s26s23,214
SPLUS-s26s24,259
SPLUS-s26s25,298
SPLUS-s26s26,258
SPLUS-s26s27,149
SPLUS-s26s28,168
SPLUS-s26s29,147
SPLUS-s26s30,195
SPLUS-s26s31,212
SPLUS-s26s32,175
SPLUS-s26s33,236
SPLUS-s26s34,67
SPLUS-s27s21,178
SPLUS-s27s22,181
SPLUS-s27s23,226
SPLUS-s27s24,262
SPLUS-s27s25,541
SPLUS-s27s26,230
SPLUS-s27s27,255
SPLUS-s27s28,278
SPLUS-s27s29,177
SPLUS-s27s30,380
SPLUS-s27s31,356
SPLUS-s27s32,268
SPLUS-s27s33,124
SPLUS-s28s22,175
SPLUS-s28s23,285
SPLUS-s28s24,258
SPLUS-s28s25,199
SPLUS-s28s26,272
SPLUS-s28s27,226
SPLUS-s28s28,307
SPLUS-s28s29,474
SPLUS-s28s30,293
SPLUS-s28s31,341
SPLUS-s28s32,112
SPLUS-s29s24,195
SPLUS-s29s25,178
SPLUS-s29s26,258
SPLUS-s29s27,362
SPLUS-s29s28,451
SPLUS-s29s29,332
SPLUS-s29s30,305
SPLUS-s29s31,95
SPLUS-s30s23,183
SPLUS-s30s24,154
SPLUS-s30s25,262
SPLUS-s30s26,244
SPLUS-s30s27,296
SPLUS-s30s28,327
SPLUS-s30s29,272
SPLUS-s30s30,25
SPLUS-s31s23,24
SPLUS-s31s24,92
SPLUS-s31s25,224
SPLUS-s31s26,198
SPLUS-s31s27,132
SPLUS-s31s28,12
