ra,dec,z,z_err,v,v_err,radius_deg,radius_Mpc,v_offset,flag_member
55.20625,-45.677778,0.0698,0.000333,20925.514,99.830889,0.01071,0.050864,241.474,0
55.19521,-45.669014,0.068571,0.00015,20557.069,44.968869,0.013449,0.063869,-103.209,0
55.171583,-45.689111,0.069468,0.000113,20825.982,33.876548,0.01603,0.076125,148.362,0
55.286785,-45.692196,0.066746,3.3e-05,20009.947,9.893151,0.066703,0.316773,-615.044,0
55.281647,-45.75816,0.068184,0.000437,20441.049,99.99,0.098201,0.466358,-211.746,0
55.2894,-45.766895,0.069201,0.000304,20745.938,91.136907,0.108396,0.514778,73.48,0
55.26751,-45.778908,0.068344,0.000333,20489.016,99.830889,0.109939,0.522102,-166.872,0
55.277187,-45.78645,0.070395,0.00015,21103.89,44.968869,0.119816,0.569012,408.347,0
55.29235,-45.789978,0.070695,0.000137,21193.828,41.071567,0.128339,0.609488,492.484,0
55.270966,-45.80359,0.070615,0.000193,21169.844,57.859944,0.133129,0.632233,470.048,0
55.304527,-45.80534,0.069832,0.000133,20935.107,39.872397,0.145862,0.692704,250.449,0
55.33729,-45.79689,0.070832,0.000647,21234.899,99.99,0.152903,0.72614,530.907,0
54.91679,-45.656807,0.06927,0.00015,20766.624,44.968869,0.194208,0.922299,92.832,0
55.33861,-45.51605,0.068374,0.000133,20498.01,39.872397,0.19515,0.926773,-158.459,0
55.177277,-45.886684,0.071116,0.00015,21320.04,44.968869,0.204641,0.971845,610.557,0
55.367676,-45.491203,0.06755,0.00011,20250.981,32.97717,0.226992,1.077991,-389.556,0
55.44638,-45.532097,0.070632,0.00015,21174.941,44.968869,0.232507,1.104183,474.815,0
55.331253,-45.89972,0.06903,0.000213,20694.673,63.855794,0.238077,1.130634,25.522,0
55.542202,-45.55554,0.068741,0.000143,20608.033,42.870321,0.275333,1.307566,-55.531,0
