Field,n_objects
SPLUS-s33s30,236
SPLUS-s33s31,337
SPLUS-s33s32,292
SPLUS-s33s33,38
SPLUS-s34s28,17
SPLUS-s34s29,533
SPLUS-s34s30,647
SPLUS-s34s31,567
SPLUS-s34s32,483
SPLUS-s34s33,158
SPLUS-s35s28,459
SPLUS-s35s29,1163
SPLUS-s35s30,885
SPLUS-s35s31,1003
SPLUS-s35s32,452
SPLUS-s36s27,246
SPLUS-s36s28,671
SPLUS-s36s29,648
SPLUS-s36s30,636
SPLUS-s36s31,461
SPLUS-s36s32,4
SPLUS-s37s27,274
SPLUS-s37s28,461
SPLUS-s37s29,537
SPLUS-s37s30,395
SPLUS-s37s31,2
SPLUS-s38s27,18
SPLUS-s38s28,91
SPLUS-s38s29,18
